gps_week,dn(m),de(m),du(m)
1526,0.0,0.0,0.0
1527,0.00091,0.00179,0.00059
1528,0.0011,0.00171,0.00425
1531,0.00292,0.00443,0.00445
1532,0.0037,0.00278,0.00272
1533,0.00268,0.00233,0.0029
1534,0.00183,0.00179,-0.00171
1535,0.00315,0.0014,-0.00172
1536,0.00132,0.00077,-0.00268
1537,0.00211,0.00056,0.00218
1538,0.00174,0.00015,-0.00056
1539,0.00155,-8e-05,0.00215
1540,0.00138,-0.00093,-0.00254
1541,0.00135,-0.00079,-0.00079
1542,0.00139,0.00024,0.00136
1543,0.00235,-0.00024,0.00455
1544,0.00257,0.00169,0.00257
1545,0.00225,0.00107,0.0052
1546,0.0029,0.00195,0.00611
1547,0.00316,0.0015,0.01362
1548,0.00293,0.00184,0.01026
1549,0.00265,0.00215,0.01137
1550,0.003,0.00192,0.01129
1551,0.00384,0.00218,0.0117
1552,0.00402,0.00289,0.01227
1553,0.00462,0.00248,0.01323
1554,0.00583,0.00142,0.0113
1555,0.00591,0.00133,0.00875
1556,0.00544,0.00224,0.01123
1557,0.00512,0.00126,0.01096
1558,0.00429,0.00199,0.01436
1559,0.00435,0.00132,0.0117
1560,0.00439,0.00043,0.00963
1561,0.00565,0.00074,0.0028
1562,0.00723,0.00131,0.00264
1563,0.00567,0.00274,0.0075
1564,0.00732,0.00074,0.00963
1565,0.00777,0.00065,0.00817
1566,0.00785,0.00018,0.00253
1567,0.00908,3e-05,0.00191
1568,0.00918,-0.00112,0.00678
1569,0.01024,-5e-05,-0.0033
1570,0.0096,-0.00056,0.00962
1571,0.01,-0.00034,0.00273
1572,0.01022,-0.00226,0.00549
1574,0.00986,-0.0041,0.00376
1575,0.0101,-0.00409,-0.00207
1576,0.01076,-0.0033,0.00273
1577,0.0089,-0.00353,-0.00148
1578,0.01179,-0.00332,-0.0051
1579,0.01235,-0.00284,-0.00282
1580,0.01044,-0.00139,-0.0019
1581,0.01048,-0.00165,-0.00468
1582,0.01202,-0.00154,-0.0045
1583,0.01139,-0.00247,-0.00903
1584,0.01201,-0.00276,-0.00799
1585,0.01243,-0.00328,-0.00888
1586,0.01239,-0.00359,-0.00958
1587,0.01162,-0.00311,-0.01012
1588,0.01186,-0.00365,-0.0019
1589,0.01153,-0.00451,-0.00269
1590,0.01196,-0.00444,-0.00504
1591,0.01307,-0.0047,-0.00262
1592,0.01308,-0.00587,-0.00234
1593,0.01394,-0.00511,-0.00198
1594,0.01447,-0.00476,0.00177
1595,0.01417,-0.00423,-0.00288
1596,0.01465,-0.00369,0.00478
1597,0.01528,-0.0039,0.00524
1598,0.01404,-0.00313,0.0109
1599,0.01351,-0.00349,0.00793
1600,0.0143,-0.00357,0.0048
1601,0.01438,-0.00314,0.00875
1602,0.01539,-0.0024,0.01131
1603,0.01468,-0.00452,0.00818
1604,0.01636,-0.00433,0.00749
1605,0.01762,-0.00419,0.00626
1606,0.01719,-0.0031,0.00596
1607,0.01797,-0.00344,0.00938
1608,0.0172,-0.00458,0.00357
1609,0.01792,-0.00398,0.00559
1610,0.01842,-0.004,0.00514
1611,0.01736,-0.00441,0.00399
1612,0.01818,-0.00398,0.00488
1613,0.01714,-0.00447,0.00497
1614,0.01791,-0.00494,0.01221
1615,0.01831,-0.00497,0.00826
1616,0.02113,-0.00621,0.0007
1617,0.02106,-0.00582,0.00164
1618,0.02149,-0.00651,0.00495
1619,0.02268,-0.00575,0.00453
1620,0.02259,-0.0066,-0.00149
1621,0.02176,-0.0056,0.0029
1622,0.02228,-0.00646,0.00074
1623,0.02268,-0.00737,-0.00453
1624,0.02301,-0.00717,0.00016
1625,0.02385,-0.00685,-0.00384
1626,0.02358,-0.00732,-0.0076
1627,0.02513,-0.00665,-0.00422
1628,0.02465,-0.00759,-0.00864
1629,0.02628,-0.0056,-0.00707
1630,0.02582,-0.00612,-0.01167
1631,0.02692,-0.00649,-0.00863
1632,0.0273,-0.00652,-0.01211
1633,0.02752,-0.00604,-0.01521
1634,0.02676,-0.00598,-0.01606
1635,0.02789,-0.00652,-0.0155
1636,0.02594,-0.00707,-0.01622
1637,0.02606,-0.00766,-0.01632
1638,0.02697,-0.00697,-0.01532
1639,0.02531,-0.00801,-0.01112
1640,0.02643,-0.00793,-0.01223
1641,0.0269,-0.00786,-0.01017
1642,0.02762,-0.00798,-0.01265
1643,0.02676,-0.00914,-0.00942
1644,0.02689,-0.00838,-0.00624
1645,0.02615,-0.00806,-0.00884
1646,0.02686,-0.00733,-0.00214
1647,0.02524,-0.00655,-0.00201
1648,0.02604,-0.00637,-0.00063
1649,0.02546,-0.0066,-0.00133
1650,0.02568,-0.00646,-0.0042
1651,0.02489,-0.00611,-0.00279
1652,0.026,-0.00627,8e-05
1653,0.02646,-0.00395,0.00131
1654,0.02855,-0.00644,0.0038
1655,0.02782,-0.00632,0.0031
1656,0.02759,-0.00745,0.00232
1657,0.02695,-0.006,0.00709
1658,0.02865,-0.00558,-0.0035
1659,0.02903,-0.00527,-0.00754
1660,0.03017,-0.00632,-0.00642
1661,0.02926,-0.00639,-0.00745
1662,0.02957,-0.00695,-0.00638
1663,0.03173,-0.00715,-0.00706
1664,0.03242,-0.00753,-0.00101
1665,0.03393,-0.00759,-0.00118
1666,0.03472,-0.00802,-0.00132
1667,0.03601,-0.00674,0.00083
1668,0.03306,-0.0075,-0.00101
1669,0.03513,-0.00954,0.00369
1670,0.0358,-0.00675,-0.00239
1671,0.03515,-0.00783,0.00069
1672,0.03449,-0.00796,-0.00127
1673,0.0389,-0.00671,0.00601
1674,0.03744,-0.00513,0.00627
1675,0.03641,-0.00634,0.00041
1676,0.0371,-0.00609,0.00515
1677,0.03647,-0.00818,0.00559
1678,0.038,-0.00709,-0.00222
1679,0.03836,-0.00679,0.00217
1680,0.03861,-0.00581,-0.00093
1681,0.03937,-0.00663,-0.0082
1682,0.03931,-0.00634,-0.00063
1683,0.04041,-0.00788,-0.00284
1684,0.03938,-0.00776,-0.00601
1685,0.03937,-0.0073,-0.00727
1686,0.03978,-0.00901,-0.0101
1687,0.03959,-0.00934,-0.00775
1688,0.03955,-0.00872,-0.01155
1689,0.03894,-0.00922,-0.01275
1690,0.03982,-0.01157,-0.01178
1691,0.03945,-0.01116,-0.01261
1692,0.04015,-0.01113,-0.0089
1693,0.0394,-0.01208,-0.01293
1694,0.04093,-0.01081,-0.00959
1695,0.04041,-0.01031,-0.00628
1696,0.03954,-0.00991,-0.00582
1697,0.03923,-0.01059,-0.00914
1698,0.03887,-0.00865,-0.00269
1699,0.03961,-0.00846,-0.00421
1700,0.04016,-0.00824,-0.00133
1701,0.0404,-0.00807,-0.00345
1702,0.04107,-0.00773,-0.00333
1703,0.04164,-0.00929,-0.00424
1704,0.04168,-0.00768,-0.00027
1705,0.04302,-0.00692,0.0083
1706,0.04237,-0.00841,0.00549
1707,0.04088,-0.00798,0.00312
1708,0.04205,-0.0079,0.00747
1709,0.04381,-0.00955,0.00427
1710,0.04295,-0.00918,0.00384
1711,0.04447,-0.00981,0.0073
1712,0.04399,-0.01059,0.00104
1713,0.04545,-0.01088,0.00222
1714,0.04522,-0.01185,0.00512
1715,0.04514,-0.01206,0.00478
1716,0.04698,-0.01144,0.00526
1717,0.04736,-0.01414,0.00022
1718,0.04465,-0.0116,0.00536
1719,0.04708,-0.01195,0.00507
1720,0.0458,-0.01261,0.00775
1721,0.04653,-0.01253,-0.00392
1722,0.04737,-0.01231,-0.00111
1723,0.05034,-0.01213,-0.00167
1724,0.05079,-0.01163,0.00524
1725,0.05029,-0.01095,0.00445
1726,0.05155,-0.013,0.00106
1727,0.0517,-0.01371,0.00089
1728,0.05158,-0.01413,-0.00507
1729,0.05275,-0.01078,-0.00206
1730,0.0537,-0.01233,-0.01045
1731,0.0517,-0.01244,-0.00896
1732,0.05241,-0.01194,-0.01412
1733,0.05297,-0.01179,-0.01397
1734,0.05286,-0.01188,-0.01181
1735,0.05099,-0.01083,-0.01249
1736,0.05274,-0.01138,-0.0171
1737,0.0536,-0.01088,-0.01508
1738,0.05278,-0.01172,-0.01309
1739,0.05425,-0.01237,-0.01259
1740,0.05385,-0.0125,-0.00889
1741,0.05396,-0.01403,-0.01215
1742,0.05448,-0.01341,-0.00715
1743,0.05443,-0.01422,-0.01327
1744,0.05571,-0.01428,-0.00884
1745,0.05512,-0.0145,-0.0075
1746,0.05568,-0.01303,-0.01034
1747,0.05401,-0.01258,-0.01008
1748,0.05422,-0.0119,-0.00649
1749,0.05428,-0.01223,-0.00299
1750,0.05462,-0.01323,-0.00835
1751,0.05524,-0.01292,-0.00752
1752,0.05491,-0.01307,-0.00461
1753,0.05451,-0.01264,-0.00599
1754,0.05491,-0.01312,-0.00441
1755,0.05497,-0.01318,-0.00752
1756,0.05468,-0.01211,-0.00394
1757,0.05558,-0.01242,-0.00436
1758,0.05604,-0.01162,-0.00346
1759,0.05546,-0.0122,-0.00548
1760,0.05519,-0.01181,-0.00728
1761,0.05656,-0.01136,-0.00624
1762,0.05536,-0.01272,-0.00624
1763,0.05773,-0.01327,-0.00547
1764,0.05806,-0.0127,-0.00021
1765,0.0597,-0.01413,-0.00035
1766,0.05913,-0.01385,0.00138
1767,0.0595,-0.01551,0.005
1768,0.06004,-0.0152,-0.00145
1769,0.06061,-0.01619,-0.00245
1770,0.06289,-0.01342,0.00285
1771,0.06236,-0.01523,0.00637
1772,0.06326,-0.015,0.00462
1773,0.06425,-0.01314,0.00269
1774,0.06324,-0.01441,-0.00143
1775,0.0629,-0.0136,0.00289
1776,0.06375,-0.01279,0.00244
1777,0.06574,-0.01313,0.0023
1778,0.06526,-0.0123,0.00562
1779,0.06468,-0.01464,0.00082
1780,0.06482,-0.01298,0.00119
1781,0.06471,-0.01241,-0.00997
1782,0.06579,-0.01357,-0.00469
1783,0.06461,-0.01241,-0.00968
1784,0.06328,-0.01362,-0.00926
1785,0.06336,-0.0121,-0.00849
1786,0.0642,-0.01543,-0.00973
1787,0.06341,-0.01523,-0.00715
1789,0.06242,-0.01666,-0.00714
1790,0.06382,-0.01752,-0.00288
1791,0.06433,-0.01601,-0.00271
1792,0.06416,-0.01755,-0.00132
1793,0.0669,-0.01668,-0.00191
