gps_week,dn(m),de(m),du(m)
1043,0.0,0.0,0.0
1044,0.00223,-0.00639,-0.0171
1045,0.00156,-0.00983,-0.01275
1046,0.00302,-0.00402,-0.02126
1047,0.00112,-0.00646,-0.0198
1048,0.00089,-0.00767,-0.01487
1049,0.00069,-0.00992,-0.01556
1050,0.0013,-0.01156,-0.02119
1051,0.00105,-0.01004,-0.02223
1052,0.00126,-0.00825,-0.00612
1053,0.001,-0.00839,-0.01386
1054,0.00166,-0.00864,-0.01406
1055,0.00149,-0.00587,-0.01715
1056,0.00149,-0.00896,-0.02652
1057,0.00246,-0.00718,-0.02484
1058,0.00136,-0.00962,-0.03384
1059,0.00141,-0.0081,-0.02511
1060,0.00059,-0.01183,-0.01834
1061,0.00309,-0.00974,-0.03261
1062,0.00398,-0.00798,-0.02181
1063,0.00519,-0.00909,-0.02995
1064,0.00514,-0.0103,-0.0264
1065,0.00568,-0.01053,-0.02388
1066,0.0039,-0.00999,-0.02603
1067,0.00486,-0.0109,-0.02609
1068,0.0055,-0.0095,-0.0278
1069,0.00583,-0.01107,-0.02726
1070,0.00469,-0.01127,-0.02823
1071,0.00397,-0.01138,-0.02906
1072,0.0025,-0.00896,-0.031
1073,0.00377,-0.01033,-0.02395
1074,0.00381,-0.01028,-0.02763
1075,0.0048,-0.01003,-0.03138
1076,0.00562,-0.012,-0.02249
1077,0.00747,-0.00981,-0.02385
1078,0.00955,-0.01014,-0.02335
1079,0.00939,-0.00945,-0.02745
1080,0.00846,-0.01152,-0.02408
1081,0.00787,-0.01038,-0.02214
1082,0.00929,-0.00945,-0.02291
1083,0.00952,-0.00853,-0.02566
1084,0.01033,-0.00988,-0.02018
1085,0.01039,-0.00888,-0.02296
1086,0.01156,-0.0093,-0.02462
1087,0.01307,-0.00546,-0.02519
1088,0.01299,-0.00928,-0.02415
1089,0.01232,-0.01101,-0.02719
1090,0.0121,-0.01018,-0.02418
1091,0.01268,-0.01072,-0.02023
1092,0.01229,-0.01336,-0.01828
1093,0.01275,-0.0102,-0.02302
1094,0.01263,-0.01234,-0.02063
1095,0.01334,-0.01095,-0.01184
1096,0.01238,-0.01077,-0.01521
1097,0.01345,-0.01251,-0.02684
1098,0.0128,-0.01085,-0.02408
1099,0.01343,-0.01094,-0.02049
1100,0.01612,-0.01339,-0.02495
1101,0.01579,-0.01471,-0.02025
1102,0.0183,-0.01239,-0.02711
1103,0.01375,-0.01026,-0.02557
1104,0.01661,-0.01995,-0.02819
1105,0.01607,-0.01241,-0.02235
1106,0.014,-0.01405,-0.02952
1107,0.01435,-0.01334,-0.02547
1108,0.01645,-0.01396,-0.02273
1109,0.0161,-0.01298,-0.02211
1110,0.02032,-0.01364,-0.03321
1112,0.01748,-0.01111,-0.02937
1113,0.01762,-0.01105,-0.02927
1114,0.01797,-0.01278,-0.03113
1115,0.01926,-0.0121,-0.01585
1116,0.01629,-0.01436,-0.02425
1117,0.01755,-0.0096,-0.02883
1118,0.01866,-0.01123,-0.03787
1119,0.018,-0.01184,-0.0326
1120,0.01988,-0.01523,-0.02622
1121,0.01913,-0.01308,-0.03183
1122,0.01893,-0.01418,-0.02722
1123,0.01749,-0.01442,-0.02419
1124,0.01835,-0.01517,-0.03108
1125,0.01454,-0.00818,-0.03874
1126,0.01954,-0.01534,-0.03111
1127,0.01921,-0.01533,-0.02376
1128,0.0189,-0.01244,-0.02274
1129,0.0197,-0.01282,-0.02588
1130,0.02026,-0.01422,-0.02836
1131,0.02016,-0.01294,-0.02571
1132,0.01993,-0.01129,-0.02896
1133,0.01986,-0.01314,-0.02817
1134,0.02031,-0.01166,-0.03052
1135,0.02068,-0.01172,-0.03089
1136,0.02319,-0.01074,-0.02926
1137,0.02363,-0.01258,-0.02729
1138,0.02023,-0.01426,-0.02326
1139,0.02249,-0.01223,-0.03277
1140,0.02234,-0.01332,-0.03842
1141,0.02431,-0.0107,-0.029
1142,0.02104,-0.01253,-0.02008
1143,0.02,-0.01501,-0.01222
1144,0.02292,-0.01446,-0.02591
1145,0.02205,-0.01877,-0.00735
1146,0.0227,-0.01333,-0.02348
1147,0.02377,-0.01493,-0.02367
1148,0.02384,-0.01769,-0.03131
1149,0.02504,-0.0173,-0.02132
1150,0.02499,-0.01543,-0.02851
1151,0.02407,-0.01752,-0.02098
1152,0.02553,-0.01643,-0.01792
1153,0.02776,-0.01811,-0.03196
1154,0.02738,-0.01817,-0.03009
1155,0.0271,-0.01957,-0.03189
1156,0.02789,-0.01789,-0.03308
1157,0.02838,-0.0149,-0.01919
1158,0.02807,-0.01784,-0.0231
1159,0.02658,-0.01755,-0.0102
1160,0.02842,-0.01935,-0.0185
1161,0.02862,-0.01601,-0.03073
1162,0.02717,-0.01688,-0.01625
1163,0.02922,-0.01563,-0.03564
1164,0.03064,-0.01765,-0.03619
1165,0.02957,-0.01831,-0.03617
1166,0.03148,-0.01739,-0.03628
1167,0.03035,-0.01775,-0.02728
1168,0.03067,-0.01687,-0.03264
1169,0.03178,-0.01687,-0.02863
1170,0.03146,-0.01916,-0.03296
1171,0.02959,-0.01831,-0.03729
1172,0.03178,-0.01868,-0.0275
1173,0.03275,-0.02044,-0.03076
1174,0.03127,-0.02086,-0.03312
1175,0.03231,-0.01977,-0.03063
1176,0.03221,-0.0204,-0.03234
1177,0.03159,-0.02117,-0.02847
1178,0.0333,-0.01917,-0.02619
1179,0.03307,-0.01951,-0.02735
1180,0.03322,-0.01903,-0.03274
1181,0.0325,-0.01841,-0.03292
1182,0.03287,-0.01609,-0.03045
1183,0.03427,-0.01562,-0.03179
1184,0.03403,-0.01725,-0.03015
1185,0.03559,-0.02044,-0.01794
1186,0.03548,-0.01714,-0.0236
1187,0.03506,-0.01714,-0.02629
1188,0.03597,-0.02022,-0.02767
1189,0.03565,-0.01882,-0.03226
1190,0.03745,-0.01875,-0.02626
1191,0.03721,-0.01875,-0.03049
1192,0.03608,-0.01755,-0.03221
1193,0.03984,-0.01921,-0.02995
1194,0.03856,-0.01982,-0.02643
1196,0.0363,-0.01746,-0.01778
1197,0.03804,-0.01818,-0.02303
1198,0.03803,-0.01803,-0.01691
1199,0.03824,-0.01854,-0.02931
1200,0.03756,-0.01816,-0.02769
1201,0.03825,-0.01763,-0.0322
1202,0.03959,-0.02118,-0.03561
1203,0.041,-0.01908,-0.03506
1204,0.03985,-0.0186,-0.02586
1205,0.03974,-0.01941,-0.01789
1206,0.03997,-0.02168,-0.02899
1207,0.03913,-0.02136,-0.028
1208,0.03981,-0.0184,-0.02851
1209,0.03961,-0.02145,-0.02961
1210,0.04088,-0.02167,-0.03488
1211,0.04119,-0.02291,-0.02895
1212,0.04178,-0.02114,-0.03566
1213,0.04023,-0.02128,-0.03256
1214,0.04306,-0.02245,-0.03847
1215,0.04409,-0.02047,-0.04058
1216,0.04284,-0.02055,-0.0378
1217,0.04425,-0.02097,-0.03849
1218,0.0441,-0.01969,-0.04204
1219,0.04477,-0.02284,-0.03211
1220,0.04152,-0.02319,-0.03675
1221,0.04162,-0.02268,-0.0334
1222,0.04282,-0.02357,-0.03094
1223,0.04173,-0.02278,-0.02711
1224,0.0432,-0.02321,-0.03744
1225,0.04203,-0.0238,-0.03416
1226,0.04206,-0.0239,-0.03511
1232,0.04396,-0.02297,-0.02868
1233,0.04254,-0.02403,-0.0312
1234,0.04392,-0.02317,-0.02934
1235,0.04457,-0.02322,-0.02887
1236,0.04548,-0.02313,-0.03155
1237,0.04503,-0.02189,-0.02968
1238,0.04645,-0.02149,-0.03138
1239,0.04642,-0.02214,-0.03385
1240,0.04695,-0.02393,-0.02829
1241,0.04735,-0.02275,-0.03079
1242,0.04719,-0.02229,-0.02876
1243,0.04973,-0.02096,-0.02889
1244,0.0507,-0.02267,-0.03412
1245,0.04941,-0.02128,-0.03868
1246,0.05024,-0.02143,-0.02931
1247,0.05078,-0.0208,-0.02928
1248,0.05004,-0.024,-0.03565
1249,0.05029,-0.02287,-0.02898
1250,0.05091,-0.02333,-0.02961
1251,0.05075,-0.02356,-0.03161
1252,0.05219,-0.02371,-0.02794
1253,0.05364,-0.02151,-0.02356
1254,0.05175,-0.02372,-0.03657
1255,0.05141,-0.02689,-0.03225
1256,0.05382,-0.02571,-0.04298
1257,0.05163,-0.025,-0.04221
1258,0.05173,-0.02594,-0.0366
1259,0.05151,-0.02635,-0.0351
1260,0.05183,-0.0246,-0.03643
1261,0.05343,-0.02638,-0.03502
1262,0.0542,-0.02385,-0.03432
1263,0.05418,-0.02475,-0.03436
1264,0.05432,-0.02514,-0.04402
1265,0.05431,-0.02567,-0.04625
1266,0.05725,-0.02834,-0.04397
1267,0.05678,-0.02543,-0.04065
1268,0.0558,-0.02656,-0.04337
1269,0.05542,-0.02839,-0.04549
1270,0.05634,-0.027,-0.03407
1271,0.0565,-0.02533,-0.04198
1272,0.05745,-0.02791,-0.04251
1273,0.05718,-0.02795,-0.03718
1274,0.05694,-0.02809,-0.04077
1275,0.05667,-0.02861,-0.04213
1276,0.05601,-0.02847,-0.04264
1277,0.05615,-0.02856,-0.03981
1278,0.05627,-0.02869,-0.03802
1279,0.05594,-0.02849,-0.03792
1280,0.05643,-0.02783,-0.03785
1281,0.05722,-0.02827,-0.04281
1282,0.05655,-0.0292,-0.03945
1283,0.05753,-0.02864,-0.04295
1284,0.05787,-0.02772,-0.04425
1285,0.05825,-0.02746,-0.04164
1287,0.05932,-0.02487,-0.0447
1288,0.05877,-0.02576,-0.0447
1289,0.06025,-0.02534,-0.0435
1290,0.06073,-0.02606,-0.04414
1291,0.06061,-0.02381,-0.04608
1292,0.06028,-0.02433,-0.04321
1293,0.06079,-0.02507,-0.04239
1294,0.06051,-0.02563,-0.03778
1295,0.06068,-0.02391,-0.03928
1296,0.06105,-0.02292,-0.03717
1297,0.06077,-0.02391,-0.03583
1298,0.06099,-0.02387,-0.0346
1299,0.06336,-0.0242,-0.03811
1300,0.06405,-0.023,-0.03787
1301,0.06272,-0.02464,-0.0351
1302,0.06458,-0.02447,-0.03451
1303,0.06567,-0.02344,-0.03699
1304,0.06453,-0.02498,-0.04253
1305,0.06501,-0.02592,-0.03904
1306,0.06379,-0.02584,-0.04243
1307,0.06402,-0.0267,-0.0331
1309,0.06892,-0.03078,-0.03975
1310,0.06195,-0.02776,-0.03662
1311,0.06416,-0.029,-0.03216
1312,0.06471,-0.02535,-0.0363
1313,0.06592,-0.02365,-0.04279
1314,0.06591,-0.02479,-0.03415
1315,0.06515,-0.02641,-0.03513
1316,0.06693,-0.02588,-0.04528
1317,0.06634,-0.02705,-0.04671
1318,0.06698,-0.02741,-0.04575
1319,0.06791,-0.02854,-0.04288
1320,0.0682,-0.02916,-0.03683
1321,0.06868,-0.02693,-0.04055
1322,0.06923,-0.02801,-0.04135
1323,0.06742,-0.03045,-0.03693
1324,0.06789,-0.03044,-0.03729
1325,0.06623,-0.03001,-0.0361
1326,0.06753,-0.02899,-0.04145
1327,0.06914,-0.02977,-0.03872
1328,0.0686,-0.02941,-0.0421
1329,0.06861,-0.02933,-0.04415
1330,0.06958,-0.02957,-0.04283
1331,0.06869,-0.02768,-0.04367
1332,0.06915,-0.02936,-0.04309
1333,0.06892,-0.02946,-0.04244
1334,0.06873,-0.02729,-0.0419
1335,0.06897,-0.02752,-0.04208
1336,0.06915,-0.02705,-0.04308
1337,0.06862,-0.02774,-0.05061
1339,0.07036,-0.0298,-0.04572
1340,0.07023,-0.03131,-0.04279
1341,0.07086,-0.02958,-0.04243
1342,0.0729,-0.02717,-0.04799
1343,0.07176,-0.02769,-0.03802
1344,0.07165,-0.02683,-0.04012
1345,0.07209,-0.02735,-0.03733
1346,0.07217,-0.02675,-0.03999
1347,0.07247,-0.02739,-0.04202
1348,0.07288,-0.02862,-0.03828
1349,0.07327,-0.02759,-0.03985
1350,0.07299,-0.02688,-0.03894
1351,0.07432,-0.02721,-0.03977
