gps_week,dn(m),de(m),du(m)
1425,0.0,0.0,0.0
1426,-0.00142,-0.00197,-0.00392
1427,0.0008,-0.00179,-0.00076
1428,0.00045,-0.00313,-0.00678
1429,-0.00032,-0.00152,-0.00649
1443,0.00432,-0.01036,0.01608
1444,0.00444,-0.00897,0.02105
1445,0.00523,-0.00869,0.02379
1446,0.00315,-0.00882,0.0206
1447,0.00441,-0.0074,0.02523
1448,0.00322,-0.00701,0.02681
1449,0.00363,-0.00783,0.02338
1450,0.00387,-0.00693,0.02134
1451,0.00403,-0.00778,0.02006
1452,0.00458,-0.00957,0.01942
1453,0.0052,-0.00951,0.02004
1454,0.00608,-0.00938,0.01632
1455,0.00657,-0.0101,0.0163
1456,0.00691,-0.00846,0.01354
1457,0.00551,-0.0088,0.01066
1458,0.00461,-0.00794,0.00903
1459,0.00592,-0.00911,0.01144
1460,0.00834,-0.00719,0.00461
1461,0.00828,-0.00878,0.00425
1462,0.00958,-0.00848,0.00141
1463,0.00869,-0.00659,6e-05
1464,0.00894,-0.00577,-9e-05
1465,0.00881,-0.00689,-0.00339
1466,0.00707,-0.00924,0.01498
1467,0.00808,-0.00753,-0.00913
1468,0.00957,-0.00701,0.00348
1469,0.00952,-0.00661,-0.00469
1470,0.009,-0.00718,-0.00351
1471,0.00927,-0.00726,-0.00269
1472,0.00886,-0.00741,-0.00116
1473,0.00877,-0.00633,-0.00631
1474,0.00935,-0.00637,-0.00351
1475,0.00936,-0.00685,-0.00526
1476,0.01094,-0.00721,-0.00201
1477,0.01105,-0.00696,-0.00099
1478,0.01009,-0.00651,-0.00197
1479,0.01014,-0.00729,-0.00611
1480,0.0104,-0.00654,0.0008
1481,0.01162,-0.00743,-0.00253
1482,0.0119,-0.00767,-0.00176
1483,0.01161,-0.0091,0.00184
1484,0.0122,-0.00856,-0.00052
1485,0.0105,-0.00877,-0.00083
1486,0.01084,-0.00901,-0.00042
1487,0.01035,-0.00987,0.00123
1488,0.01119,-0.0105,0.0025
1489,0.01015,-0.01091,0.003
1490,0.01093,-0.01163,0.0082
1491,0.01071,-0.01318,0.01212
1492,0.01202,-0.01259,0.0143
1493,0.01106,-0.01202,0.01505
1494,0.01231,-0.0131,0.01673
1495,0.01109,-0.01113,0.01299
1496,0.01287,-0.01038,0.01769
1497,0.01269,-0.01032,0.01808
1498,0.01515,-0.01142,0.01984
1499,0.01416,-0.01174,0.02026
1500,0.01393,-0.00987,0.0227
1501,0.01492,-0.01079,0.02583
1502,0.0151,-0.00971,0.01973
1503,0.01565,-0.01039,0.02307
1504,0.01634,-0.01079,0.0241
1505,0.01644,-0.01138,0.02115
1506,0.016,-0.01049,0.01708
1507,0.01725,-0.01192,0.02247
1508,0.0173,-0.01134,0.01348
1509,0.01796,-0.0104,0.01374
1510,0.01744,-0.01042,0.01225
1511,0.01803,-0.01022,0.00799
1512,0.0173,-0.01066,0.01093
1513,0.01718,-0.01149,0.00753
