gps_week,dn(m),de(m),du(m)
1125,0.0,0.0,0.0
1126,-0.00017,-0.00084,-0.00256
1127,0.002,0.00011,0.00094
1128,0.00013,0.00154,0.00119
1129,8e-05,0.00121,-0.00102
1130,5e-05,0.0001,0.00125
1131,0.00018,0.00103,-0.0052
1132,-0.00037,0.00177,-0.00756
1133,-0.00093,0.00097,0.00105
1134,1e-05,0.00099,-0.00029
1135,0.00073,0.00147,-0.00146
1136,0.00081,0.00263,0.00023
1137,0.00189,0.00042,0.00176
1138,0.00071,-0.00116,-0.00133
1139,0.00238,-0.0012,-0.00283
1140,0.00179,-0.00122,-0.00225
1141,0.00486,0.00039,-0.00301
1142,0.00419,-0.00078,-0.00052
1143,0.00554,-0.00128,0.01019
1144,0.00481,-0.00158,0.007
1145,0.00751,-0.00231,0.01
1146,0.00501,-0.00286,0.00265
1147,0.00658,-0.00541,-0.00862
1148,0.00734,-0.00343,-0.0014
1149,0.00823,-0.00446,-0.00199
1150,0.00905,-0.00253,-0.00191
1151,0.01013,-0.00285,0.00235
1152,0.01191,-0.00284,-0.0019
1153,0.01361,-0.00402,-0.00333
1154,0.01076,-0.00475,-0.0069
1155,0.01237,-0.00441,-0.0136
1156,0.01143,-0.0035,-0.00478
1157,0.01144,-0.00157,-0.00961
1158,0.01341,-0.00391,0.00035
1159,0.01244,-0.00216,8e-05
1160,0.01395,-0.00294,-0.00592
1161,0.01264,-0.00288,-0.00972
1162,0.01354,-0.00138,-0.01025
1163,0.01234,-0.00122,-0.0107
1164,0.01368,-0.00304,-0.00701
1165,0.01305,-0.00365,-0.0137
1166,0.01554,-0.00325,-0.00268
1167,0.01357,-0.00489,-0.00626
1168,0.01321,-0.00509,-0.00599
1169,0.01312,-0.00508,-0.00799
1170,0.01324,-0.00443,-0.00818
1171,0.01251,-0.00425,-0.01031
1172,0.01296,-0.00436,-0.00441
1173,0.01386,-0.00594,-4e-05
1174,0.01214,-0.00511,-0.00444
1175,0.01247,-0.00439,-0.00139
1176,0.01298,-0.00428,-0.00633
1177,0.0134,-0.00529,-0.01078
1178,0.01597,-0.00645,-0.00881
1179,0.01602,-0.00414,-0.01111
1180,0.01548,-0.00542,-0.009
1181,0.01442,-0.00492,-0.00316
1182,0.013,-0.00488,-0.00638
1183,0.01324,-0.00391,-0.00339
1184,0.01501,-0.00508,-0.00223
1185,0.01572,-0.00587,-0.00292
1186,0.01545,-0.00705,0.00205
1187,0.0146,-0.00586,0.00269
1188,0.01652,-0.00902,0.00489
1189,0.01567,-0.00881,0.00107
1190,0.01718,-0.00863,0.0022
1191,0.01787,-0.00886,0.00261
1192,0.01799,-0.00976,0.00711
1193,0.02081,-0.00898,0.00443
1194,0.02202,-0.00807,0.00552
1195,0.02041,-0.00806,0.0102
1196,0.01856,-0.0068,0.00922
1197,0.02101,-0.00738,0.00516
1198,0.02043,-0.00728,-0.00142
1199,0.02124,-0.00918,-0.00198
1200,0.0207,-0.00923,-0.00501
1201,0.02284,-0.0087,-0.00353
1202,0.02402,-0.0082,-0.00199
1203,0.02605,-0.00914,-0.0037
1204,0.02447,-0.00873,-0.00797
1205,0.02537,-0.00726,-0.00786
1206,0.02513,-0.00844,-0.01002
1207,0.0244,-0.00973,-0.01258
1208,0.02454,-0.00741,-0.01147
1209,0.02518,-0.00808,-0.00419
1210,0.02434,-0.00904,-0.01133
1211,0.02779,-0.01024,-0.00556
1212,0.02662,-0.00927,-0.00996
1213,0.02581,-0.00973,-0.00325
1214,0.02813,-0.00991,-0.00785
1215,0.02619,-0.0116,-0.00937
