gps_week,dn(m),de(m),du(m)
1473,0.0,0.0,0.0
1474,-0.00022,-0.00111,-0.00106
1475,-0.00126,-0.00171,-0.00844
1476,0.00022,-0.00028,-0.00229
1477,-0.00053,-0.00017,-0.00139
1478,-0.00097,0.0001,-0.00114
1479,0.00011,2e-05,-0.00615
1480,0.00021,0.00162,-0.00618
1481,-0.00015,0.00197,-0.00386
1482,0.00025,0.00241,0.00029
1483,-0.0012,0.00208,-0.00533
1484,-0.00069,0.0005,-0.00777
1485,-0.0018,0.00152,-0.00877
1486,-0.00166,0.00202,-0.0122
1487,-0.00194,0.0024,-0.01331
1488,-0.00232,0.0021,-0.01265
1489,-0.00269,0.00095,-0.00741
1490,-0.00251,0.00032,-0.00893
1491,-0.00178,-0.00083,-0.00473
1492,-0.00129,-0.00049,-0.00498
1493,-0.001,0.0006,-0.00342
1494,-0.00045,0.00102,0.00059
1495,-0.00075,0.00124,-0.00205
1496,0.00067,0.00143,0.00099
1497,-0.00032,0.00064,0.00299
1498,0.00104,0.00061,0.00283
1499,0.00196,0.00127,0.00464
1500,0.00123,0.00047,0.00459
1501,0.00172,0.00018,0.00301
1502,0.00201,0.00076,0.00167
1503,0.00218,0.00151,0.00179
1504,0.00303,0.00068,0.00275
1505,0.00226,0.00214,-0.00108
1506,0.00334,0.00107,0.00042
1507,0.00406,0.00028,-0.00141
1508,0.00549,0.00058,0.00131
1509,0.00432,-0.00023,-0.00045
1510,0.00416,0.00154,-0.0051
1511,0.00531,-0.00099,-0.00125
1512,0.00487,-0.00303,-0.00386
1513,0.00653,-0.00234,0.00074
1514,0.00639,-0.00289,-0.00546
1515,0.00724,-0.00285,-0.00723
1516,0.00724,-0.00407,-0.00827
1517,0.00931,-0.00529,-0.00346
1518,0.00886,-0.00369,-0.00765
1519,0.01035,-0.00352,-0.00849
1520,0.01109,-0.00381,-0.00666
1521,0.0105,-0.00585,-0.00959
1522,0.01205,-0.00565,-0.0048
1523,0.01241,-0.0065,-0.00862
1524,0.01148,-0.00669,-0.00642
1525,0.01119,-0.00595,-0.00955
1526,0.01258,-0.00613,-0.00459
1527,0.01335,-0.00501,-0.00848
1528,0.01318,-0.00524,-0.00806
1529,0.01398,-0.0051,-0.00639
1530,0.01268,-0.00331,-0.00772
1531,0.01504,-0.00333,-0.00423
1532,0.01492,-0.00463,-0.00596
1533,0.0136,-0.00484,-0.00857
1534,0.01335,-0.00447,-0.00848
1536,0.01374,-0.00413,-0.00974
1537,0.01351,-0.0036,-0.00903
1540,0.01413,-0.0054,-0.01258
1541,0.01312,-0.00457,-0.00871
1542,0.01397,-0.0044,-0.00644
1543,0.01498,-0.00402,-0.00551
1544,0.0149,-0.00379,-0.00361
1545,0.01506,-0.00351,-0.00142
1546,0.01508,-0.00362,-0.00062
1547,0.01553,-0.00456,0.00461
1548,0.01509,-0.00441,0.00134
1549,0.01465,-0.00371,0.00226
1550,0.01416,-0.00408,0.00254
1551,0.01633,-0.00515,0.00449
1552,0.01627,-0.00429,0.00307
1553,0.01656,-0.0038,0.00311
1554,0.01627,-0.00474,0.00619
1555,0.01708,-0.00372,0.00181
1556,0.01734,-0.00463,0.00209
1557,0.01752,-0.00492,9e-05
1558,0.01684,-0.0057,0.00774
1559,0.01567,-0.00543,0.00478
1560,0.01546,-0.00603,0.00013
1561,0.01599,-0.00671,-0.00211
1562,0.01645,-0.00695,-0.00152
1563,0.01689,-0.00702,0.00267
1564,0.0174,-0.00784,0.00202
1565,0.01924,-0.00857,0.00016
1566,0.0192,-0.00752,0.00224
1567,0.02012,-0.00731,-6e-05
1568,0.02077,-0.00755,-0.00332
1569,0.02051,-0.00867,0.00372
1570,0.02054,-0.00879,-0.00081
1571,0.02058,-0.0096,-0.00175
1572,0.02116,-0.00893,-0.00327
1574,0.0209,-0.01099,-0.00032
1575,0.02246,-0.01187,-0.00068
1576,0.02183,-0.01038,-0.00213
1577,0.02098,-0.01051,-0.00294
1578,0.02234,-0.01032,-0.00229
1579,0.02356,-0.01088,-0.00477
1580,0.02394,-0.01023,-0.00363
1581,0.02146,-0.0096,-0.00446
1582,0.0227,-0.0095,-0.00517
1583,0.02312,-0.0108,-0.00406
1584,0.02369,-0.01019,-0.00893
1585,0.02317,-0.01035,-0.00792
1586,0.02259,-0.01019,-0.00564
1587,0.02254,-0.00958,-0.0124
1588,0.02288,-0.01007,-0.00876
1589,0.02255,-0.0105,-0.00669
1590,0.02264,-0.011,-0.00903
1591,0.02394,-0.01079,-0.00634
1592,0.02355,-0.01135,-0.00587
1593,0.02408,-0.01114,-0.00583
1594,0.02441,-0.01131,-0.00361
1595,0.02444,-0.00944,-0.00483
1596,0.02549,-0.01043,-0.00073
1597,0.02553,-0.01131,0.00194
1598,0.02496,-0.01069,0.00397
1599,0.02481,-0.01048,0.00327
1600,0.02553,-0.00992,0.00033
