gps_week,dn(m),de(m),du(m)
1512,0.0,0.0,0.0
1513,0.00133,0.0,-0.0003
1514,0.00099,0.00012,-0.007
1515,0.00309,-8e-05,-0.01119
1516,0.00233,0.00102,-0.00975
1517,0.00136,-0.00051,-0.00784
1518,0.00162,7e-05,-0.00687
1519,0.00291,0.00148,-0.01308
1520,0.00263,-0.00076,-0.01064
1521,0.00335,-0.00246,-0.00899
1522,0.00503,-0.00357,-0.00857
1523,0.00551,-0.00412,-0.00476
1524,0.0051,-0.00419,-0.01042
1525,0.00489,-0.0053,-0.00827
1526,0.00491,-0.00345,-0.01268
1527,0.00363,-0.0028,-0.0133
1528,0.00579,-0.00289,-0.0125
1529,0.0059,-0.00212,-0.01343
1530,0.00448,-0.00166,-0.02119
1531,0.00631,-0.00367,-0.01867
1532,0.00554,-0.00384,-0.02121
1533,0.00512,-0.00435,-0.02523
1534,0.00444,-0.00467,-0.02426
1535,0.0051,-0.00426,-0.02414
1536,0.00605,-0.00324,-0.0271
1537,0.00564,-0.00366,-0.02223
1538,0.00622,-0.00326,-0.02294
1539,0.00663,-0.00327,-0.02472
1540,0.00778,-0.00423,-0.02194
1541,0.00752,-0.00466,-0.01356
1542,0.0082,-0.00451,-0.01986
1543,0.00865,-0.00384,-0.0149
1544,0.00876,-0.00373,-0.01518
1545,0.01025,-0.00351,-0.01551
1546,0.00948,-0.00354,-0.01748
1547,0.00922,-0.00354,-0.01723
1548,0.00899,-0.00235,-0.01599
1549,0.00966,-0.00233,-0.01567
1550,0.0097,-0.00163,-0.01683
1551,0.01131,-0.0028,-0.0151
1552,0.01156,-0.00321,-0.01496
1553,0.01306,-0.002,-0.01623
1554,0.01251,-0.00225,-0.01889
1555,0.01368,-0.0006,-0.0127
1556,0.01303,-0.00158,-0.01036
1557,0.01387,-0.00309,-0.01239
1558,0.01326,-0.00253,-0.01134
1559,0.01356,-0.00263,-0.01454
1560,0.01417,-0.0034,-0.01192
1561,0.01254,-0.00243,-0.0148
1562,0.01403,-0.00256,-0.00991
1563,0.01261,-0.00246,-0.01638
1564,0.01329,-0.00464,-0.01141
1565,0.01266,-0.00408,-0.01171
1566,0.01275,-0.00226,-0.0145
1567,0.01373,-0.00273,-0.01656
1568,0.01454,-0.00389,-0.02024
1569,0.0153,-0.00233,-0.01597
1570,0.0169,-0.00368,-0.01504
1571,0.01724,-0.00365,-0.01856
1572,0.01922,-0.00414,-0.01415
1574,0.01937,-0.00673,-0.01314
1575,0.02002,-0.00617,-0.0125
1576,0.01942,-0.00496,-0.01263
1577,0.01803,-0.00503,-0.01445
1578,0.01927,-0.00624,-0.01164
1579,0.01857,-0.00645,-0.01742
1580,0.01917,-0.00605,-0.01963
1581,0.01625,-0.00641,-0.01845
1582,0.0171,-0.00574,-0.02247
1583,0.01899,-0.00682,-0.02184
1584,0.01884,-0.00642,-0.02232
1585,0.01905,-0.00666,-0.02167
1586,0.01888,-0.00659,-0.02487
1587,0.01933,-0.00488,-0.02286
1588,0.01934,-0.00683,-0.0254
1589,0.02015,-0.00586,-0.02668
1590,0.02006,-0.00676,-0.02207
1591,0.02156,-0.00668,-0.01882
1592,0.02196,-0.00634,-0.0235
1593,0.02212,-0.00591,-0.02047
1594,0.0212,-0.00609,-0.01692
1595,0.02211,-0.0056,-0.01572
1596,0.02195,-0.00655,-0.01587
1597,0.02219,-0.00661,-0.0147
1598,0.02218,-0.00637,-0.01472
1599,0.02239,-0.00606,-0.01518
1600,0.02406,-0.0057,-0.01408
1601,0.02393,-0.00569,-0.01386
1602,0.02456,-0.0049,-0.01289
1603,0.02489,-0.00537,-0.01035
1604,0.02547,-0.00472,-0.01333
1605,0.02543,-0.00445,-0.01597
1606,0.02643,-0.00546,-0.01471
1607,0.0269,-0.00427,-0.01495
1608,0.02558,-0.00475,-0.01588
1609,0.02606,-0.00426,-0.0184
1610,0.02605,-0.00553,-0.01575
1611,0.02536,-0.00445,-0.01708
1612,0.02487,-0.00546,-0.01689
1613,0.0245,-0.00683,-0.01373
1614,0.02552,-0.00609,-0.01374
1615,0.02479,-0.00597,-0.01076
1616,0.02571,-0.00665,-0.01646
1617,0.02579,-0.00608,-0.01537
1618,0.02705,-0.00762,-0.01846
1619,0.02836,-0.00814,-0.01801
1620,0.02738,-0.0076,-0.0208
1621,0.02802,-0.00792,-0.01871
1622,0.02871,-0.00949,-0.01851
1623,0.02908,-0.00923,-0.02104
1624,0.03163,-0.00956,-0.02511
1625,0.031,-0.00952,-0.02429
1626,0.03075,-0.00929,-0.02696
1627,0.02935,-0.01045,-0.02358
1628,0.03044,-0.00988,-0.02158
1629,0.03008,-0.00967,-0.02624
1630,0.02979,-0.00948,-0.02493
1631,0.03072,-0.01117,-0.0281
1632,0.03036,-0.01147,-0.02731
1633,0.03111,-0.01065,-0.02803
1634,0.03112,-0.01032,-0.03467
1635,0.03267,-0.01137,-0.02892
1636,0.03078,-0.01074,-0.03008
1637,0.03125,-0.01033,-0.0351
1638,0.03263,-0.00986,-0.0306
1639,0.03264,-0.01205,-0.03274
1640,0.03382,-0.01203,-0.03039
1641,0.03348,-0.01198,-0.03127
1642,0.03489,-0.01117,-0.02746
1643,0.03392,-0.01257,-0.02514
1644,0.03541,-0.01105,-0.02571
1645,0.03448,-0.01179,-0.02558
1646,0.03407,-0.01094,-0.02274
1647,0.03327,-0.0114,-0.02099
1648,0.0337,-0.01074,-0.02263
1649,0.03254,-0.01001,-0.02425
1650,0.03412,-0.0097,-0.02264
1651,0.03311,-0.01009,-0.02393
1652,0.03386,-0.00963,-0.02068
1653,0.03428,-0.00919,-0.02554
1654,0.03526,-0.0088,-0.02071
1655,0.03502,-0.00956,-0.01898
1656,0.03569,-0.01039,-0.01424
1657,0.03657,-0.00955,-0.02115
1658,0.03625,-0.00859,-0.02327
1659,0.03714,-0.00864,-0.01957
1660,0.03681,-0.01057,-0.02155
1661,0.03643,-0.01004,-0.01954
1662,0.03637,-0.01162,-0.01861
1663,0.03809,-0.01175,-0.02144
1664,0.03793,-0.01186,-0.02113
1665,0.03974,-0.01311,-0.01944
1666,0.04268,-0.01415,-0.01568
1667,0.04204,-0.01525,-0.01782
1668,0.04138,-0.01494,-0.02097
1669,0.04247,-0.01504,-0.0219
1670,0.04305,-0.01329,-0.01993
1671,0.04537,-0.01426,-0.02472
1672,0.04651,-0.01529,-0.01912
1673,0.04697,-0.01491,-0.01581
1674,0.04819,-0.01429,-0.02368
1675,0.04596,-0.01485,-0.02287
1676,0.04644,-0.01481,-0.02581
1677,0.04536,-0.017,-0.0255
1678,0.04737,-0.01613,-0.02626
1679,0.04921,-0.01716,-0.02454
1680,0.04981,-0.01572,-0.03259
1681,0.049,-0.01754,-0.03337
1682,0.0481,-0.01678,-0.02958
1683,0.04918,-0.0189,-0.0353
