gps_week,dn(m),de(m),du(m)
1564,0.0,0.0,0.0
1565,-0.00051,-0.00046,-0.00036
1566,-0.00016,0.00158,-0.00686
1567,0.00083,0.00157,-0.00289
1568,0.00024,-0.00026,0.00032
1569,0.00194,-0.00031,0.00353
1570,0.00253,0.00224,0.00114
1571,0.00389,-0.00104,-0.00373
1572,0.00459,0.00015,-0.00359
1574,0.00328,-0.00183,0.00049
1575,0.00498,-0.00097,-0.0056
1576,0.00529,-0.00066,-0.00338
1577,0.00343,-0.00188,-0.00154
1578,0.00562,-0.00455,0.00317
1579,0.0053,-0.0005,-0.00128
1580,0.00651,-0.00253,0.00213
1581,0.00403,-0.00185,-0.00244
1582,0.0055,-0.00118,-0.00296
1584,0.00615,-0.00034,-0.00678
1585,0.00725,-0.00111,-0.00383
1586,0.00478,-0.00167,-0.01176
1587,0.00603,-0.00078,-0.00933
1588,0.00603,-0.00054,-0.00957
1589,0.00644,-0.00221,-0.01116
1590,0.00631,-0.00301,-0.01016
1591,0.00601,-0.00194,-0.00384
1592,0.00821,-0.00254,-0.00472
1593,0.00746,-0.00211,-0.00429
1594,0.00784,-0.00352,-0.00272
1595,0.0081,-0.00142,-0.00494
1596,0.00863,-0.00264,-0.003
1597,0.00848,-0.00284,-0.00065
1598,0.0076,-0.00229,-0.00338
1599,0.0086,-0.00203,-0.00508
1600,0.00973,-0.00098,-0.0033
1601,0.00921,-0.001,-0.00091
1602,0.00979,-0.00159,0.00042
1603,0.00946,5e-05,-0.00057
1604,0.01069,0.00016,-0.00154
1605,0.01079,-0.00082,-0.00132
1606,0.01085,-0.00043,-0.00528
1607,0.01124,-0.00085,-0.00392
1608,0.01037,-0.00174,-0.00386
1609,0.01119,-0.00186,-0.00166
1610,0.00996,-0.0015,-0.00301
1611,0.01006,-0.00031,-0.00872
1612,0.01032,-0.00286,-0.00364
1613,0.00917,-0.00152,-0.00284
1614,0.01137,-0.00254,0.00301
1615,0.01099,-0.00321,0.00275
1616,0.01068,-0.00294,0.00053
1617,0.01242,-0.00223,0.0009
1618,0.01306,-0.00419,0.00144
1619,0.01387,-0.00503,-0.00321
1620,0.01321,-0.0031,-0.00777
1621,0.01292,-0.00568,-0.0051
1622,0.01454,-0.00687,-0.00065
1623,0.01494,-0.00625,-0.00434
1624,0.0178,-0.00522,-0.00566
1625,0.0157,-0.00629,-0.00584
1626,0.01748,-0.00732,-0.00443
1627,0.01551,-0.0078,-0.00743
1628,0.01505,-0.00734,-0.0027
1629,0.01634,-0.00814,0.00024
1630,0.0159,-0.00771,-0.00564
1631,0.01626,-0.00873,-0.00328
1632,0.01653,-0.00848,-0.00884
1633,0.01825,-0.00774,-0.00851
1634,0.01725,-0.0089,-0.01346
1635,0.01839,-0.00842,-0.00707
1636,0.01656,-0.00737,-0.00915
1637,0.01735,-0.00761,-0.0075
1638,0.01924,-0.00719,-0.01009
1639,0.01712,-0.00776,-0.01104
1640,0.01828,-0.00827,-0.01118
1641,0.01983,-0.00716,-0.00869
1642,0.0199,-0.00781,-0.00711
1643,0.01914,-0.00943,-0.00222
1644,0.02029,-0.00859,-0.0065
1645,0.01904,-0.00872,-0.00493
1646,0.01947,-0.00909,-0.00494
1647,0.01831,-0.00746,-0.00305
1648,0.01834,-0.00785,-0.0003
1649,0.01771,-0.00848,-0.00297
1650,0.01908,-0.00841,-0.00562
1651,0.01786,-0.00725,-0.00447
1652,0.01983,-0.00738,-0.00506
1653,0.01966,-0.0065,-0.00039
1654,0.01992,-0.00633,0.00083
1655,0.02008,-0.00692,0.00343
1656,0.02051,-0.00608,0.00346
