gps_week,dn(m),de(m),du(m)
1578,0.0,0.0,0.0
1579,0.00012,0.00051,0.00252
1580,0.00032,0.00013,0.00597
1581,-0.0004,0.00066,0.0129
1582,-0.00021,0.00111,0.00956
1583,0.00054,0.00029,0.00589
1584,0.00098,0.00036,0.00876
1585,0.00066,0.00034,0.01034
1586,-0.00054,-0.00114,0.0093
1587,0.00015,-0.00031,0.00553
1588,0.00083,0.00091,0.01235
1589,0.00165,-0.00017,0.01343
1590,0.00128,0.00062,0.01378
1591,0.00239,0.0007,0.01936
1592,0.00116,-0.00072,0.02069
1593,0.00118,-0.00187,0.01899
1594,0.00155,0.00106,0.02237
1595,0.00089,0.00182,0.02123
1596,0.00163,0.00333,0.02634
1597,0.00205,0.00322,0.02838
1598,0.00176,0.00228,0.03387
1599,0.00049,-0.00017,0.0365
1600,0.00119,0.00089,0.03559
1601,0.00067,-0.00101,0.03995
1602,0.00016,-0.00028,0.04057
1603,0.00051,-8e-05,0.04097
1604,0.00097,-0.00174,0.03807
1605,0.00132,-0.00019,0.03994
1606,0.00138,-0.00227,0.04022
1607,0.00132,-0.00338,0.04074
1608,0.00227,-0.00363,0.03482
1609,0.00212,-0.00399,0.03611
1610,0.00231,-0.00432,0.03677
1611,0.00229,-0.00435,0.0358
1612,0.00225,-0.00661,0.03708
1613,0.0029,-0.00436,0.03705
1614,0.00541,-0.0047,0.03409
1615,0.00488,-0.00394,0.03196
1616,0.00697,-0.00473,0.03426
1617,0.00732,-0.00579,0.0306
1618,0.00729,-0.00597,0.03344
1619,0.00894,-0.00672,0.02666
1620,0.00766,-0.0073,0.0188
1621,0.00755,-0.00565,0.02357
1622,0.00908,-0.00624,0.01704
1623,0.00885,-0.0067,0.01432
1624,0.01,-0.00543,0.01326
1625,0.01073,-0.00555,0.01016
1626,0.01006,-0.00469,0.00911
1627,0.00898,-0.0053,0.00533
1628,0.01097,-0.00526,0.00598
1629,0.01081,-0.00426,0.00587
1630,0.00951,-0.00498,-0.00157
1631,0.01228,-0.00513,0.00038
1632,0.01227,-0.00382,0.00081
1633,0.01236,-0.00145,-0.00186
1634,0.01198,-0.00369,-0.00231
1635,0.01306,-0.00247,0.00111
1636,0.01171,-0.00245,0.00139
1637,0.01144,-0.00321,0.00301
1638,0.01319,-0.00329,0.00303
1639,0.01185,-0.0037,0.0072
1640,0.014,-0.00437,0.00824
1641,0.01339,-0.00307,0.01041
1642,0.01382,-0.00434,0.01339
1643,0.01254,-0.00481,0.0162
1644,0.01319,-0.00378,0.01667
1645,0.01221,-0.00311,0.0189
1646,0.01231,-0.0016,0.02192
1647,0.01018,-0.00067,0.0244
1648,0.01176,-0.00065,0.02405
1649,0.01097,-0.00152,0.03003
1650,0.01119,-0.00288,0.02837
1651,0.01015,-0.00178,0.03236
1652,0.01166,-0.00305,0.03459
1653,0.01255,-0.00276,0.03406
1654,0.01138,-0.00263,0.03286
1655,0.011,-0.00358,0.03785
1656,0.01156,-0.00481,0.03611
1657,0.01232,-0.00453,0.03434
1658,0.01204,-0.00507,0.03176
1659,0.01359,-0.00515,0.03728
1660,0.01463,-0.00554,0.03685
1661,0.01364,-0.00685,0.03337
1662,0.01457,-0.00548,0.0329
1663,0.01584,-0.00607,0.02997
1664,0.0157,-0.00868,0.02939
1665,0.01705,-0.00891,0.03024
1666,0.01783,-0.00786,0.02805
1667,0.01878,-0.00857,0.02683
1668,0.01799,-0.00899,0.02189
1669,0.01892,-0.00858,0.02561
1670,0.0197,-0.00731,0.01817
1671,0.02091,-0.00724,0.02144
1672,0.02181,-0.00791,0.01205
1673,0.02358,-0.00794,0.01727
1674,0.02303,-0.00678,0.01584
1675,0.0225,-0.00896,0.01596
1676,0.02163,-0.00707,0.01216
1677,0.02212,-0.0084,0.00994
1678,0.02308,-0.00666,0.00518
1679,0.02385,-0.00784,0.00358
1680,0.02425,-0.00752,0.00193
1681,0.02368,-0.00781,-0.00083
1682,0.02428,-0.00754,0.00374
1683,0.02351,-0.00668,0.0016
1684,0.02362,-0.00939,-0.00314
1685,0.02447,-0.00729,-0.00061
1686,0.02272,-0.00799,-0.00136
1687,0.02395,-0.00633,0.00304
1688,0.02404,-0.00701,0.00272
1689,0.02356,-0.00897,0.00065
1690,0.02468,-0.00842,0.00279
1691,0.02343,-0.00932,0.00668
1692,0.02479,-0.00886,0.00734
1693,0.02379,-0.00992,0.01272
1694,0.02431,-0.0078,0.01108
1695,0.02325,-0.00611,0.01222
1696,0.02235,-0.00701,0.01394
1697,0.02231,-0.00736,0.01514
1698,0.02232,-0.00626,0.01693
1699,0.02265,-0.00458,0.02027
1700,0.02338,-0.00439,0.02033
1701,0.02428,-0.00407,0.02592
1702,0.02379,-0.00241,0.02546
1703,0.02371,-0.00365,0.02572
1704,0.02378,-0.00212,0.02539
1705,0.02498,-0.00334,0.02895
1706,0.02368,-0.00557,0.03177
1707,0.02312,-0.00549,0.02604
1708,0.0244,-0.00761,0.03784
1709,0.0256,-0.00885,0.03351
1710,0.02506,-0.00857,0.03396
1711,0.0255,-0.00817,0.03705
1712,0.02574,-0.00751,0.0374
1713,0.02745,-0.00905,0.03413
1714,0.02707,-0.01002,0.03047
1715,0.02714,-0.01056,0.02906
1716,0.02919,-0.01102,0.02956
1717,0.02955,-0.01118,0.02879
1718,0.03064,-0.01004,0.0256
1719,0.03084,-0.01042,0.02933
1720,0.03144,-0.01206,0.02587
1721,0.03021,-0.01292,0.02649
1722,0.03234,-0.01179,0.02319
1723,0.03392,-0.01342,0.01705
1724,0.03362,-0.01247,0.01976
1725,0.03399,-0.01351,0.01795
1726,0.03604,-0.01214,0.00993
1727,0.03515,-0.01388,0.01141
1728,0.03562,-0.01344,0.01343
1729,0.03715,-0.01176,0.00793
1730,0.03886,-0.01085,0.00964
1731,0.03562,-0.00994,0.00678
1732,0.0376,-0.01073,0.00252
1733,0.03789,-0.01116,-0.00368
1734,0.03702,-0.00963,0.00305
1735,0.03543,-0.01028,-0.00287
1736,0.0373,-0.00963,-0.00601
1737,0.03699,-0.00939,-0.00266
1738,0.03689,-0.01041,0.00186
1739,0.03699,-0.00961,-0.00045
1740,0.03701,-0.01102,0.0032
1741,0.0375,-0.01071,0.0017
1742,0.03824,-0.01167,0.00529
1743,0.03837,-0.0119,0.00485
1744,0.03851,-0.01035,0.00919
1745,0.03727,-0.00945,0.01277
1746,0.03841,-0.00947,0.0119
1747,0.03761,-0.0105,0.00959
1748,0.03643,-0.0088,0.00839
1749,0.03669,-0.00771,0.01209
1750,0.03571,-0.01026,0.01547
1751,0.03644,-0.00644,0.01896
1752,0.03708,-0.0071,0.02011
1753,0.0369,-0.00719,0.0216
1754,0.03716,-0.00631,0.02445
1755,0.03746,-0.00708,0.02246
1756,0.03744,-0.00803,0.02469
1757,0.03754,-0.0074,0.02481
1758,0.03794,-0.01053,0.02817
1759,0.03855,-0.00986,0.02784
1760,0.03722,-0.01147,0.03329
1761,0.03723,-0.00933,0.02874
1762,0.03709,-0.01169,0.02915
1763,0.03937,-0.01239,0.0274
1764,0.03872,-0.0125,0.02719
1765,0.04081,-0.0124,0.02661
1766,0.03999,-0.0125,0.03095
1767,0.0415,-0.01395,0.03116
1768,0.0429,-0.01526,0.0274
1769,0.04298,-0.01463,0.02589
1770,0.0438,-0.01318,0.02937
1771,0.04336,-0.01419,0.02195
1772,0.04467,-0.01512,0.02391
1773,0.04639,-0.01324,0.02376
1774,0.04621,-0.01468,0.01812
1775,0.04603,-0.01476,0.01423
1776,0.04722,-0.01459,0.01218
1777,0.04655,-0.01318,0.01488
1778,0.04801,-0.01508,0.01287
1779,0.04828,-0.01528,0.00802
1780,0.04862,-0.01305,0.00744
1781,0.04937,-0.0136,0.0067
1782,0.04842,-0.01371,0.00401
1783,0.04808,-0.01395,0.0003
1784,0.04777,-0.01431,-0.00283
1785,0.04804,-0.01359,-0.00684
1786,0.04758,-0.01358,-0.00285
1787,0.04609,-0.0151,-0.00419
1788,0.04586,-0.01569,-0.00146
1789,0.04657,-0.01516,-0.00788
1790,0.04821,-0.01623,-0.00061
1791,0.04932,-0.01523,-0.00177
1792,0.04829,-0.01386,0.00139
1793,0.04953,-0.01676,-0.00084
1794,0.04972,-0.01631,0.00419
1795,0.04822,-0.01538,0.00801
1796,0.04746,-0.01501,0.00468
1797,0.04703,-0.01369,0.001
1798,0.04737,-0.01369,0.00545
1799,0.04614,-0.0145,0.00748
1800,0.04724,-0.01415,0.00796
1801,0.04615,-0.01455,0.01169
1802,0.04509,-0.01487,0.01476
1803,0.04681,-0.01468,0.01169
