gps_week,dn(m),de(m),du(m)
1460,0.0,0.0,0.0
1461,0.00034,-0.00016,-0.00472
1462,0.00026,-0.00065,-0.00591
1463,-0.00012,-0.00035,-0.00555
1464,-0.00014,0.00194,-0.01054
1465,0.00121,0.00056,-0.01424
1466,0.00071,-0.00034,-0.01444
1467,1e-05,0.00056,-0.01446
1468,0.00076,0.00021,-0.01149
1469,0.00089,0.0011,-0.01526
1470,-4e-05,0.00066,-0.01976
1471,-0.0002,-0.00056,-0.02036
1472,-5e-05,0.00078,-0.01892
1473,-0.00081,0.00133,-0.01837
1474,-0.0008,0.00084,-0.02107
1475,-0.00094,0.00143,-0.02453
1476,-0.0005,0.0012,-0.02353
1477,-7e-05,0.00288,-0.02237
1478,-0.00057,0.00227,-0.02144
1479,-0.00056,0.00217,-0.02409
1480,0.00024,0.00219,-0.01764
1481,0.00079,0.00186,-0.01836
1482,0.00114,0.00182,-0.01786
1483,0.00134,0.0008,-0.01408
1484,0.00115,0.00115,-0.01478
1485,0.00046,0.00132,-0.01429
1486,0.0001,0.00097,-0.01481
1487,0.00041,-1e-05,-0.00857
1488,0.00101,-0.00036,-0.01154
1489,8e-05,-0.00073,-0.00569
1490,0.00081,-0.00127,-0.0009
1491,0.0003,-0.00188,0.00898
1492,0.00248,-0.00202,0.0064
1493,0.00024,-0.00081,0.00319
1494,0.0021,-0.00035,0.01099
1495,0.00211,0.00068,0.01161
1496,0.00264,0.00063,0.01164
1497,0.00319,0.00107,0.01188
1498,0.00294,-0.00108,0.01205
1499,0.003,-0.00037,0.01921
1500,0.00214,-0.00064,0.01902
1501,0.00374,-0.00155,0.01853
1504,0.00522,-0.00039,0.01705
1505,0.00704,-0.0014,0.01533
1506,0.00628,-0.00052,0.01425
1507,0.00716,-0.00152,0.01295
1508,0.00743,-0.00072,0.00663
1509,0.0089,-0.00041,0.00688
1510,0.00696,0.00025,0.00706
1511,0.00867,0.00033,0.00847
1512,0.00797,-0.00114,0.00138
1513,0.00903,-0.00199,-0.00131
1514,0.01153,-0.00114,-0.00501
1515,0.00913,-0.00165,-0.00594
1516,0.01001,-0.00058,-0.0031
1517,0.0108,-0.0006,-0.0039
1518,0.01104,-0.00068,-0.00387
1519,0.01224,-0.00028,-0.00807
1520,0.01131,0.00121,-0.01036
1551,0.0138,-0.0026,0.01048
1552,0.01486,-0.00283,0.0099
1553,0.01477,-0.00179,0.01101
1554,0.01605,-0.00185,0.01063
1555,0.01644,-0.00148,0.01194
1556,0.01657,-0.00307,0.01114
1557,0.01699,-0.00388,0.00803
1558,0.01609,-0.0024,0.00923
1559,0.01582,-0.00316,0.00642
1560,0.01587,-0.00397,0.00453
1561,0.01737,-0.0035,-0.00043
1562,0.01805,-0.00351,-0.00108
1563,0.0181,-0.00316,-0.00588
1564,0.01939,-0.00275,-0.00622
1565,0.01926,-0.00184,-0.00217
1566,0.01927,-0.00251,-0.00683
1567,0.01977,-0.00164,-0.00729
1568,0.02111,-0.00143,-0.01226
1569,0.02081,-0.00328,-0.01245
1570,0.02023,-0.00351,-0.01146
1571,0.02104,-0.0035,-0.01225
1572,0.02108,-0.00358,-0.01807
1574,0.01963,-0.00351,-0.01665
1575,0.02052,-0.00366,-0.01465
1576,0.02133,-0.00282,-0.02068
1577,0.02192,-0.0021,-0.0232
1578,0.02187,-0.00205,-0.02653
1579,0.02231,-0.00236,-0.02533
1580,0.0232,-0.00381,-0.01783
1581,0.02239,-0.0025,-0.01972
1582,0.02302,-0.00269,-0.01893
1583,0.02343,-0.00211,-0.02108
1584,0.02343,-0.00237,-0.01872
1585,0.02346,-0.00353,-0.01937
1586,0.02264,-0.00326,-0.0206
1587,0.02254,-0.00396,-0.0239
1588,0.02298,-0.00489,-0.01462
1589,0.02405,-0.00655,-0.01
1590,0.02311,-0.00542,-0.01159
1591,0.02454,-0.00644,-0.00745
1592,0.02463,-0.00611,-0.00626
1593,0.02424,-0.00703,-0.00815
1594,0.02349,-0.00592,-0.00279
1595,0.02265,-0.0048,-0.00389
1596,0.0234,-0.00414,-0.00229
1597,0.02379,-0.00398,0.00204
1598,0.0235,-0.00529,0.00744
1599,0.02357,-0.00581,0.01253
1600,0.02348,-0.00528,0.00786
1601,0.02398,-0.00549,0.01222
1602,0.0246,-0.00319,0.01504
1603,0.02545,-0.00339,0.01477
1604,0.0249,-0.00387,0.01351
1605,0.02626,-0.00584,0.0138
1606,0.02655,-0.00484,0.01344
1607,0.02499,-0.00477,0.00968
1608,0.02599,-0.00605,0.00741
1609,0.02705,-0.00667,0.00523
1610,0.02729,-0.00598,0.01055
1611,0.02682,-0.00487,0.0084
1612,0.02811,-0.00516,0.00561
1613,0.0279,-0.00557,0.0074
1614,0.02898,-0.00604,0.00794
1615,0.02956,-0.00484,0.00347
1616,0.03066,-0.00531,0.00699
1617,0.03078,-0.00381,0.00163
1618,0.03123,-0.00487,0.00155
1619,0.03281,-0.0042,-0.00268
1620,0.03034,-0.00487,-0.00587
1621,0.03073,-0.0052,-0.00821
1622,0.03191,-0.00484,-0.00836
1623,0.0318,-0.00461,-0.01054
1624,0.03262,-0.0059,-0.01195
1625,0.03208,-0.00491,-0.01862
1626,0.03257,-0.00431,-0.02022
1627,0.03245,-0.00475,-0.02196
1628,0.03318,-0.00398,-0.02075
1629,0.03132,-0.0029,-0.02372
1630,0.03258,-0.00326,-0.02814
1631,0.03326,-0.00493,-0.02627
1632,0.03362,-0.00559,-0.02631
1633,0.03272,-0.00465,-0.02766
1634,0.03243,-0.00453,-0.03081
1635,0.03463,-0.00456,-0.02534
1636,0.03306,-0.00539,-0.02729
1637,0.03323,-0.00636,-0.02523
1638,0.03416,-0.00711,-0.02398
1639,0.03362,-0.00698,-0.01957
1640,0.03537,-0.00891,-0.01536
1641,0.03418,-0.0074,-0.01343
1642,0.03606,-0.00729,-0.011
1643,0.0342,-0.007,-0.00959
1644,0.035,-0.00709,-0.00663
1645,0.03499,-0.00823,-0.0075
1646,0.03304,-0.00617,-0.00519
1647,0.03155,-0.00433,-0.00343
1648,0.03165,-0.0072,0.00207
1649,0.03232,-0.00624,0.00516
1650,0.03279,-0.0071,0.00273
1651,0.03242,-0.00694,0.00787
1652,0.03445,-0.00699,0.00882
1653,0.03514,-0.0063,0.00432
1654,0.03549,-0.00507,0.00617
1655,0.03494,-0.00696,0.0091
1656,0.03343,-0.00704,0.00608
1657,0.03546,-0.00642,0.00655
1658,0.03652,-0.00644,0.00263
1659,0.03711,-0.00725,0.00483
1660,0.03752,-0.00672,0.00542
1661,0.0367,-0.00501,0.00587
1662,0.03641,-0.00622,0.00522
1663,0.03912,-0.00645,0.00384
1664,0.03906,-0.00845,0.00599
1665,0.04236,-0.00862,0.00429
1666,0.04246,-0.00698,0.00022
1667,0.0419,-0.00618,-0.00048
1668,0.04063,-0.00648,-0.00521
1669,0.04106,-0.00637,-0.00724
1670,0.0428,-0.00641,-0.00909
1671,0.04358,-0.00565,-0.01341
1672,0.04451,-0.00613,-0.01179
1673,0.0459,-0.0058,-0.00845
1674,0.04464,-0.00569,-0.01589
1675,0.04368,-0.00601,-0.01757
1676,0.04283,-0.00545,-0.01988
1677,0.04436,-0.0049,-0.0213
1678,0.04463,-0.0053,-0.02477
1679,0.04491,-0.00663,-0.03173
1680,0.04616,-0.0053,-0.02992
1681,0.04499,-0.00577,-0.02831
1682,0.0455,-0.00578,-0.02487
1683,0.0443,-0.00621,-0.02538
1684,0.04503,-0.00832,-0.02957
1685,0.04476,-0.00683,-0.02454
1686,0.04379,-0.00625,-0.03149
1687,0.04418,-0.00707,-0.02824
1688,0.04422,-0.00642,-0.02783
1689,0.04478,-0.00805,-0.02808
1690,0.0455,-0.00859,-0.02476
1691,0.0442,-0.00775,-0.02406
1692,0.04475,-0.00867,-0.0219
1693,0.04384,-0.00987,-0.01609
1694,0.04448,-0.00848,-0.0173
1695,0.04312,-0.00811,-0.01545
1696,0.04273,-0.00863,-0.01762
1697,0.04252,-0.00902,-0.01538
1698,0.04218,-0.00887,-0.00834
1699,0.04223,-0.00818,-0.00799
1700,0.04233,-0.00871,-0.00552
1701,0.04444,-0.00859,0.00042
1702,0.04323,-0.00691,0.0018
1703,0.04455,-0.00732,-7e-05
1704,0.04458,-0.00806,0.0017
1705,0.04558,-0.00589,0.00298
1706,0.04586,-0.00664,0.00606
1707,0.04583,-0.00791,0.00115
1708,0.04675,-0.00757,0.00074
1709,0.04847,-0.00912,0.00577
1710,0.04744,-0.00882,0.00447
1711,0.04948,-0.00951,0.00234
1712,0.04939,-0.00959,0.00666
1713,0.04962,-0.00821,0.00491
1714,0.04946,-0.0088,0.00219
1715,0.04954,-0.00887,-0.00333
1716,0.05015,-0.00958,-0.00024
1717,0.05077,-0.00932,-0.00038
1718,0.05039,-0.01011,-0.00584
1719,0.05184,-0.0096,-0.00538
1720,0.05039,-0.00968,-0.01085
1721,0.04967,-0.01026,-0.01361
1722,0.0507,-0.00865,-0.01624
1723,0.05329,-0.00841,-0.01741
1724,0.05218,-0.0084,-0.01399
1725,0.0521,-0.00869,-0.0214
1726,0.05176,-0.00827,-0.02412
1727,0.05327,-0.008,-0.02556
1728,0.05407,-0.00826,-0.02224
1729,0.05716,-0.00728,-0.02677
1730,0.05799,-0.00671,-0.02634
1731,0.05576,-0.0084,-0.02497
1732,0.05774,-0.00783,-0.02869
1733,0.05777,-0.00781,-0.0324
1734,0.05744,-0.00774,-0.03024
1735,0.05623,-0.0072,-0.02715
1736,0.05683,-0.00699,-0.02794
1737,0.05595,-0.008,-0.03289
1738,0.05716,-0.00921,-0.02084
1739,0.05666,-0.00931,-0.02448
1740,0.05642,-0.0089,-0.02284
1741,0.05769,-0.00866,-0.02309
1742,0.05814,-0.0085,-0.0207
1743,0.05763,-0.0095,-0.01694
1744,0.05679,-0.00929,-0.01601
1745,0.058,-0.00908,-0.01336
1746,0.05708,-0.00784,-0.01717
1747,0.05856,-0.00857,-0.01798
1748,0.05636,-0.00867,-0.01588
1749,0.05638,-0.00876,-0.01358
1750,0.05684,-0.00934,-0.01433
1751,0.05716,-0.0091,-0.01334
1752,0.05747,-0.0094,-0.00651
1753,0.05736,-0.00908,-0.00856
1754,0.0581,-0.00861,-0.00424
1755,0.05838,-0.00921,-0.00689
1756,0.05771,-0.00989,-0.0061
1757,0.05847,-0.00937,-0.00884
1758,0.06252,-0.0035,0.00751
1759,0.06321,-0.00416,0.00959
1760,0.06164,-0.00463,0.01974
1761,0.06317,-0.00341,0.01257
1762,0.06152,-0.00538,0.01431
1763,0.05989,-0.01251,-0.00291
1764,0.05977,-0.01171,-0.00574
1765,0.06102,-0.0111,-0.00367
1766,0.06221,-0.01158,-0.0
1767,0.06193,-0.01232,-0.00505
1768,0.06347,-0.01287,-0.00522
1769,0.06309,-0.01088,-0.00614
1770,0.06211,-0.01107,-0.0041
1771,0.06174,-0.01144,-0.00946
1772,0.06259,-0.01014,-0.00965
1773,0.06423,-0.00919,-0.00489
1774,0.06293,-0.00913,-0.01221
1775,0.06216,-0.00944,-0.01099
1776,0.06403,-0.00919,-0.00807
1777,0.06379,-0.00905,-0.00964
1778,0.06484,-0.0105,-0.01766
1779,0.06608,-0.00998,-0.02079
1780,0.0671,-0.00869,-0.02481
1781,0.06885,-0.00729,-0.039
1782,0.06613,-0.00917,-0.03761
1783,0.06582,-0.00935,-0.03453
1784,0.06715,-0.01054,-0.04208
1785,0.06652,-0.00864,-0.0475
1786,0.06614,-0.00806,-0.03739
1787,0.06463,-0.01181,-0.041
1788,0.0633,-0.0103,-0.0487
1789,0.06358,-0.00859,-0.04896
1790,0.06501,-0.01027,-0.04888
1791,0.06608,-0.00944,-0.04614
1792,0.06486,-0.01003,-0.03992
1793,0.06563,-0.01147,-0.03827
1794,0.06616,-0.01116,-0.0325
1795,0.06466,-0.01206,-0.02931
1796,0.06459,-0.0118,-0.02743
1797,0.06472,-0.01104,-0.035
1798,0.0646,-0.01199,-0.02809
1799,0.06382,-0.01421,-0.0278
1800,0.06514,-0.01285,-0.02784
1801,0.06462,-0.01443,-0.02286
1802,0.06392,-0.01229,-0.02274
1803,0.06572,-0.01469,-0.01933
1804,0.06432,-0.01337,-0.01584
1805,0.06456,-0.01356,-0.01922
1806,0.06454,-0.01437,-0.01386
1807,0.06568,-0.01413,-0.01251
1808,0.06612,-0.0144,-0.01179
1809,0.06603,-0.01476,-0.00464
1810,0.06757,-0.01438,-0.00899
1811,0.06775,-0.01518,-0.009
1812,0.06885,-0.01449,-0.00961
1813,0.06957,-0.01492,-0.00909
1814,0.07023,-0.01779,-0.01222
1815,0.06992,-0.01717,-0.01001
1816,0.06896,-0.01499,-0.00659
1817,0.07051,-0.01693,-0.00796
1818,0.07214,-0.01544,-0.00345
1819,0.07343,-0.01488,-0.00369
1820,0.0721,-0.01416,-0.01384
1821,0.07319,-0.01441,-0.01056
1822,0.07324,-0.01356,-0.00936
1823,0.07375,-0.01504,-0.01083
1824,0.07416,-0.01294,-0.01803
1825,0.07518,-0.01361,-0.01206
1826,0.07469,-0.01395,-0.01824
1827,0.07505,-0.01218,-0.01815
1828,0.07624,-0.01307,-0.02387
1829,0.07699,-0.01362,-0.02629
1830,0.07572,-0.0133,-0.02578
1831,0.07591,-0.01395,-0.02974
1832,0.07749,-0.0125,-0.02668
1833,0.07796,-0.01257,-0.03132
1834,0.0776,-0.01384,-0.03479
1835,0.07742,-0.01355,-0.03074
1836,0.07862,-0.01434,-0.03408
1837,0.07643,-0.01378,-0.0373
1838,0.07645,-0.01496,-0.03424
1839,0.0781,-0.01402,-0.03427
1840,0.0769,-0.01426,-0.03831
1841,0.07861,-0.01461,-0.0348
1842,0.0787,-0.01605,-0.03699
1843,0.08066,-0.0147,-0.03769
1844,0.07852,-0.01548,-0.03777
1845,0.07824,-0.01479,-0.03434
1846,0.07966,-0.01331,-0.03718
1847,0.08064,-0.01402,-0.03402
1848,0.07832,-0.01369,-0.03049
1849,0.07845,-0.0127,-0.02948
1850,0.07699,-0.01536,-0.03296
1851,0.07879,-0.0158,-0.02374
1852,0.07777,-0.01565,-0.02454
1853,0.0778,-0.0157,-0.02383
1854,0.07751,-0.01573,-0.02447
1855,0.07621,-0.01795,-0.02142
1856,0.07727,-0.01602,-0.01636
1857,0.07715,-0.01682,-0.01488
1858,0.07695,-0.01606,-0.01601
1859,0.07683,-0.01591,-0.01192
1860,0.07798,-0.01609,-0.01112
1861,0.08076,-0.01572,-0.00743
1862,0.07855,-0.01583,-0.00756
1863,0.07988,-0.01634,-0.00121
1864,0.07955,-0.01975,-0.00328
1865,0.08055,-0.0194,-0.00088
1866,0.08022,-0.01804,3e-05
1867,0.08153,-0.01687,0.00453
1868,0.07945,-0.01839,0.00573
1869,0.08269,-0.01797,-0.00072
1870,0.08206,-0.01911,-0.00174
1871,0.08276,-0.01725,0.00274
1872,0.08422,-0.01729,-0.00321
1873,0.08296,-0.01601,0.00176
1874,0.08257,-0.01738,-0.00087
1875,0.08402,-0.01734,0.00058
1876,0.0851,-0.01824,-0.00202
1877,0.08646,-0.01777,0.00029
1878,0.08557,-0.016,-0.0024
1879,0.08566,-0.01639,-0.00441
1880,0.08759,-0.01599,-0.00536
1881,0.08669,-0.01583,-0.00589
1882,0.08693,-0.0156,-0.00881
1883,0.08728,-0.01637,-0.01186
1884,0.08704,-0.01545,-0.01076
1885,0.08804,-0.01573,-0.01573
1886,0.08996,-0.01659,-0.01516
1887,0.08919,-0.01612,-0.02518
1888,0.08878,-0.01768,-0.02377
1889,0.08939,-0.01762,-0.02497
1890,0.08921,-0.01571,-0.02792
1891,0.08911,-0.01721,-0.02333
1892,0.0908,-0.01723,-0.02666
1893,0.09028,-0.01623,-0.01749
1894,0.09192,-0.01564,-0.02454
1895,0.09201,-0.01531,-0.02219
1896,0.09172,-0.01566,-0.02034
1897,0.09319,-0.01416,-0.02053
1898,0.09102,-0.0159,-0.02277
1899,0.09152,-0.01685,-0.01763
1900,0.09216,-0.01767,-0.01726
1901,0.08954,-0.0179,-0.01614
1902,0.09038,-0.01711,-0.01574
1903,0.09007,-0.01697,-0.01251
1904,0.09047,-0.01738,-0.00917
1905,0.09038,-0.0177,-0.00662
1906,0.091,-0.01664,-0.01419
1907,0.0905,-0.01725,-0.00837
1908,0.09056,-0.01801,-0.00618
1909,0.09166,-0.01654,-0.00204
1910,0.0931,-0.01699,-0.00208
1911,0.09178,-0.01639,-0.0036
1912,0.09176,-0.01692,-6e-05
1913,0.09059,-0.01751,-0.00435
1914,0.09222,-0.01837,0.00285
1915,0.09145,-0.01791,-0.00154
1916,0.09253,-0.01751,0.00031
1917,0.0946,-0.01807,0.00032
1918,0.09322,-0.01789,-0.00205
1919,0.09342,-0.01592,-0.0025
1920,0.09533,-0.01558,-0.00179
1921,0.09343,-0.01647,-0.00427
1922,0.09318,-0.01594,-0.00127
1923,0.09344,-0.01569,0.00026
1924,0.09397,-0.01675,0.00062
1925,0.09471,-0.0177,0.00058
1926,0.09426,-0.01766,0.00506
1927,0.09514,-0.01547,0.00508
1928,0.09382,-0.01693,0.00379
1929,0.09471,-0.01753,0.00708
1930,0.09389,-0.01535,0.00394
1931,0.09601,-0.01645,0.00286
1932,0.09659,-0.01597,0.00312
1933,0.09876,-0.01516,0.01475
1934,0.09525,-0.01589,0.01376
1935,0.09563,-0.01588,0.00877
1936,0.09559,-0.01585,0.01692
1937,0.09519,-0.01595,-0.01638
1938,0.09518,-0.0172,-0.01769
1939,0.09679,-0.01653,-0.0188
1940,0.09857,-0.01717,-0.025
1941,0.09738,-0.01709,-0.0224
1942,0.09781,-0.01857,-0.01842
1943,0.09787,-0.0164,-0.0211
1944,0.09694,-0.01702,-0.02408
1945,0.0995,-0.01703,-0.02143
1946,0.09758,-0.01709,-0.02344
1947,0.09795,-0.01734,-0.02378
1948,0.09835,-0.01845,-0.01988
1949,0.09782,-0.01737,-0.01874
1950,0.09847,-0.01945,-0.02382
1951,0.09775,-0.01878,-0.02229
1952,0.09938,-0.02027,-0.01911
1953,0.09878,-0.0196,-0.01598
1954,0.09792,-0.02041,-0.01849
1955,0.09785,-0.01928,-0.01324
1956,0.09768,-0.01989,-0.01593
1957,0.09791,-0.02091,-0.01475
1958,0.09789,-0.02066,-0.01618
1959,0.09698,-0.02009,-0.00995
1960,0.09798,-0.02065,-0.00892
1961,0.09751,-0.02008,-0.00578
1962,0.09764,-0.01966,-0.00471
1963,0.09797,-0.02082,-0.00299
1964,0.09725,-0.02,-0.00646
1965,0.09727,-0.02024,-0.00441
1966,0.09678,-0.02134,-0.00191
1967,0.09833,-0.02079,-0.00602
1968,0.09806,-0.02177,-0.00765
1969,0.09783,-0.01926,0.00028
1970,0.0984,-0.01903,0.00606
1971,0.09853,-0.01958,-0.00155
1972,0.09902,-0.02017,-0.0011
1973,0.09804,-0.02069,0.00441
1974,0.09962,-0.02057,0.00617
1975,0.10117,-0.02158,0.00634
1976,0.10237,-0.02088,0.00728
1977,0.10078,-0.01792,0.0085
1978,0.10179,-0.0177,0.0094
1979,0.10672,-0.02136,0.00402
1980,0.10485,-0.01887,-0.00213
1981,0.106,-0.01717,-0.00663
1982,0.10709,-0.01908,0.00251
1983,0.10808,-0.01708,-0.01153
1984,0.10787,-0.01803,-0.02096
1985,0.10651,-0.01622,-0.02426
1986,0.10399,-0.0159,0.00189
1987,0.10676,-0.01443,-0.00764
1988,0.10534,-0.01689,-0.01794
1989,0.10778,-0.01398,-0.00034
1990,0.10748,-0.01427,-0.01165
1991,0.10779,-0.01602,-0.02009
1992,0.10767,-0.01441,-0.01822
1993,0.10846,-0.01311,-0.01634
1995,0.11039,-0.01541,-0.01941
1996,0.10628,-0.01418,-0.02012
1997,0.10524,-0.01653,-0.0278
1998,0.10767,-0.01718,-0.02993
1999,0.10831,-0.0175,-0.03204
2000,0.10994,-0.01802,-0.03069
2001,0.11079,-0.01703,-0.02367
2002,0.10928,-0.01809,-0.02947
