gps_week,dn(m),de(m),du(m)
1473,0.0,0.0,0.0
1474,0.00161,-0.00078,0.0043
1475,-2e-05,-0.00167,0.00098
1476,0.00112,-0.0,-0.00331
1477,0.00191,0.00012,0.00131
1478,0.00173,-0.0,0.00117
1479,0.00223,0.00056,-0.00143
1480,0.00271,0.00125,0.00197
1481,0.00253,-8e-05,0.00284
1482,0.0028,-0.00036,0.00132
1483,0.00206,0.00065,0.00682
1484,0.0026,-0.00037,0.00847
1485,0.00128,-0.00091,0.0052
1486,0.00217,-0.00066,0.00653
1487,0.0023,-0.0008,0.00677
1488,0.00253,-0.00239,0.00707
1489,0.0024,-0.00152,0.0099
1490,0.00261,-0.00236,0.01251
1491,0.00278,-0.00424,0.01771
1492,0.00351,-0.00376,0.01959
1493,0.00334,-0.00325,0.02118
1494,0.00373,-0.00357,0.02227
1495,0.004,-0.00114,0.02237
1496,0.00488,-0.00101,0.02271
1497,0.00394,-0.00107,0.02755
1498,0.00507,-0.00222,0.02828
1499,0.00558,-0.00167,0.03048
1500,0.00456,-0.00069,0.03151
1501,0.005,-0.00241,0.03322
1502,0.00621,-0.00169,0.03098
1503,0.00528,-0.00117,0.034
1504,0.00614,-0.00216,0.0323
1505,0.00672,-0.00134,0.02821
1506,0.00585,-0.0026,0.03195
1507,0.00712,-0.00215,0.02683
1508,0.00775,-0.00249,0.02198
1509,0.00841,-0.00197,0.02477
1510,0.00831,-0.00135,0.02142
1511,0.00904,-0.00135,0.02075
1512,0.00842,-0.00217,0.01776
1514,0.01,-0.0022,0.01353
1515,0.01008,-0.00264,0.01506
1516,0.01112,-0.00317,0.01053
1517,0.01111,-0.00359,0.01377
1518,0.01145,-0.00293,0.014
1519,0.01125,-0.00252,0.00955
1520,0.01261,-0.0028,0.00549
1521,0.01256,-0.00299,0.01023
1522,0.01269,-0.00358,0.01008
1523,0.01422,-0.00392,0.00836
1524,0.01248,-0.00372,0.00259
1525,0.01348,-0.00389,0.00165
1526,0.01315,-0.00381,-0.00169
1527,0.01351,-0.0036,-0.00211
1528,0.0139,-0.00433,-0.00619
1529,0.01345,-0.00464,-0.00511
1530,0.01405,-0.00288,-0.00122
1531,0.01514,-0.00318,0.00123
1532,0.01584,-0.00297,-0.00279
1533,0.01584,-0.00443,0.00222
1534,0.01483,-0.00469,-0.00113
1535,0.01596,-0.00454,-0.001
1536,0.01573,-0.00477,0.00242
1537,0.01498,-0.00488,0.00169
1538,0.01494,-0.00595,0.00473
1539,0.01491,-0.00527,0.00456
1540,0.01549,-0.00637,0.00808
1541,0.01503,-0.00603,0.01431
1542,0.01502,-0.00615,0.01191
1543,0.01596,-0.00662,0.01366
1544,0.0152,-0.00498,0.01781
1545,0.01577,-0.0058,0.02301
1546,0.01668,-0.00546,0.02255
1547,0.0155,-0.00358,0.02388
1548,0.01533,-0.00472,0.02573
1549,0.01404,-0.00392,0.02763
1550,0.01501,-0.00657,0.02656
1551,0.01559,-0.00561,0.03107
1552,0.01627,-0.00463,0.03345
1553,0.01782,-0.00425,0.03199
1554,0.01748,-0.00497,0.03498
1555,0.01784,-0.00427,0.03271
1556,0.01696,-0.00564,0.03177
1557,0.01713,-0.00566,0.02932
1558,0.0174,-0.00572,0.02705
1559,0.01678,-0.00637,0.02715
1560,0.01757,-0.00672,0.02567
1561,0.01849,-0.0072,0.02164
1562,0.01941,-0.00637,0.01523
1563,0.01901,-0.00611,0.01664
1564,0.02027,-0.00676,0.01554
1565,0.02012,-0.00635,0.01198
1566,0.02011,-0.00623,0.01306
1567,0.02009,-0.00557,0.01229
1568,0.02162,-0.00616,0.00893
1569,0.02225,-0.00625,0.0095
1570,0.02102,-0.00711,0.00806
1571,0.02206,-0.00669,0.00642
1572,0.022,-0.00713,0.0018
1574,0.02289,-0.00651,0.00187
1575,0.02283,-0.00662,0.00626
1576,0.02391,-0.00678,0.00458
1577,0.02387,-0.00628,0.00287
1578,0.02394,-0.007,-0.00104
1579,0.02443,-0.00655,0.00116
1580,0.02582,-0.00622,0.00258
1581,0.02641,-0.00588,0.00785
1582,0.02476,-0.00649,0.00484
1583,0.02536,-0.00781,0.00397
1584,0.02547,-0.00668,0.00689
1585,0.02595,-0.00693,0.01106
1586,0.02547,-0.00724,0.00588
1587,0.02497,-0.00804,0.00369
1588,0.02619,-0.00811,0.00661
1589,0.02655,-0.00903,0.00966
1590,0.02568,-0.00872,0.00979
1591,0.02662,-0.00892,0.01126
1592,0.02607,-0.01082,0.01535
1593,0.02675,-0.01115,0.01201
1594,0.02629,-0.00989,0.01486
1595,0.02566,-0.00913,0.01601
1596,0.02655,-0.00782,0.01873
1597,0.0257,-0.00806,0.02212
1598,0.02621,-0.00927,0.02885
1599,0.02514,-0.00862,0.03087
1600,0.02609,-0.0076,0.02753
1601,0.02639,-0.0083,0.03192
1602,0.02686,-0.00704,0.03289
1603,0.02713,-0.00887,0.03575
1604,0.02753,-0.00797,0.03519
1605,0.02726,-0.00796,0.03406
1606,0.02762,-0.00779,0.03485
1607,0.028,-0.00828,0.03095
1608,0.02856,-0.00926,0.02908
1609,0.02815,-0.00952,0.03015
1610,0.02883,-0.00939,0.02827
1611,0.02849,-0.00959,0.03061
1612,0.02918,-0.00971,0.0258
1613,0.02947,-0.00864,0.02552
1614,0.0307,-0.00941,0.02895
1615,0.0315,-0.0086,0.02331
1616,0.03332,-0.00891,0.02377
1617,0.03327,-0.0094,0.02012
1618,0.03385,-0.00864,0.02674
1619,0.03476,-0.01088,0.02082
1620,0.03315,-0.0106,0.00972
1621,0.03366,-0.00917,0.01543
1622,0.03442,-0.01022,0.01021
1623,0.035,-0.01011,0.01031
1624,0.03573,-0.00939,0.00826
1625,0.03514,-0.00969,0.00611
1626,0.03574,-0.00894,0.00426
1627,0.03451,-0.00902,0.0035
