gps_week,dn(m),de(m),du(m)
1536,0.0,0.0,0.0
1537,0.00027,-0.0002,0.00319
1538,0.0001,-0.00089,0.00095
1539,2e-05,-0.00127,0.00168
1540,0.00019,-0.00174,0.00103
1541,5e-05,-0.00183,0.0009
1542,0.00047,-0.00111,0.00207
1543,0.00143,-0.00115,0.00169
1544,0.0015,-0.00045,0.00096
1545,0.00109,-0.00077,0.00257
1546,0.00146,-0.00039,0.00037
1547,0.00126,-0.00044,0.0069
1548,0.00086,-0.00065,0.00284
1549,0.00099,0.00012,0.0093
1550,0.00086,-0.0001,0.00447
1551,0.00224,-0.0005,0.0058
1552,0.00275,-0.00025,0.00831
1553,0.00337,-0.00046,0.01271
1554,0.00209,-0.00142,0.00413
1555,0.00245,-0.0015,8e-05
1556,0.00273,-0.00026,-0.00197
1557,0.00343,-0.00098,-0.00363
1558,0.00217,-0.00105,0.00464
1559,0.00262,-0.00151,-0.00327
1560,0.00302,-0.00225,-0.00111
1561,0.0037,-0.00237,-0.00755
1562,0.0053,-0.00241,-0.00934
1564,0.0064,-0.00289,-0.00255
1565,0.00587,-0.00201,-0.00839
1566,0.00647,-0.00204,-0.0106
1567,0.008,-0.00185,-0.01094
1568,0.0077,-0.00298,-0.0145
1569,0.00899,-0.00258,-0.01857
1570,0.00957,-0.00387,-0.0107
1571,0.00975,-0.00354,-0.01397
1572,0.00947,-0.00451,-0.01335
1574,0.00942,-0.00585,-0.01077
1575,0.00943,-0.00587,-0.01136
1576,0.00813,-0.00544,-0.01103
1577,0.00819,-0.0048,-0.01236
1578,0.01067,-0.00484,-0.01793
1579,0.01127,-0.00494,-0.01746
1580,0.01009,-0.00389,-0.01242
1581,0.00954,-0.00447,-0.01505
1582,0.00979,-0.0044,-0.0161
1583,0.00984,-0.00473,-0.02003
1584,0.01039,-0.00505,-0.01636
1585,0.01034,-0.00515,-0.01838
1586,0.01,-0.00506,-0.01794
1587,0.00927,-0.00507,-0.01907
1588,0.00951,-0.00565,-0.01443
1589,0.00942,-0.0065,-0.01334
1590,0.00879,-0.00622,-0.0131
1591,0.0104,-0.00657,-0.01112
1592,0.01034,-0.00754,-0.012
1593,0.01071,-0.00762,-0.01152
1594,0.01017,-0.00678,-0.00844
1595,0.01002,-0.00551,-0.01086
1596,0.01083,-0.00529,-0.00524
1597,0.01098,-0.00554,-0.00287
1598,0.01086,-0.00539,-0.00126
1599,0.01003,-0.0055,-0.00044
1600,0.01075,-0.00523,-0.00069
1601,0.01086,-0.00512,0.00029
1602,0.01148,-0.00489,0.00151
1603,0.0098,-0.00537,-0.00256
1604,0.01099,-0.00545,-0.00517
1605,0.01242,-0.00571,-0.00245
1606,0.01103,-0.00503,-0.00395
1607,0.01165,-0.00546,-0.0039
1608,0.01094,-0.00682,-0.00568
