gps_week,dn(m),de(m),du(m)
1445,0.0,0.0,0.0
1446,-0.00089,0.00036,-0.00298
1447,-0.00106,0.00148,-0.00082
1448,-0.00046,0.00062,0.00488
1449,-0.0012,-0.0002,-0.0014
1450,-0.00129,0.00116,-0.0022
1451,-0.00109,0.00041,0.00167
1452,-0.00023,-0.00114,-0.00469
1453,-0.00077,-0.00056,0.00234
1454,0.00028,-0.00135,-0.00396
1455,0.00054,-0.00191,-0.00386
1456,0.00144,-0.00014,-0.00211
1457,0.00082,-2e-05,-0.00203
1458,0.00096,-0.00131,-0.00903
1459,0.00082,-0.00134,-0.01147
1460,0.00194,-0.00061,-0.00822
1461,0.00214,-0.0012,-0.01069
1462,0.0028,0.00066,-0.01019
1463,0.0018,0.00039,-0.0182
1464,0.00051,-0.00092,-0.00834
1465,0.00096,-0.00013,-0.00541
1466,0.0014,-0.00083,-0.00489
1467,0.00036,-0.0003,-0.0147
1468,0.00026,-0.00255,-0.01329
1469,0.00016,-0.00091,-0.00799
1470,0.00011,-0.00067,-0.01391
1471,0.00087,-0.00158,-0.01427
1472,0.0002,-0.00146,-0.01561
1473,9e-05,-0.00042,-0.01028
1474,0.00106,-0.00137,-0.00902
1475,0.00011,-0.0011,-0.01425
1476,0.00289,-0.00108,-0.01593
1477,0.00141,-1e-05,-0.01318
1478,0.00023,-0.0007,-0.01916
1479,0.00172,-0.00013,-0.02591
1480,0.00249,-2e-05,-0.02246
1481,0.00349,-0.00048,-0.02089
1482,0.00189,-0.00087,-0.02729
1483,0.00312,-0.00137,-0.027
1484,0.00467,-1e-05,-0.02572
1485,0.00317,0.00022,-0.0232
1486,0.00432,-8e-05,-0.02202
1487,0.00559,-0.00063,-0.02736
1488,0.00548,-0.00211,-0.02389
1489,0.0061,-0.00223,-0.0196
1490,0.00605,-0.00275,-0.01613
1491,0.00571,-0.00432,-0.01797
1492,0.00611,-0.00441,-0.0168
1493,0.00718,-0.00313,-0.01349
1494,0.00713,-0.00349,-0.00922
1495,0.00863,-0.0032,-0.00979
1496,0.00921,-0.0014,-0.00827
1497,0.00726,-0.00247,-0.00109
1498,0.0087,-0.00339,-0.00074
1499,0.0089,-0.00367,-0.00217
1500,0.00885,-0.00276,-0.00218
1501,0.0101,-0.00212,0.0037
1502,0.01026,-0.00237,0.00366
1503,0.0094,-0.00238,-0.00291
1504,0.01049,-0.00428,0.00387
1505,0.01109,-0.00376,0.00166
1506,0.01109,-0.00273,0.0001
1507,0.01051,-0.0035,-0.00086
1508,0.0105,-0.00444,-0.00336
1509,0.0125,-0.0026,-0.00497
1510,0.01143,-0.00309,-0.00832
1511,0.01286,-0.00231,-0.00455
1512,0.01061,-0.0026,-0.00646
