gps_week,dn(m),de(m),du(m)
1443,0.0,0.0,0.0
1444,0.00172,-1e-05,0.00113
1445,0.00245,-0.00034,0.00374
1446,0.00074,-0.00034,0.00281
1447,0.00169,0.00033,0.00364
1448,0.00223,-0.00058,0.00221
1449,0.00184,0.00015,0.00698
1450,0.00283,-0.00109,0.00299
1451,0.00359,0.00015,0.00737
1452,0.00365,-0.00081,0.00608
1453,0.00332,0.00052,0.00893
1454,0.00491,-0.00036,0.00887
1455,0.00448,-0.00088,0.00745
1456,0.00401,-0.0006,0.00697
1457,0.00319,-0.00102,0.00592
1458,0.004,-0.00213,0.00743
1459,0.00475,-0.00181,0.01019
1460,0.00487,-0.00178,0.01459
1461,0.00591,-0.00054,0.01108
1462,0.00567,-0.00477,0.01047
1463,0.00704,-0.00277,0.00994
1464,0.00622,-0.00177,0.00499
1465,0.00634,-0.00371,0.00608
1466,0.00689,-0.0032,0.00694
1467,0.00478,-0.00395,0.00352
1468,0.00587,-0.00523,-0.00042
1469,0.00568,-0.00555,-0.0038
1470,0.00484,-0.00588,-0.00392
1471,0.00552,-0.00691,-0.00194
1472,0.00487,-0.00653,-0.00806
1473,0.00472,-0.00647,-0.00885
1474,0.00542,-0.00682,-0.00957
1475,0.00371,-0.00759,-0.00472
1476,0.00479,-0.00588,-0.00852
1477,0.00432,-0.00583,-0.00809
1478,0.00507,-0.0054,-0.01184
1479,0.00663,-0.00535,-0.01386
1480,0.00498,-0.00383,-0.01312
1481,0.0056,-0.00591,-0.00879
1482,0.00309,-0.00526,-0.00411
1483,0.00546,-0.00471,-0.00985
1484,0.006,-0.00489,-0.0111
1485,0.00609,-0.0053,-0.01321
1486,0.0068,-0.0054,-0.01615
1487,0.00723,-0.00452,-0.01404
1488,0.0077,-0.00518,-0.0121
1489,0.00872,-0.00527,-0.01508
1490,0.00965,-0.00569,-0.00704
1491,0.00908,-0.00615,-0.00673
1492,0.01024,-0.00472,-0.00816
1493,0.011,-0.00453,-0.00842
1494,0.01085,-0.00424,-0.00503
1495,0.01105,-0.00408,-0.00339
1496,0.01218,-0.00375,-0.00383
1497,0.01163,-0.00408,0.00027
1498,0.01264,-0.00423,0.00465
1499,0.01344,-0.00392,0.00462
1500,0.01384,-0.00496,0.00507
1501,0.016,-0.00473,0.00137
1502,0.01589,-0.00442,0.00356
1503,0.01624,-0.00421,0.00436
1504,0.01612,-0.00509,0.00583
1505,0.01739,-0.00446,0.00282
1506,0.01595,-0.00506,0.00295
1507,0.01639,-0.00429,0.00263
1508,0.0165,-0.00618,0.00252
1509,0.01645,-0.00561,0.00472
1510,0.01637,-0.00443,0.00481
1511,0.01676,-0.00515,0.00417
1512,0.01656,-0.0064,0.00355
1514,0.01773,-0.00757,-0.00132
1515,0.01742,-0.00801,-0.00114
1516,0.0173,-0.00674,-0.00193
1517,0.01722,-0.00756,-0.00226
1518,0.0171,-0.00838,-0.00423
1519,0.01768,-0.00759,-0.00344
1520,0.01803,-0.00869,-0.00845
1521,0.01778,-0.01093,-0.00435
1522,0.01928,-0.01114,-0.00878
1523,0.02008,-0.01121,-0.01063
1524,0.01822,-0.01179,-0.00984
1525,0.01748,-0.01201,-0.00904
1526,0.01864,-0.01158,-0.01082
1527,0.0174,-0.01164,-0.01523
1528,0.0173,-0.01207,-0.01858
1529,0.01809,-0.01046,-0.02107
1530,0.01696,-0.0111,-0.02001
1531,0.01819,-0.01117,-0.02139
1532,0.01632,-0.01132,-0.02067
1533,0.01678,-0.01314,-0.01855
1534,0.01781,-0.01287,-0.01998
1535,0.01802,-0.01255,-0.02226
1536,0.01849,-0.01169,-0.02035
1537,0.01902,-0.01234,-0.0218
1538,0.01976,-0.01136,-0.02002
1539,0.02006,-0.01239,-0.01911
1540,0.02192,-0.01337,-0.01762
1541,0.02144,-0.01247,-0.01393
1542,0.02147,-0.01215,-0.01545
1543,0.02301,-0.01176,-0.01498
1544,0.02315,-0.01066,-0.01242
1545,0.02432,-0.01098,-0.00985
1546,0.0238,-0.01073,-0.00782
1547,0.02369,-0.00968,-0.00607
1548,0.02393,-0.00937,-0.00798
1549,0.02401,-0.00958,-0.00547
1550,0.02426,-0.00982,-0.0053
1551,0.026,-0.01035,-0.00614
1552,0.02584,-0.01019,-0.00295
1553,0.02723,-0.01006,0.00036
1554,0.02769,-0.01014,-0.00357
1555,0.0275,-0.01022,-0.00134
1556,0.02682,-0.00969,-0.00254
1557,0.0279,-0.01095,-0.00291
1558,0.02698,-0.01022,-0.0009
1559,0.02847,-0.01065,-0.00161
1560,0.02694,-0.01128,-0.0019
1561,0.02754,-0.01101,-0.0005
1562,0.02866,-0.01122,-0.00013
1563,0.02766,-0.01159,-0.00264
1564,0.02795,-0.01239,-0.00174
1565,0.02792,-0.01265,-0.00421
1566,0.02774,-0.01221,-0.00638
1567,0.02926,-0.01122,-0.00935
1568,0.02901,-0.01243,-0.00929
1569,0.0304,-0.01246,-0.00985
1570,0.02946,-0.01306,-0.01002
1571,0.03076,-0.01364,-0.01041
1572,0.03155,-0.01419,-0.00832
1574,0.03218,-0.01458,-0.00741
1575,0.03197,-0.01476,-0.00787
1576,0.03226,-0.01378,-0.00197
1577,0.03134,-0.01395,-0.00655
1578,0.03168,-0.01344,-0.00984
1579,0.03173,-0.01475,-0.01186
1580,0.03227,-0.01507,-0.01455
1581,0.03093,-0.01515,-0.01211
1585,0.03291,-0.01382,-0.01447
1586,0.03281,-0.01491,-0.02013
1587,0.03242,-0.0149,-0.01997
1588,0.03374,-0.01532,-0.0191
1589,0.03463,-0.01531,-0.01774
1590,0.03395,-0.01528,-0.01739
1591,0.03511,-0.01573,-0.01446
1592,0.03626,-0.01543,-0.01386
1593,0.03558,-0.01418,-0.01576
1594,0.03653,-0.0148,-0.01532
1595,0.03614,-0.01397,-0.00812
1596,0.03736,-0.01437,-0.01084
1597,0.0377,-0.01367,-0.00817
1598,0.03756,-0.01391,-0.00756
1599,0.03851,-0.0141,-0.00747
1600,0.03943,-0.01371,-0.00677
1601,0.04003,-0.01358,-0.00482
