gps_week,dn(m),de(m),du(m)
1443,0.0,0.0,0.0
1444,0.00076,-0.00044,0.00304
1445,0.00089,6e-05,0.00565
1446,0.00034,-0.00038,0.00618
1447,0.00041,-0.00128,0.00444
1448,0.0005,-0.00211,0.00457
1449,0.00064,-0.00113,0.00488
1450,0.00046,-0.00183,0.00768
1451,0.00102,-0.00084,0.0049
1452,0.00115,-0.00192,0.00851
1453,0.00252,-0.00159,0.00724
1454,0.00241,-0.00272,0.00501
1455,0.00231,-0.0026,0.01013
1456,0.0035,-0.00129,0.00917
1457,0.00177,-0.00127,0.00987
1458,0.00239,-0.00183,0.00622
1459,0.00208,-0.00255,0.00633
1460,0.00251,-0.00222,0.00313
1461,0.00282,-0.00139,0.0058
1462,0.00384,-0.00269,0.00317
1463,0.0049,-0.00145,0.00141
1464,0.00478,-0.00303,0.00317
1465,0.00586,-0.0038,0.0021
1466,0.00474,-0.00347,0.00467
1467,0.00501,-0.00451,0.0055
1468,0.0053,-0.0052,0.00114
1469,0.00552,-0.00543,-0.00142
1470,0.00527,-0.00734,-0.00016
1471,0.00575,-0.00676,0.00044
1472,0.00725,-0.00737,-0.00083
1473,0.00589,-0.00787,0.00566
1474,0.00793,-0.00619,0.00624
1475,0.00635,-0.00747,0.00089
1476,0.00805,-0.00595,0.00559
1477,0.00833,-0.00561,0.00224
1478,0.0078,-0.00586,0.00311
1479,0.00865,-0.00494,-0.00359
1480,0.00778,-0.00487,0.00256
1481,0.00849,-0.00423,0.00359
1482,0.00835,-0.00441,0.01363
1483,0.00792,-0.00421,-0.00257
1484,0.00822,-0.00584,-9e-05
1485,0.00683,-0.00441,-0.00034
1486,0.00826,-0.00372,-0.00247
1487,0.00868,-0.00455,-0.00572
1488,0.00875,-0.00403,-0.00305
1489,0.00776,-0.00433,-0.00107
1490,0.00819,-0.0051,-0.00014
1491,0.00977,-0.00557,-0.00057
1492,0.00985,-0.00513,-0.00044
1493,0.01013,-0.00446,0.00132
1494,0.01073,-0.00419,0.00257
1495,0.0104,-0.00361,0.00361
1496,0.01118,-0.00387,0.00522
1497,0.01083,-0.00469,0.00644
1498,0.01121,-0.00464,0.01032
1499,0.01213,-0.00479,0.00965
1500,0.01136,-0.00529,0.00879
1501,0.01323,-0.00584,0.00197
1502,0.01355,-0.00491,0.00528
1503,0.01294,-0.00447,0.00385
1504,0.01383,-0.00551,0.00523
1505,0.01408,-0.00368,0.00352
1506,0.01387,-0.00528,0.00471
1507,0.0131,-0.00472,0.00438
1508,0.01316,-0.00593,0.00268
1509,0.01281,-0.00578,0.00363
1510,0.01289,-0.00571,0.00431
1511,0.01375,-0.00698,0.00619
1512,0.01287,-0.00827,0.00683
