gps_week,dn(m),de(m),du(m)
1473,0.0,0.0,0.0
1474,0.00081,0.00106,0.00439
1476,0.00384,0.0004,-0.00183
1483,0.00037,0.00187,-0.01134
1484,0.00191,0.00115,-0.00517
1485,0.00055,0.00214,-0.01131
1486,0.00075,0.0019,-0.00904
1487,0.00043,0.00076,-0.00912
1488,0.00115,0.00087,-0.00622
1489,-0.00025,7e-05,-0.00274
1490,0.001,-0.00032,6e-05
1491,0.00207,-0.00156,-0.00403
1492,0.00209,-0.00064,-0.00451
1493,0.0027,-0.00013,-0.00394
1494,0.00327,0.00033,-0.00401
1495,0.00147,0.00092,0.00137
1496,0.00303,0.00092,-0.00227
1497,0.00368,0.0008,-0.00347
1498,0.00429,0.00079,-0.00221
1499,0.00483,0.00097,0.00376
1500,0.00494,0.0011,-0.00194
1501,0.00521,0.0004,0.00523
1502,0.00552,0.00094,0.00197
1503,0.00603,0.00116,0.00269
1504,0.00718,0.00024,0.00523
1505,0.00775,0.0017,0.00281
1506,0.00625,0.00142,0.00152
1507,0.00642,0.0037,0.00193
1508,0.00655,0.0015,0.00345
1509,0.00694,0.00294,0.00498
1510,0.00661,0.00271,0.00562
1511,0.00768,0.00284,0.00266
1512,0.00768,0.00138,0.00254
1513,0.00873,0.0018,0.00369
1514,0.01008,0.00096,0.00628
1515,0.01089,0.00092,-0.00098
1516,0.0108,0.00157,0.00302
1517,0.01108,0.00011,-0.00097
1518,0.01056,0.00034,0.00327
1519,0.01273,0.00162,0.0026
1520,0.01293,-0.00125,-9e-05
1521,0.01324,-0.00185,-0.00131
1522,0.01381,-0.00155,0.0011
1523,0.01476,-0.00156,0.00319
1524,0.01434,-0.00101,-0.00198
1525,0.01345,-0.00179,0.00388
1526,0.01369,-0.00093,-0.00139
1527,0.01492,-2e-05,-0.00236
1528,0.01446,-0.00064,-0.00244
1529,0.01537,0.00013,-0.00082
1530,0.01385,0.0018,0.0008
1531,0.01589,0.00145,0.00152
1532,0.01689,0.00061,-0.00072
1533,0.0159,0.00026,-0.0023
1534,0.0156,-0.0006,-0.00508
1535,0.01721,-0.00061,-0.00661
1536,0.01571,-0.0009,-0.00719
1537,0.01558,-0.00068,-0.0035
1538,0.01577,-0.00087,-0.00409
1539,0.01626,-0.00201,-0.00379
1540,0.01694,-0.00254,-0.00602
1541,0.01684,-0.00274,-0.00423
1542,0.017,-0.00182,-0.00744
1543,0.01879,-0.00234,-0.00218
1544,0.01849,-0.00079,-0.00382
1545,0.0179,-0.00163,-0.00136
1546,0.01812,-0.00052,-0.00454
1547,0.01795,-0.00098,-0.00043
1548,0.01813,-0.00082,0.00473
1549,0.01816,-0.00074,0.00199
1550,0.01766,-0.00108,0.00107
1551,0.01891,-0.00125,-0.00016
1552,0.01895,-0.00097,-0.00109
1553,0.02035,-0.00074,0.00125
1554,0.01987,-0.00145,0.00202
1555,0.02079,-0.00161,0.00383
1556,0.01932,-0.0008,0.00682
1557,0.0203,-0.00154,0.0019
1558,0.01957,-0.00148,0.00772
1559,0.01882,-0.00176,0.00426
1560,0.01906,-0.00357,-0.00037
1561,0.02042,-0.00276,-0.0025
1562,0.02047,-0.00206,-0.00539
1563,0.0206,-0.00229,-0.00452
1564,0.02176,-0.00276,-0.00166
1565,0.02209,-0.00203,0.00124
1566,0.02217,-0.00271,-0.00557
1567,0.02246,-0.00247,-0.00527
1568,0.02463,-0.00263,-0.00555
1569,0.02442,-0.00324,-0.00337
1570,0.02506,-0.00343,-0.00303
1571,0.0254,-0.00269,-0.00806
1572,0.02643,-0.00452,-0.00614
1574,0.0237,-0.00784,-0.0024
1575,0.02322,-0.00839,-0.00617
1576,0.02408,-0.00768,-0.0015
1577,0.02386,-0.0073,-0.00717
1578,0.02636,-0.00689,-0.01309
1579,0.02631,-0.00662,-0.00914
1580,0.02514,-0.00606,-0.00541
1581,0.02397,-0.00688,-0.00928
1582,0.02541,-0.00714,-0.00954
1583,0.02578,-0.00748,-0.01364
1584,0.026,-0.00711,-0.01123
1585,0.0263,-0.00783,-0.01277
1586,0.02561,-0.00752,-0.01432
1587,0.02556,-0.00728,-0.01576
1588,0.02457,-0.0076,-0.00803
1589,0.02463,-0.00889,-0.00872
1590,0.02452,-0.00849,-0.01111
1591,0.02515,-0.00853,-0.00842
1592,0.02455,-0.01027,-0.01265
1593,0.02515,-0.01006,-0.01082
1594,0.02597,-0.00963,-0.00863
1595,0.02544,-0.00873,-0.0134
1596,0.02614,-0.00821,-0.00784
1597,0.02677,-0.00779,-0.00625
1598,0.02589,-0.00745,-0.00116
1599,0.02556,-0.00836,-0.00248
1600,0.02571,-0.00737,-0.00487
1601,0.02487,-0.00785,-0.00414
1602,0.0255,-0.00786,-0.00299
1603,0.02491,-0.00874,-0.00161
1604,0.02606,-0.00842,-0.00741
1605,0.02776,-0.00884,-0.00297
1606,0.02724,-0.00865,-0.00208
1607,0.02666,-0.00817,-0.00034
1608,0.02565,-0.00897,-0.0039
1609,0.02581,-0.00866,-0.00439
1610,0.02585,-0.00966,-0.00148
1611,0.02583,-0.00915,0.00116
1612,0.0261,-0.00991,-0.00264
1613,0.02753,-0.00935,-0.00017
1614,0.02935,-0.00917,0.00357
1615,0.03125,-0.00912,-0.00029
1616,0.02994,-0.01018,-0.00104
1617,0.03093,-0.01043,-0.00261
1618,0.03146,-0.01095,0.0031
1619,0.03285,-0.01083,-0.00044
1620,0.03209,-0.01105,-0.00707
1621,0.03266,-0.0115,-0.00698
1622,0.03437,-0.01145,-0.00209
1623,0.0347,-0.01152,-0.00963
1624,0.03605,-0.0098,-0.0023
1625,0.03691,-0.00904,-0.01193
1626,0.03579,-0.00762,-0.00564
1627,0.03633,-0.00818,-0.00399
1628,0.0362,-0.00681,-0.0036
1629,0.03681,-0.00808,-0.00522
1630,0.03708,-0.00732,-0.00672
1631,0.03782,-0.00733,-0.00785
1632,0.03766,-0.00679,-0.00489
1633,0.03755,-0.00782,-0.0153
1634,0.03719,-0.00877,-0.01787
1635,0.03769,-0.007,-0.01318
1636,0.03627,-0.00908,-0.01711
1637,0.03611,-0.00872,-0.01693
1638,0.03671,-0.0103,-0.01799
1639,0.03508,-0.01155,-0.01261
1640,0.03584,-0.01031,-0.01379
1641,0.03622,-0.00762,-0.00666
1642,0.03809,-0.01248,-0.01202
1643,0.03762,-0.01268,-0.01419
1644,0.03775,-0.00851,-0.00901
1645,0.03804,-0.00749,-0.00684
1646,0.03805,-0.00518,-0.00548
1647,0.03632,-0.00815,-0.00426
1648,0.0371,-0.00563,-0.00985
1649,0.0357,-0.00644,-0.0078
1650,0.03635,-0.00755,-0.01339
1651,0.03552,-0.00684,-0.00817
1652,0.03643,-0.00713,-0.00536
1653,0.0375,-0.00686,-0.00794
1654,0.03905,-0.00532,-0.00515
1655,0.03818,-0.00747,-0.00178
1656,0.03675,-0.00824,-0.00549
1657,0.03783,-0.00604,0.00316
1658,0.03771,-0.00615,-0.00688
1659,0.03764,-0.0048,-0.0025
1660,0.03887,-0.00725,-0.00707
1661,0.03748,-0.00573,-0.00092
1662,0.03777,-0.00657,-0.00411
1663,0.03903,-0.00646,0.00259
1664,0.03989,-0.00758,0.00019
1665,0.04123,-0.00556,0.00296
1666,0.0418,-0.00665,0.0
1670,0.04209,-0.00664,-0.00341
1671,0.04387,-0.00692,-0.00431
1672,0.04503,-0.00711,-0.00459
1673,0.04602,-0.00808,-0.00391
1674,0.04519,-0.00731,0.00212
1675,0.0439,-0.00733,-0.00109
1676,0.04501,-0.00861,0.00198
1677,0.04535,-0.00817,-0.00015
1678,0.04432,-0.00816,-0.00214
1679,0.04598,-0.00811,0.0005
1680,0.04588,-0.00641,-0.00591
1681,0.04601,-0.01,-0.0075
1682,0.04518,-0.00688,-0.0042
1683,0.04509,-0.00618,-0.00605
1684,0.04594,-0.00748,-0.00656
1685,0.04608,-0.00899,-0.00601
1686,0.04653,-0.01065,-0.01232
1687,0.046,-0.00772,-0.01023
1688,0.04709,-0.0079,-0.01186
1689,0.04721,-0.00686,-0.01037
1690,0.04831,-0.00701,-0.00634
1691,0.04838,-0.01215,-0.01209
1692,0.0488,-0.00911,-0.00848
1693,0.04894,-0.00894,-0.0074
1694,0.05076,-0.00703,-0.00571
1695,0.04874,-0.00526,-0.00286
1696,0.04787,-0.01069,-0.00861
1697,0.0485,-0.01101,-0.00709
1698,0.04779,-0.00435,-0.00432
1699,0.04839,-0.00473,-0.00736
1700,0.04847,-0.00493,-0.00727
1701,0.04777,-0.00491,-0.00854
1702,0.04795,-0.00422,-0.00729
1703,0.04862,-0.00889,-0.00719
1704,0.0476,-0.00623,-0.00842
1705,0.04889,-0.00495,-0.00125
1706,0.04746,-0.00652,-0.00019
1707,0.0475,-0.00804,-0.0051
1708,0.04828,-0.00548,-0.00046
1709,0.04772,-0.00819,-0.00487
1710,0.04622,-0.00746,-0.00026
1711,0.0471,-0.00558,0.00275
1712,0.04861,-0.00756,0.0003
1713,0.04989,-0.00748,0.00444
1714,0.04997,-0.00774,-0.00322
1715,0.04969,-0.00716,0.00624
