gps_week,dn(m),de(m),du(m)
1473,0.0,0.0,0.0
1474,-0.0003,0.00131,0.00464
1475,-0.00018,0.0023,0.01124
1476,0.00079,0.00246,0.00302
1477,0.00154,0.00366,0.00913
1478,0.00094,0.00322,0.00043
1479,0.00093,0.00294,-0.00476
1480,0.00067,0.00453,-0.00254
1481,0.00051,0.00447,-0.00262
1482,0.0013,0.00387,0.0016
1483,-0.00046,0.00383,0.00032
1484,0.00087,0.00275,-0.00464
1485,-0.00041,0.00388,-0.00297
1486,-0.00094,0.00372,0.00087
1487,-0.00122,0.00301,-0.00673
1488,-0.00067,0.00227,-0.00639
1489,-0.00119,0.00195,-0.00091
1490,-0.00122,0.00023,0.00019
1491,4e-05,0.00086,0.00349
1492,0.00058,0.00095,0.00676
1493,0.00013,0.00128,0.00119
1494,0.00111,0.00145,-0.00236
1495,0.00035,0.00164,0.00333
1496,0.00195,0.00293,0.01088
1497,0.00216,0.00144,0.00088
1498,0.0029,0.00195,0.00128
1499,0.00267,0.00262,0.00962
1500,0.00316,0.00259,0.00317
1501,0.00335,0.00242,0.01868
1502,0.00371,0.00206,0.00976
1503,0.00351,0.0023,0.00936
1504,0.00336,0.00135,0.00433
1505,0.00387,0.00175,0.01103
1506,0.00349,0.00255,0.00272
1507,0.00339,0.00288,0.0029
1508,0.00315,0.00157,0.00102
1509,0.00362,0.00265,0.00118
1510,0.00336,0.00261,0.00162
1511,0.00467,0.00256,0.00626
1512,0.00475,0.00147,0.00542
1513,0.00645,0.002,0.00431
1514,0.0065,0.00054,0.01236
1515,0.00685,0.00088,0.0038
1516,0.0073,0.00123,0.0002
1517,0.00713,0.00125,-0.00048
1518,0.00735,0.00123,0.00495
1519,0.00959,0.00131,0.00878
1520,0.00962,-0.00085,0.00587
1521,0.00904,-0.00168,-0.00057
1522,0.01046,-0.00115,0.00246
1523,0.01145,-0.00112,-0.00015
1524,0.01137,-0.00131,0.00135
1525,0.01072,-2e-05,0.00407
1526,0.01122,-0.0008,-0.00023
1527,0.01211,0.00022,0.00022
1528,0.01202,0.00016,0.00339
1529,0.0127,0.0003,0.0011
1530,0.01202,0.00187,0.00292
1531,0.01363,0.00244,0.00574
1532,0.01449,0.00089,-0.00091
1533,0.01309,0.0013,0.0043
1534,0.01347,-0.00015,0.00229
1535,0.0142,0.00078,-0.0042
1536,0.01281,0.00029,-0.00028
1537,0.01276,0.00034,-0.00045
1538,0.01305,0.00025,-0.00111
1539,0.01297,-0.00131,0.0038
1540,0.01468,-0.00172,0.00285
1541,0.0141,-0.00125,-0.00036
1542,0.01411,-0.0005,-0.00313
1543,0.01548,-0.00127,0.00271
1544,0.01543,-0.00065,-8e-05
1545,0.01516,-0.00076,0.00451
1546,0.01494,-0.00153,-0.00317
1547,0.01503,-0.00111,0.00677
1548,0.01572,-0.00012,0.01303
1549,0.01524,-0.00036,0.00633
