gps_week,dn(m),de(m),du(m)
1536,0.0,0.0,0.0
1537,0.00027,-0.00158,0.00415
1538,-0.00011,-0.00098,0.00493
1539,-0.00078,-0.00155,0.00628
1540,-5e-05,-0.00237,0.00545
1541,-7e-05,-0.00238,0.0075
1542,0.0003,-0.00159,0.00614
1543,0.00062,-0.00252,0.00761
1544,0.00205,-0.00142,0.00937
1545,0.00188,-0.00146,0.01478
1546,0.0006,-0.00097,0.01266
1547,1e-05,-0.00033,0.0155
1548,-0.00031,-0.00038,0.01741
1549,-0.00038,-0.00156,0.01631
1550,-0.00013,-0.00127,0.01664
1551,0.00084,-0.00161,0.01652
1552,0.00061,-0.00105,0.01741
1553,0.00149,-0.0018,0.01621
1554,0.0009,-0.00339,0.01865
1555,0.00127,-0.00246,0.02111
1556,0.00242,-0.00134,0.01583
1557,0.00141,-0.00272,0.01626
1558,0.00121,-0.00319,0.0226
1559,0.00048,-0.0037,0.018
1560,0.00073,-0.00463,0.01401
1561,0.00188,-0.00482,0.01788
1562,0.00252,-0.00461,0.00592
1563,0.00386,-0.00389,0.00949
1564,0.00383,-0.00286,0.00855
1565,0.00456,-0.00416,0.01088
1566,0.00468,-0.0037,0.00826
1567,0.00518,-0.00352,0.0028
1568,0.00729,-0.0046,0.0053
1569,0.00724,-0.00375,0.00231
1570,0.00763,-0.00481,0.00255
1571,0.00764,-0.00539,0.00106
1572,0.00857,-0.00635,0.00176
1574,0.00754,-0.00718,0.0045
1575,0.00776,-0.00739,0.00232
1576,0.00797,-0.00672,0.00361
1577,0.0074,-0.0064,0.00196
1578,0.00968,-0.0067,-0.00574
1579,0.0105,-0.00699,-0.00706
1580,0.01019,-0.00569,-0.00083
1581,0.00812,-0.00532,-0.00096
1582,0.01,-0.00602,-7e-05
1583,0.01012,-0.0066,-0.00553
1584,0.01017,-0.00613,-0.00334
1585,0.00961,-0.0067,-0.00093
1586,0.00987,-0.00628,0.00089
1587,0.00947,-0.00628,-0.00282
1588,0.00983,-0.00698,0.00193
1589,0.00953,-0.0081,0.00357
1590,0.00995,-0.00796,0.00311
1591,0.01125,-0.00795,0.00378
1592,0.01082,-0.00911,0.00433
1593,0.01076,-0.00806,0.00488
1594,0.01131,-0.00805,0.0076
1595,0.01109,-0.00665,0.00511
1596,0.01192,-0.00675,0.01244
1597,0.01251,-0.00688,0.01371
1598,0.01156,-0.00669,0.01599
1599,0.01144,-0.00693,0.01517
1600,0.01174,-0.00677,0.01679
1601,0.01141,-0.00657,0.01715
1602,0.01129,-0.00643,0.02068
1603,0.01021,-0.00677,0.02709
1604,0.01073,-0.00762,0.01864
1605,0.01193,-0.00782,0.02143
1606,0.0116,-0.00758,0.02081
1607,0.01182,-0.00654,0.02143
1608,0.01171,-0.00872,0.02065
1609,0.01118,-0.00845,0.02319
1610,0.01134,-0.00758,0.02165
1611,0.01077,-0.00879,0.02476
1612,0.01268,-0.00889,0.02683
1613,0.01164,-0.0099,0.02565
1614,0.013,-0.00806,0.02569
1615,0.0131,-0.00809,0.02315
1616,0.01493,-0.0088,0.02412
1617,0.01558,-0.0098,0.01696
1618,0.01666,-0.01014,0.01797
1619,0.01789,-0.00853,0.01313
1620,0.01701,-0.00912,0.00426
1621,0.01808,-0.01044,0.00729
1622,0.01993,-0.01072,0.00791
1623,0.01865,-0.01162,0.01166
1624,0.02012,-0.01194,0.0086
1625,0.02006,-0.01167,0.00368
1626,0.0207,-0.01027,0.00046
1627,0.02058,-0.01169,-6e-05
1628,0.02138,-0.01022,0.00027
1629,0.02145,-0.01039,-0.00166
1630,0.02174,-0.00951,-0.0008
1631,0.02251,-0.01141,-0.00384
1632,0.02216,-0.01102,-0.00411
1633,0.02323,-0.01046,-0.00669
1634,0.02335,-0.01036,-0.00615
1635,0.02417,-0.01047,-0.00552
1636,0.02277,-0.01084,-0.00641
1637,0.02307,-0.01138,-0.00896
1638,0.02422,-0.01079,-0.00669
1639,0.02301,-0.01247,-0.00337
1640,0.02369,-0.01211,-0.00327
1641,0.02325,-0.01116,-0.00144
1642,0.02515,-0.01152,-0.00091
1643,0.02399,-0.01242,0.00157
1644,0.02463,-0.01117,0.00406
1645,0.02465,-0.01109,0.00657
1646,0.02427,-0.01,0.01031
1647,0.02336,-0.00933,0.01258
1648,0.02373,-0.0098,0.01176
1649,0.02311,-0.00989,0.01268
1650,0.02241,-0.01038,0.01282
1651,0.02207,-0.01106,0.00902
1652,0.02249,-0.01079,0.01253
1653,0.02299,-0.00947,0.01782
1654,0.02393,-0.01113,0.01965
1655,0.02289,-0.01159,0.02345
1656,0.02327,-0.0115,0.02239
1657,0.02477,-0.01083,0.02431
1658,0.02247,-0.01014,0.01709
1659,0.02332,-0.01001,0.0174
1660,0.02363,-0.01138,0.01402
1661,0.02324,-0.01063,0.0184
1662,0.02197,-0.01167,0.01385
1663,0.02493,-0.01113,0.01843
1664,0.02512,-0.01267,0.01561
1665,0.02751,-0.01228,0.01565
1666,0.02777,-0.01171,0.01206
1667,0.03048,-0.0117,0.01806
1668,0.02743,-0.01246,0.01656
1669,0.02909,-0.01288,0.02243
1670,0.03065,-0.0103,0.01194
1671,0.03049,-0.01167,0.01159
1672,0.03131,-0.01272,0.00993
1673,0.03341,-0.01214,0.00916
1674,0.03258,-0.0121,0.01285
1675,0.03231,-0.01317,0.00853
1676,0.03187,-0.01225,0.0105
1677,0.03244,-0.01297,0.00982
1678,0.03307,-0.01319,0.00932
1679,0.03484,-0.01394,0.01267
1680,0.03407,-0.01239,0.00818
1681,0.03388,-0.01322,0.00507
1682,0.03437,-0.01297,0.01208
1683,0.03385,-0.01367,0.00768
1684,0.03354,-0.01376,0.0045
1685,0.03434,-0.01355,0.00369
1686,0.0336,-0.01366,0.00021
1687,0.03338,-0.01348,0.00659
1688,0.03405,-0.0138,0.0015
1689,0.03294,-0.01449,0.00012
1690,0.03356,-0.01592,0.00077
1691,0.03447,-0.01564,0.00351
1692,0.0345,-0.01566,0.00585
1693,0.03433,-0.01724,0.0065
1694,0.03453,-0.01589,0.00428
1695,0.03401,-0.01574,0.00698
1696,0.03351,-0.01603,0.00856
1697,0.03337,-0.01615,0.0071
1698,0.03289,-0.01478,0.01003
1699,0.03346,-0.01464,0.00993
1700,0.03389,-0.01476,0.01262
1701,0.03459,-0.01512,0.00957
1702,0.03501,-0.01425,0.01279
1703,0.03433,-0.0158,0.01403
1704,0.0343,-0.01529,0.01346
1705,0.03525,-0.01501,0.01988
1706,0.0351,-0.01546,0.02723
1709,0.03663,-0.01708,0.02005
1710,0.03377,-0.01577,0.02268
1711,0.03476,-0.01576,0.02381
1712,0.03467,-0.0176,0.02314
1713,0.03605,-0.01701,0.02246
1714,0.03707,-0.01744,0.02268
1715,0.03825,-0.01713,0.02458
1716,0.03974,-0.01869,0.02087
1717,0.04043,-0.01856,0.02389
1718,0.03981,-0.01959,0.02664
1719,0.04013,-0.01776,0.01866
1720,0.04082,-0.01762,0.02119
1721,0.03941,-0.01846,0.01604
1722,0.0403,-0.01903,0.01862
1723,0.04044,-0.0191,0.01393
1724,0.04204,-0.01944,0.01692
1725,0.04346,-0.01806,0.01531
1726,0.04473,-0.01883,0.01278
1727,0.04439,-0.01923,0.01821
1728,0.04475,-0.01972,0.01063
1729,0.04547,-0.01869,0.01113
1730,0.04631,-0.0168,0.0103
1731,0.04377,-0.01762,0.0128
1732,0.04599,-0.018,0.00765
1733,0.04617,-0.0183,0.00324
1734,0.04636,-0.01821,0.00501
1735,0.04496,-0.01807,-0.00021
1736,0.04649,-0.01757,-0.00678
1737,0.04619,-0.01792,-0.00192
1738,0.04622,-0.01883,0.00032
1739,0.04758,-0.01937,-0.00033
1740,0.04745,-0.01994,0.00375
1741,0.04781,-0.02024,0.00545
1742,0.04817,-0.02066,0.00516
1743,0.04802,-0.02064,0.00297
1744,0.04829,-0.02058,0.00758
1745,0.04832,-0.02026,0.01167
1746,0.04945,-0.01894,0.01341
1747,0.04787,-0.01916,0.01044
1748,0.04716,-0.01803,0.00904
1749,0.04791,-0.01796,0.01218
1750,0.04841,-0.01918,0.01147
1751,0.04899,-0.01844,0.00711
1752,0.04831,-0.01921,0.01078
1753,0.04871,-0.01873,0.01044
1754,0.04866,-0.0187,0.01199
1755,0.04906,-0.01929,0.0124
1756,0.04829,-0.01874,0.01609
1757,0.0495,-0.01819,0.01418
1758,0.04948,-0.01855,0.01683
1759,0.04871,-0.01871,0.01731
1760,0.04828,-0.01878,0.02029
1761,0.04898,-0.01754,0.01998
1762,0.0479,-0.01882,0.02227
1763,0.04954,-0.01949,0.01657
1764,0.04946,-0.01969,0.02052
1765,0.05057,-0.02072,0.01786
1766,0.05098,-0.02295,0.02194
1767,0.052,-0.02211,0.01983
1768,0.05269,-0.02102,0.01637
1769,0.05441,-0.02215,0.01948
1770,0.0556,-0.02012,0.02359
1771,0.05488,-0.0207,0.02678
1772,0.05481,-0.02062,0.01978
1773,0.05576,-0.02025,0.02491
1774,0.05622,-0.02204,0.02118
1775,0.05725,-0.0216,0.01857
1776,0.05631,-0.0215,0.02125
1777,0.05806,-0.02301,0.02255
1778,0.05821,-0.02396,0.02482
1779,0.05969,-0.02265,0.02518
1780,0.05748,-0.02026,0.01649
1781,0.06083,-0.02122,0.01438
1782,0.05897,-0.02176,0.00954
1783,0.05676,-0.02091,0.01442
1784,0.0581,-0.02254,0.00701
1785,0.05752,-0.02267,0.00185
1786,0.05781,-0.02309,0.00619
1787,0.05833,-0.02448,0.00817
1788,0.05808,-0.02395,0.00527
1789,0.05778,-0.02369,0.00502
1790,0.05839,-0.02429,0.00631
1791,0.05976,-0.02307,0.00822
1792,0.05964,-0.02405,0.0085
1793,0.06168,-0.02408,0.01128
1794,0.06124,-0.02362,0.00911
1795,0.06086,-0.02387,0.0163
1796,0.06022,-0.02436,0.01524
1797,0.05925,-0.02389,0.0134
1798,0.05881,-0.02189,0.01853
1799,0.05819,-0.02258,0.01604
1800,0.06043,-0.02332,0.0137
1801,0.05821,-0.02281,0.01288
1802,0.05857,-0.0236,0.01299
1803,0.05946,-0.02416,0.01402
1804,0.05956,-0.02408,0.01508
1805,0.06005,-0.02388,0.01611
1806,0.06014,-0.02349,0.01609
1807,0.06014,-0.02299,0.01651
1808,0.05997,-0.02354,0.0218
1809,0.06034,-0.02287,0.02266
1810,0.06017,-0.02296,0.02267
1811,0.06097,-0.02367,0.02032
1812,0.06088,-0.02374,0.02172
1813,0.06235,-0.02434,0.02225
1814,0.06139,-0.02573,0.02454
1815,0.06179,-0.02674,0.02607
1816,0.06179,-0.02675,0.02752
1817,0.06384,-0.02854,0.031
1818,0.06554,-0.02672,0.02987
1819,0.06559,-0.02547,0.02943
1820,0.06611,-0.02401,0.02888
1821,0.06718,-0.02468,0.02693
1822,0.06764,-0.02587,0.02438
1823,0.06554,-0.02491,0.02517
1824,0.06852,-0.02569,0.02601
1825,0.06847,-0.02692,0.02638
1826,0.06948,-0.02714,0.02417
1827,0.06975,-0.02615,0.02627
