gps_week,dn(m),de(m),du(m)
1152,0.0,0.0,0.0
1154,-0.00151,0.00036,-0.00699
1155,2e-05,-0.00025,-0.00872
1156,-0.00144,0.00027,-0.00298
1157,-0.00027,0.0038,0.00228
1158,-0.00083,0.00094,-0.00962
1159,-0.00141,0.00319,-0.00454
1160,0.00095,0.00287,-0.00813
1167,0.00194,-0.0035,-0.01521
1169,0.00247,-0.002,-0.00667
1170,0.00268,-0.00166,-0.01676
1171,0.00115,-0.00235,-0.0173
1172,0.00307,-0.00269,-0.01661
1173,0.00248,-0.00234,-0.00851
1174,0.00182,-0.00398,-0.01129
1175,0.00098,-0.0025,-0.00942
1176,0.00093,-0.00293,-0.01123
1177,0.00152,-0.00312,-0.01103
1178,0.00342,-0.00296,-0.01234
1179,0.00089,-0.0023,-0.0147
1180,0.00123,-0.002,-0.01167
1181,-0.00011,0.00044,-0.00625
1182,-0.00069,-0.00216,-0.01354
1183,-0.00121,-0.00106,-0.03309
1184,0.00232,-0.00172,-0.03113
1185,0.00046,-0.00198,-0.0122
1186,0.00054,-0.00114,-0.00526
1187,0.00213,-0.00246,-0.00711
1188,0.00319,-0.00346,-0.00879
1189,0.00449,-0.00526,-0.00604
1190,0.00456,-0.00469,-0.00338
1191,0.00668,-0.00559,-0.01252
1192,0.00507,-0.00203,0.00058
1193,0.00756,-0.00492,-0.00369
1194,0.00705,-0.00282,-0.00211
1195,0.00648,-0.00408,-0.00842
1196,0.00489,-0.00168,-0.00817
1197,0.00517,-0.00273,-0.00133
1198,0.00617,-0.00317,-0.00279
1199,0.00552,-0.00295,-0.00266
1200,0.00607,-0.00312,-0.00071
1201,0.00808,-0.00353,0.00048
1202,0.00853,-0.00374,0.00081
1203,0.00964,-0.00423,-0.00111
1204,0.00809,-0.00209,0.00405
1205,0.00911,-0.00294,-0.00017
1206,0.00911,-0.00394,-0.00463
1207,0.00999,-0.0036,-0.00564
1209,0.0093,-0.00208,-0.00485
1210,0.00987,-0.00318,-0.00296
1211,0.01138,-0.00132,0.00242
1212,0.01128,-0.00191,-0.004
1213,0.01133,-0.00327,-0.00902
1214,0.01319,-0.00345,-0.00806
1215,0.01198,-0.00458,-0.00586
1216,0.01164,-0.00316,-0.0094
1217,0.01331,-0.00424,-0.0113
1218,0.0121,-0.00437,-0.00462
1219,0.01504,-0.00476,-0.00584
1220,0.01309,-0.00471,-0.00865
1221,0.01301,-0.00449,-0.00288
1222,0.01366,-0.00456,-0.00358
1223,0.01269,-0.0047,-0.00297
1224,0.01314,-0.00385,-0.00554
1225,0.01276,-0.0048,-0.00491
1226,0.01303,-0.00571,-0.00771
1227,0.01342,-0.00578,-0.00979
1228,0.01424,-0.00533,-0.00856
1229,0.01271,-0.00398,-0.01037
1230,0.01319,-0.00554,-0.00892
1231,0.01241,-0.00511,-0.01272
1232,0.01248,-0.00526,-0.00916
1233,0.01193,-0.00731,-0.01332
1234,0.01145,-0.00489,-0.00639
1235,0.01233,-0.00571,-0.00956
1236,0.01373,-0.00435,-0.00829
1237,0.01262,-0.00431,0.00098
1238,0.01362,-0.0037,-0.0053
1239,0.01408,-0.00412,-0.00032
1240,0.01552,-0.00496,-0.00397
1241,0.01489,-0.0059,-0.00288
1242,0.01471,-0.00628,-0.00286
1243,0.01888,-0.00526,-0.0049
1244,0.01796,-0.00612,-0.00361
1245,0.01774,-0.00471,-0.00295
1246,0.01709,-0.00557,-0.00203
1247,0.0185,-0.00448,-0.00096
1248,0.01861,-0.0058,-0.00187
1249,0.01859,-0.00624,-0.00013
1250,0.0189,-0.00462,-0.00345
1251,0.02052,-0.00453,-0.00063
1252,0.02077,-0.00643,0.00087
1253,0.0203,-0.00565,-0.00241
1254,0.02164,-0.00518,0.00041
1255,0.02162,-0.00628,0.00356
1256,0.02009,-0.00597,-0.00131
1257,0.01873,-0.00573,0.00176
