gps_week,dn(m),de(m),du(m)
1564,0.0,0.0,0.0
1565,9e-05,7e-05,0.00336
1566,0.00057,-0.00027,0.00334
1567,0.00093,0.00054,-0.00129
1568,0.00265,-8e-05,-0.00541
1569,0.00279,0.0014,-0.00039
1570,0.00181,-0.00024,0.00056
1571,0.00263,-0.00052,-0.00677
1572,0.00289,-0.00179,-0.00149
1574,0.00229,-0.0029,-0.00361
1575,0.00201,-0.00376,-0.00173
1576,0.00205,-0.00329,-0.0027
1577,0.00205,-0.00285,-0.00609
1578,0.00377,-0.00283,-0.01002
1579,0.0032,-0.00254,-0.00877
1580,0.0039,-0.00204,-0.00709
1581,0.00219,-0.00234,-0.00783
1582,0.00311,-0.00269,-0.00705
1583,0.00289,-0.00284,-0.00927
1584,0.00334,-0.00255,-0.00952
1585,0.00309,-0.00277,-0.01038
1586,0.00279,-0.00221,-0.01042
1587,0.00179,-0.00172,-0.01219
1588,0.00183,-0.00219,-0.00813
1589,0.00198,-0.00307,-0.00569
1590,0.00228,-0.00288,-0.00729
1591,0.00373,-0.00292,-0.00444
1592,0.00392,-0.00425,-0.00345
1593,0.00386,-0.00342,-0.0043
1594,0.00394,-0.0033,-0.00135
1595,0.00344,-0.00205,-0.00255
1596,0.00487,-0.00177,0.00156
1597,0.0052,-0.00183,0.00255
1598,0.00451,-0.00168,0.00505
1599,0.00407,-0.00187,0.00539
1600,0.00463,-0.00168,0.00734
1601,0.00442,-0.00152,0.00957
1602,0.0051,-0.00172,0.01077
1603,0.00323,-0.00228,0.01289
1604,0.00385,-0.00351,0.00576
1605,0.00515,-0.00393,0.00718
1606,0.00459,-0.00329,0.00574
1607,0.0043,-0.00311,0.00575
1608,0.00424,-0.0045,0.00499
1609,0.00486,-0.00412,0.00792
1610,0.00479,-0.00421,0.00684
1611,0.00534,-0.00417,0.00875
1612,0.00581,-0.00511,0.01297
1613,0.0055,-0.00414,0.01323
1614,0.00658,-0.00425,0.01199
1615,0.00817,-0.00383,0.00795
1616,0.00797,-0.00432,0.01191
1617,0.00972,-0.00387,0.00969
1618,0.01062,-0.00561,0.00635
1619,0.01097,-0.00533,0.00743
1620,0.01168,-0.00572,-0.0056
1621,0.01147,-0.00535,-0.00033
1622,0.01211,-0.00676,-0.00183
1623,0.01244,-0.00557,-0.00286
1624,0.01308,-0.00648,-0.00028
1625,0.0126,-0.00556,-0.00418
1626,0.01358,-0.00629,-0.00543
1627,0.01378,-0.00756,-0.00668
1628,0.015,-0.00677,-0.01006
1629,0.01499,-0.00634,-0.01154
1630,0.01448,-0.00572,-0.01417
1631,0.01576,-0.00683,-0.01212
