gps_week,dn(m),de(m),du(m)
1671,0.0,0.0,0.0
1673,0.00288,-0.00176,-0.00143
1674,0.00107,-0.00083,-0.00118
1675,0.0025,0.00105,0.01915
1682,0.00325,0.00115,-0.00226
1683,0.00359,0.0001,0.00296
1684,0.00251,0.00037,-0.00685
1685,0.00274,0.0001,-0.00657
1686,0.00322,-0.00139,-0.00658
1687,0.00283,-0.00131,-0.00859
1688,0.00344,-0.00052,-0.00691
1689,0.0019,0.00053,-0.00846
1690,0.0031,-0.00222,-0.00837
1691,0.00173,0.00014,0.008
1692,0.00367,-0.00238,-0.0017
1693,0.00202,-0.00232,0.00607
1694,0.00443,-0.0031,-0.00823
1695,0.00304,-0.00251,-0.00649
1696,0.00262,-0.00191,-0.00525
1697,0.00289,-0.00258,-0.00373
1698,0.00149,-0.00149,-0.00177
1699,0.00203,-0.00121,-0.00292
1700,0.00219,-0.00082,-0.00261
1701,0.00191,-0.00126,-0.00397
1702,0.00201,-0.00124,-0.00204
1703,0.00283,-0.0016,-0.00193
1704,0.00283,-0.00103,-0.00032
1705,0.00416,0.00024,0.00602
1706,0.00361,-0.00122,0.01481
1707,0.00389,-0.00079,0.00051
1708,0.00427,0.00016,0.00712
1709,0.00486,-0.00156,0.01039
1710,0.00381,0.00016,0.00906
1711,0.00454,-0.00087,0.01216
1712,0.00409,-0.00242,0.00723
1713,0.00503,-0.00169,0.01669
1714,0.00558,-0.00247,0.00956
1715,0.00606,-0.00407,0.0067
1716,0.00712,-0.00444,0.014
1717,0.00792,-0.00533,0.01164
1718,0.00764,-0.00349,0.02966
1719,0.00914,-0.00295,0.02501
1720,0.00899,-0.00428,0.01668
1721,0.01003,-0.00406,0.01702
1722,0.0105,-0.00251,0.0113
1723,0.00954,-0.00393,0.02202
1724,0.01267,-0.00351,0.00944
1725,0.01312,-0.00388,0.00419
1726,0.01295,-0.0049,0.0145
1727,0.01332,-0.00517,0.00654
1728,0.01506,-0.0048,0.00277
1729,0.01577,-0.00536,0.00327
1730,0.01563,-0.00417,0.00022
1731,0.01414,-0.00383,0.00813
1732,0.01566,-0.00436,0.00436
1733,0.016,-0.00412,-0.00294
1734,0.01523,-0.00294,0.00082
1735,0.01452,-0.004,-0.0023
1736,0.01628,-0.0027,-0.01542
1737,0.01497,-0.00357,-0.0129
1738,0.01443,-0.00367,-0.01325
1739,0.01585,-0.00417,-0.00918
1740,0.01485,-0.00421,-0.00552
1741,0.01638,-0.00566,-0.00096
1742,0.01677,-0.00494,0.00625
1743,0.01692,-0.00539,-0.00552
1744,0.01711,-0.00576,3e-05
1745,0.017,-0.00531,0.00307
1746,0.01818,-0.00376,0.00822
1747,0.01767,-0.00488,-0.00199
1748,0.01738,-0.00328,-0.00232
1749,0.0169,-0.00289,0.00284
1750,0.0181,-0.00371,0.00383
1751,0.01796,-0.00391,-0.00422
1752,0.01712,-0.00337,0.00084
1753,0.01729,-0.00347,-0.00124
1754,0.01756,-0.00369,-0.00133
1755,0.0172,-0.00409,-0.00157
1756,0.0167,-0.00409,0.00554
1757,0.0179,-0.00345,0.00147
1758,0.01688,-0.00309,0.00932
1759,0.01701,-0.00417,0.00645
1760,0.01624,-0.00347,0.01749
1761,0.0183,-0.00379,0.00133
1762,0.01646,-0.00483,0.01258
1763,0.01827,-0.00513,0.00352
1764,0.01764,-0.00558,0.00478
1765,0.01959,-0.00715,0.00972
1766,0.02025,-0.009,0.01094
1767,0.01934,-0.00838,0.01038
1768,0.02071,-0.00786,0.00495
1769,0.02226,-0.00853,0.00511
1770,0.02409,-0.00641,0.0157
1771,0.0233,-0.00671,0.01193
1772,0.02368,-0.00584,0.01165
1773,0.02447,-0.00614,0.01732
1774,0.02364,-0.00854,0.00986
1775,0.02498,-0.00678,0.01089
1776,0.02532,-0.00597,0.00549
1777,0.02579,-0.007,0.00764
1778,0.02599,-0.00766,0.01196
1779,0.02645,-0.0075,0.00876
1780,0.02689,-0.00703,0.01017
1781,0.02794,-0.00899,0.00226
1782,0.02688,-0.00478,0.0104
1783,0.0257,-0.0065,0.00503
1784,0.02643,-0.0069,0.00872
1785,0.02641,-0.00669,-0.01056
1786,0.02561,-0.00797,-0.00229
1787,0.02482,-0.00673,-0.00131
1788,0.02572,-0.00843,-0.00296
1789,0.02693,-0.00764,-0.00484
1790,0.02685,-0.00872,-0.00527
1791,0.02728,-0.00744,-0.00553
1792,0.02814,-0.00833,-0.00205
1793,0.02972,-0.00779,0.00927
1794,0.02968,-0.00788,0.00582
1795,0.02876,-0.00779,0.00312
1796,0.02833,-0.00966,0.00226
1797,0.02829,-0.00744,0.00065
1798,0.02714,-0.0063,0.00159
1799,0.02632,-0.00684,0.00174
1800,0.02791,-0.00792,0.00677
1801,0.02665,-0.00751,0.00057
1802,0.02658,-0.00718,0.00385
1803,0.02691,-0.00737,0.00172
1804,0.02672,-0.00653,0.00067
1805,0.02678,-0.00718,0.00586
1806,0.02666,-0.00646,0.00447
1807,0.0264,-0.0064,0.00617
1808,0.02697,-0.00698,0.00897
1809,0.02658,-0.0068,0.0077
1810,0.02743,-0.00664,0.01399
1811,0.0273,-0.0069,0.01833
1812,0.02982,-0.00738,0.00881
1813,0.03004,-0.00724,0.0115
1814,0.02929,-0.00802,0.01305
1815,0.02877,-0.00904,0.01339
1816,0.02895,-0.00987,0.01388
1817,0.03075,-0.0104,0.02104
1818,0.03276,-0.00988,0.01382
1819,0.03389,-0.01012,0.01509
1820,0.03274,-0.00938,0.01908
1821,0.03434,-0.00782,0.012
1822,0.0341,-0.00748,0.02593
1823,0.03306,-0.00877,0.01711
1824,0.03448,-0.00988,0.01408
1825,0.03553,-0.00986,0.01316
1826,0.03605,-0.01154,0.01856
1827,0.03715,-0.01057,0.01525
1828,0.03762,-0.01126,0.01207
1829,0.036,-0.01129,0.01774
1830,0.03501,-0.01031,0.02039
1831,0.03646,-0.0083,0.01048
1832,0.03729,-0.00955,0.01959
1833,0.03835,-0.01075,0.00518
1834,0.03765,-0.01036,0.00672
1835,0.0393,-0.011,0.0101
1836,0.03936,-0.0116,-0.00119
1837,0.03846,-0.0099,-0.00479
1838,0.03776,-0.0105,0.00326
1839,0.03851,-0.01066,-0.00301
1840,0.03782,-0.01093,0.0022
1841,0.03937,-0.01134,0.00029
1842,0.04055,-0.01158,-0.00261
1843,0.04245,-0.01169,0.00211
1844,0.04271,-0.01308,0.00239
1845,0.04263,-0.01124,-0.00114
1846,0.04295,-0.01015,0.00526
1847,0.04369,-0.01063,0.00132
1848,0.04216,-0.0097,0.00095
1849,0.04089,-0.00923,0.0072
1850,0.04166,-0.01195,-0.00276
1851,0.04125,-0.01117,0.00868
1852,0.04051,-0.01063,0.00969
1853,0.04133,-0.01048,-8e-05
1854,0.04043,-0.01034,0.00232
1855,0.04072,-0.01091,0.00057
1856,0.0403,-0.00989,0.00487
1857,0.04089,-0.01033,0.00333
1858,0.04016,-0.00931,0.00554
1859,0.03977,-0.01054,0.01094
1860,0.0412,-0.01104,0.00525
1861,0.04211,-0.01163,0.00848
1862,0.04147,-0.01118,0.00642
1863,0.04081,-0.01177,0.01062
1864,0.04181,-0.01213,0.00873
1865,0.04223,-0.01398,0.01046
1866,0.0413,-0.01346,0.01176
1867,0.04327,-0.01143,0.0121
1868,0.04303,-0.01289,0.01439
1869,0.04312,-0.01459,0.02482
1870,0.04384,-0.01366,0.01384
1871,0.04475,-0.01324,0.01568
1872,0.04543,-0.01246,0.01594
1873,0.04585,-0.01384,0.01309
1874,0.04579,-0.01289,0.00503
1875,0.04659,-0.01232,0.00695
1876,0.04821,-0.01406,0.01007
1877,0.04739,-0.01532,0.01562
1878,0.04808,-0.01556,0.01021
1879,0.04692,-0.01374,0.02528
1880,0.05263,-0.01479,-0.00181
1881,0.05097,-0.01117,-0.00145
1882,0.05076,-0.01111,0.00857
1883,0.05165,-0.01211,0.00284
1884,0.0512,-0.01142,0.00306
1885,0.05229,-0.01236,0.00776
1886,0.05258,-0.01126,0.00057
1887,0.05225,-0.01018,-0.00381
1888,0.05396,-0.01328,-0.0079
1889,0.05269,-0.01344,-0.0081
1890,0.05216,-0.01224,-0.00619
1891,0.05269,-0.01422,-0.00724
1892,0.05314,-0.01413,-0.00611
1893,0.05474,-0.01201,-0.00065
1894,0.0554,-0.01116,-0.00536
1895,0.05518,-0.0111,-0.00473
1896,0.05486,-0.01219,-0.00332
1897,0.05465,-0.01102,0.00284
1898,0.05401,-0.01317,-0.00798
1899,0.05397,-0.01153,0.01397
1900,0.0548,-0.01302,-0.00084
1901,0.05307,-0.01377,-0.00751
1902,0.05423,-0.01313,-0.00852
1903,0.05381,-0.01377,-0.00839
1904,0.05343,-0.01277,-0.0071
1905,0.05409,-0.01413,-0.00257
1906,0.0546,-0.01196,-0.00883
1907,0.05345,-0.01166,-0.00808
1908,0.05359,-0.01273,-0.00536
1909,0.05397,-0.01167,-0.00331
1910,0.0541,-0.01132,0.00172
1911,0.05346,-0.01037,-0.00118
1912,0.05359,-0.01168,0.00154
1913,0.05226,-0.01116,-0.00279
1914,0.05392,-0.01243,0.00125
1915,0.05489,-0.0128,0.00579
1916,0.0562,-0.01321,0.00609
1917,0.0578,-0.01296,0.01099
1918,0.05658,-0.0135,0.01542
1919,0.05743,-0.01275,0.01344
1920,0.05878,-0.0117,0.01553
1921,0.05755,-0.0132,0.00485
1922,0.05806,-0.01307,0.0125
1923,0.05854,-0.01203,0.01816
1924,0.05966,-0.01294,0.01197
1925,0.05913,-0.01357,0.01435
1926,0.05899,-0.01184,0.01655
1927,0.06087,-0.01489,0.01144
1928,0.0609,-0.01343,0.01285
1929,0.06159,-0.01411,0.01052
1930,0.06102,-0.01362,0.01002
1931,0.06151,-0.01375,0.01277
1932,0.05963,-0.0138,0.02148
1933,0.06208,-0.01317,0.01531
1934,0.05986,-0.01797,0.01127
1935,0.06104,-0.01635,0.00652
1936,0.05965,-0.01781,-0.00124
1937,0.05957,-0.01667,0.00055
1938,0.0602,-0.01693,0.00688
1939,0.06183,-0.01612,0.001
1940,0.06209,-0.01727,0.00312
1941,0.06291,-0.01764,0.00168
1942,0.06256,-0.01903,0.00084
1943,0.06328,-0.01755,0.00434
1944,0.06344,-0.01861,0.00055
1945,0.06414,-0.01803,0.00617
1946,0.06334,-0.01659,0.00221
1947,0.06324,-0.01683,0.003
1948,0.06389,-0.01691,0.00124
1949,0.06297,-0.01659,0.0148
1950,0.06459,-0.01826,0.00492
1951,0.06444,-0.01794,-0.00281
1952,0.06349,-0.01873,0.00507
1953,0.0642,-0.01975,0.00216
1954,0.06427,-0.02117,-0.00064
1955,0.0646,-0.02004,-0.00188
1956,0.06497,-0.02096,-0.00205
1957,0.06448,-0.01968,-0.00334
1958,0.06468,-0.01958,-0.00128
1959,0.06403,-0.01886,0.00182
1960,0.06436,-0.01943,0.00126
1961,0.06364,-0.0185,0.00205
1962,0.06412,-0.01964,0.01591
1963,0.0645,-0.01978,0.00791
1964,0.06494,-0.02002,0.00379
1965,0.06438,-0.02033,0.00701
1966,0.06449,-0.01934,0.00749
1967,0.06494,-0.01981,0.01059
1968,0.06655,-0.02051,0.01358
1969,0.06529,-0.01796,0.01956
1970,0.06628,-0.01913,0.01512
1971,0.06608,-0.01918,0.01649
1972,0.06699,-0.01867,0.0157
1973,0.06545,-0.01928,0.01857
1974,0.06693,-0.01821,0.02202
1975,0.06647,-0.01883,0.01238
1976,0.06746,-0.0184,0.01624
1977,0.06895,-0.01901,0.01471
1978,0.06903,-0.01819,0.01154
1979,0.06852,-0.01997,0.01346
1980,0.06909,-0.02158,0.01819
1981,0.06875,-0.02069,0.0151
1982,0.06852,-0.01989,0.01276
1983,0.06941,-0.02041,0.01396
1984,0.07061,-0.02084,0.01186
1985,0.07267,-0.02001,0.01205
1986,0.07145,-0.0214,0.00992
1987,0.07424,-0.01992,0.00353
1988,0.07351,-0.02235,0.00905
1989,0.0734,-0.02097,0.01054
1990,0.07384,-0.02063,0.01309
1991,0.0744,-0.02229,0.00858
1992,0.07508,-0.02069,0.00719
1993,0.07545,-0.01962,0.01449
1994,0.0752,-0.02065,0.00769
1995,0.07775,-0.01952,0.01054
1996,0.07719,-0.01932,0.00028
1997,0.07763,-0.02139,-0.00317
1998,0.0771,-0.02046,0.0024
1999,0.07667,-0.02057,0.00417
2000,0.07675,-0.02027,0.00107
2001,0.07739,-0.02009,0.00781
2002,0.07824,-0.01946,3e-05
2003,0.07729,-0.02118,0.00082
2004,0.07664,-0.02173,0.00357
2005,0.07742,-0.02265,0.00558
2006,0.07695,-0.02213,0.00293
2007,0.07595,-0.02066,0.00523
2008,0.07695,-0.02198,0.00323
2009,0.07534,-0.02237,0.00403
2010,0.07606,-0.02321,0.0074
2011,0.07633,-0.0229,0.00549
2012,0.07709,-0.0226,0.01923
2042,0.08563,-0.02308,0.02252
2043,0.08717,-0.02296,0.01392
2044,0.08856,-0.02434,0.00949
2045,0.0882,-0.02406,0.00769
2046,0.09003,-0.0246,0.0022
2047,0.08846,-0.02237,0.00599
2048,0.08773,-0.0252,0.01376
2049,0.09036,-0.0227,0.00044
2050,0.08953,-0.02293,0.00114
2051,0.09024,-0.02327,0.00987
2052,0.09046,-0.02324,0.00111
2053,0.09053,-0.02723,0.00356
2054,0.09025,-0.0263,0.00517
2055,0.08976,-0.02455,0.00518
