gps_week,dn(m),de(m),du(m)
1842,0.0,0.0,0.0
1843,0.00017,-0.0008,0.00352
1844,0.00142,-0.00212,0.00621
1845,0.00146,-0.00086,0.00431
1846,0.0024,-0.00026,0.00918
1847,0.00226,4e-05,0.00565
1848,0.0009,0.00106,0.00735
1849,0.00022,0.00122,0.00924
1850,0.00059,0.00022,0.00374
1851,0.00087,-0.00029,0.00748
1852,7e-05,-0.00043,0.007
1853,0.00022,0.00053,0.00515
1854,-0.00092,0.00087,0.00619
1855,-0.0009,0.00028,0.00752
1856,-0.00033,0.0013,0.00812
1857,0.00062,0.00076,0.00674
1858,-0.0,0.00192,0.00753
1859,-0.00025,0.00119,0.00705
1860,0.00142,0.00167,0.00737
1861,0.00182,0.00054,0.00925
1862,0.00042,0.00137,0.00794
1863,0.00099,0.00072,0.01176
1864,0.0012,0.00097,0.00705
1865,0.00184,-0.00149,0.00765
1866,0.00143,-0.00149,0.00977
1867,0.00312,0.0004,0.0125
1868,0.00247,-0.00025,0.01002
1869,0.00444,-0.00166,0.01367
1870,0.00343,-0.0009,0.00961
1871,0.00378,7e-05,0.01277
1872,0.00515,-1e-05,0.01057
1873,0.00603,-0.00064,0.01092
1874,0.00494,-0.00089,0.01092
1875,0.00633,0.00086,0.01003
1876,0.00802,-0.00139,0.00567
1877,0.00863,-0.00164,0.0095
1878,0.00907,-0.0026,0.00853
1879,0.00782,-0.00367,0.01043
1880,0.01125,-0.00425,0.00514
1881,0.00983,-0.0027,0.00186
1882,0.01158,-0.00287,-0.00015
1883,0.01099,-0.00384,0.00644
1884,0.01021,-0.00241,0.0092
1885,0.01177,-0.00317,0.0058
1886,0.01196,-0.00341,0.00516
1887,0.01165,-0.00248,0.00028
1888,0.01239,-0.0041,-0.00126
1889,0.01094,-0.00414,0.00122
1890,0.01025,-0.00464,0.00094
1891,0.01044,-0.00496,0.00016
1892,0.0119,-0.00667,0.00446
1893,0.01341,-0.0044,0.00841
1894,0.01441,-0.00433,-0.0008
1895,0.0137,-0.00407,0.00223
1896,0.01316,-0.00494,0.00411
1897,0.01381,-0.00444,0.00529
1898,0.01199,-0.00575,0.00242
1899,0.01359,-0.00499,0.00673
1900,0.01305,-0.00531,7e-05
1901,0.01112,-0.00613,0.0007
1902,0.01196,-0.00595,-0.00066
1903,0.01223,-0.00658,0.00013
1904,0.01212,-0.00581,0.00138
1905,0.01253,-0.0069,0.00322
1906,0.01283,-0.00567,-0.00112
1907,0.012,-0.00468,-0.00118
1908,0.01249,-0.00523,0.00143
1909,0.01252,-0.00407,0.00227
1910,0.01307,-0.00416,0.00731
1911,0.01191,-0.00335,0.00247
1912,0.01263,-0.00403,0.00493
1913,0.01115,-0.00461,0.00133
1914,0.01297,-0.00583,0.00617
1915,0.01398,-0.00558,0.00719
1916,0.01502,-0.00524,0.00836
1917,0.01709,-0.00417,0.01019
1918,0.01652,-0.00367,0.00687
1919,0.01631,-0.00344,0.01338
1920,0.01842,-0.00333,0.00898
1921,0.01716,-0.00363,0.00755
1922,0.01745,-0.00369,0.01443
1923,0.01763,-0.00274,0.01052
1924,0.01939,-0.00383,0.00939
1925,0.01895,-0.00359,0.01127
1926,0.0199,-0.00329,0.01036
1927,0.0197,-0.00311,0.00692
1928,0.02052,-0.00487,0.00483
1929,0.02114,-0.00463,0.00685
1930,0.02018,-0.00382,0.00959
1931,0.02103,-0.00392,0.0069
1932,0.02032,-0.00297,0.00315
1933,0.02144,-0.00384,0.0029
1934,0.0191,-0.00813,0.0042
1935,0.0196,-0.00718,0.00641
1936,0.01859,-0.00879,-0.00023
1937,0.01803,-0.0092,0.0017
1938,0.01861,-0.00835,0.00591
1939,0.01985,-0.00812,0.00928
1940,0.02068,-0.00894,0.00618
1941,0.02104,-0.00857,0.00558
1942,0.0208,-0.00977,0.00667
1943,0.02101,-0.00909,0.00963
1944,0.02174,-0.00905,0.00467
1945,0.0226,-0.00909,0.00636
1946,0.02214,-0.00875,0.00851
1947,0.02194,-0.00789,0.00702
1948,0.02121,-0.00827,0.00765
1949,0.02203,-0.00885,0.01358
1950,0.02247,-0.0095,0.00855
1951,0.02176,-0.0085,0.00477
1952,0.02202,-0.01026,0.00693
1953,0.02253,-0.0106,0.00635
1954,0.02188,-0.01119,0.00691
1955,0.02227,-0.01061,0.00705
1956,0.02269,-0.01086,0.00457
1957,0.02283,-0.01012,0.00389
1958,0.02244,-0.00972,0.00647
1959,0.02215,-0.00906,0.00806
1960,0.02234,-0.00913,0.00751
1961,0.02145,-0.00869,0.00852
1962,0.023,-0.00936,0.01137
1963,0.02286,-0.00981,0.00955
1964,0.02307,-0.01015,0.00907
1965,0.02318,-0.01052,0.01191
1966,0.02361,-0.01012,0.01037
1967,0.02412,-0.01039,0.01327
1968,0.02416,-0.00958,0.0136
1969,0.02466,-0.00847,0.01353
1970,0.02554,-0.00988,0.01568
1971,0.02513,-0.00933,0.0143
1972,0.02496,-0.00921,0.01204
1973,0.02407,-0.00938,0.01594
1974,0.02557,-0.00885,0.01498
1975,0.02482,-0.0089,0.01253
1976,0.02568,-0.00908,0.01059
1977,0.02692,-0.00932,0.01257
1978,0.02741,-0.00914,0.01159
1979,0.02843,-0.01016,0.00948
1980,0.02764,-0.00898,0.01232
1981,0.02708,-0.01132,0.01008
1982,0.02805,-0.01051,0.00825
1983,0.02894,-0.01082,0.00375
1984,0.02946,-0.01102,0.00634
1985,0.03032,-0.01078,0.00603
1986,0.02984,-0.01183,0.00795
1987,0.03176,-0.01179,0.00842
1988,0.03261,-0.01162,0.00684
1989,0.03193,-0.01204,0.00594
1990,0.0324,-0.01269,0.0043
1991,0.03256,-0.01294,0.0075
1992,0.03371,-0.01219,0.00648
1993,0.03463,-0.01109,0.00795
1994,0.03351,-0.01159,0.0047
1995,0.03621,-0.011,0.00603
1996,0.03561,-0.01088,0.00575
1997,0.03441,-0.01193,0.00414
1998,0.03462,-0.01179,0.01023
1999,0.03458,-0.0121,0.00896
2000,0.03473,-0.01215,0.01101
2001,0.03534,-0.01071,0.01415
2002,0.03562,-0.01199,0.00971
2003,0.03516,-0.01234,0.01025
2004,0.03506,-0.01296,0.00992
2005,0.03494,-0.01388,0.01324
2007,0.03647,-0.0128,0.01772
2008,0.03676,-0.01371,0.01715
2009,0.0355,-0.01316,0.0138
2010,0.03626,-0.0132,0.01858
2011,0.03575,-0.01414,0.01579
2012,0.03682,-0.0133,0.02073
2013,0.03683,-0.01318,0.01833
2014,0.03775,-0.01333,0.01874
2015,0.03749,-0.01352,0.02028
2016,0.03798,-0.01374,0.01976
2017,0.0397,-0.01421,0.02078
2018,0.03872,-0.01349,0.02174
2019,0.03931,-0.01326,0.02256
2020,0.03945,-0.0145,0.02398
2021,0.04,-0.01514,0.02124
2022,0.0382,-0.01346,0.01917
2023,0.03959,-0.01352,0.01972
2024,0.03841,-0.01361,0.01818
2025,0.0414,-0.0146,0.02048
2026,0.04039,-0.0143,0.02063
2027,0.04149,-0.01371,0.01987
2028,0.04093,-0.01315,0.01985
2029,0.04227,-0.01413,0.01479
2030,0.04289,-0.01362,0.01297
2031,0.04533,-0.01352,0.01506
2032,0.04217,-0.01301,0.02082
2033,0.04263,-0.0138,0.0208
2034,0.04471,-0.01407,0.01738
2035,0.04553,-0.01536,0.01656
