gps_week,dn(m),de(m),du(m)
1671,0.0,0.0,0.0
1673,0.0026,-2e-05,0.00159
1674,0.00163,-0.00101,0.00113
1675,0.00151,-0.0002,0.0037
1682,0.00275,-0.00117,0.00387
1683,0.00131,-0.00234,0.00082
1684,0.00125,-0.00232,-0.00082
1685,0.00266,-0.00222,-0.00153
1686,0.00197,-0.00244,-0.00385
1687,0.00171,-0.0019,-5e-05
1688,0.00264,-0.00199,-0.00411
1689,0.00166,-0.00204,-0.00603
1690,0.00276,-0.00416,-0.00089
1691,0.00205,-0.00352,-0.00088
1692,0.00187,-0.00373,-0.00026
1693,0.00201,-0.00477,0.00255
1694,0.00268,-0.00409,0.00081
1695,0.00185,-0.00383,0.00192
1696,0.0015,-0.00351,0.0032
1697,0.00164,-0.0037,0.00481
1698,0.00112,-0.002,0.00658
1699,0.00139,-0.00211,0.0051
1700,0.00166,-0.00213,0.00619
1701,0.00248,-0.00273,0.00506
1702,0.00231,-0.00216,0.00583
1703,0.00232,-0.00373,0.00753
1704,0.0027,-0.00304,0.00866
1705,0.00408,-0.00282,0.0146
1706,0.00489,-0.00343,0.01737
1707,0.00316,-0.00301,0.0111
1708,0.00405,-0.00285,0.01509
1709,0.00401,-0.0039,0.01443
1710,0.00343,-0.00317,0.01885
1711,0.00388,-0.00329,0.01595
1712,0.00428,-0.00479,0.01805
1713,0.0057,-0.0035,0.01794
1714,0.00614,-0.00551,0.01537
1715,0.00564,-0.00631,0.01546
1716,0.00682,-0.00547,0.01696
1717,0.00788,-0.00626,0.0157
1718,0.00758,-0.00607,0.02096
1719,0.00867,-0.00505,0.0189
1720,0.00957,-0.005,0.01539
1721,0.00856,-0.0062,0.01487
1722,0.00812,-0.00684,0.01245
1723,0.00905,-0.00685,0.00712
1724,0.0107,-0.00654,0.0095
1725,0.00924,-0.00686,0.01483
1726,0.01143,-0.00649,0.00553
1727,0.01238,-0.00617,0.00727
1728,0.01327,-0.00787,0.00567
1729,0.01432,-0.00669,0.00482
1730,0.01467,-0.00626,-0.00075
1731,0.01211,-0.00631,0.0069
1732,0.01367,-0.00615,0.00101
1733,0.01438,-0.00618,-0.00363
1734,0.0141,-0.00589,-0.00309
1735,0.0134,-0.0059,-0.00421
1736,0.01479,-0.00561,-0.00832
1737,0.01378,-0.00561,-0.00585
1738,0.01353,-0.00653,-0.0049
1739,0.01443,-0.00698,-0.00209
1740,0.01422,-0.00762,0.0004
1741,0.01496,-0.00836,0.00207
1742,0.01583,-0.00795,0.00364
1743,0.01625,-0.00844,-0.00228
1744,0.0162,-0.00822,0.00145
1745,0.01684,-0.00808,0.00536
1746,0.0172,-0.00702,0.00749
1747,0.01622,-0.00736,0.00508
1748,0.01557,-0.00645,0.00543
1749,0.01638,-0.00599,0.008
1750,0.01664,-0.00725,0.00743
1751,0.01776,-0.00713,0.00384
1752,0.01652,-0.00705,0.00753
