gps_week,dn(m),de(m),du(m)
1443,0.0,0.0,0.0
1444,0.00228,0.00093,0.00216
1445,0.00243,-0.00049,0.00135
1446,0.00038,-0.00101,0.0034
1447,0.00184,-0.00136,0.00359
1448,0.002,-0.00199,0.0038
1449,0.00107,-0.00188,0.00545
1450,0.00112,-0.00237,0.00378
1451,0.00186,-0.00076,0.00703
1452,0.0025,-0.00234,0.0103
1453,0.00296,-0.00097,0.00848
1454,0.0044,-0.00144,0.01122
1455,0.00333,-0.00142,0.01223
1456,0.00411,-0.00179,0.00643
1457,0.004,-0.00341,0.00538
1458,0.00272,-0.00401,0.0048
1459,0.00327,-0.00399,-0.00181
1460,0.00397,-0.00431,-0.00014
1461,0.00378,-0.00369,0.0006
1462,0.00354,-0.00417,0.00299
1463,0.00475,-0.0037,0.00308
1464,0.00518,-0.00443,0.00166
1465,0.00672,-0.00567,-0.00177
1466,0.00606,-0.00649,0.00248
1467,0.00604,-0.0058,0.0007
1468,0.00558,-0.00667,-0.00209
1469,0.00609,-0.00673,-0.00084
1470,0.00548,-0.0085,-0.00299
1471,0.00799,-0.00768,-0.00315
1472,0.0083,-0.00833,-0.00023
1473,0.00817,-0.00733,0.00337
1474,0.0091,-0.00716,0.00084
1475,0.00704,-0.00837,-0.00415
1476,0.00848,-0.00643,-0.00016
1477,0.00855,-0.00671,-0.0028
1478,0.00741,-0.00639,0.00023
1479,0.00924,-0.00666,-0.00225
1480,0.00912,-0.00511,-0.00509
1481,0.00958,-0.00471,-0.00239
1482,0.00849,-0.00492,0.00496
1483,0.00799,-0.00458,-0.00608
1484,0.00817,-0.00599,-0.00507
1485,0.00885,-0.00512,-0.00936
1486,0.00856,-0.00426,-0.00993
1487,0.01018,-0.00405,-0.01182
1488,0.01024,-0.00378,-0.00881
1489,0.00886,-0.00405,-0.00367
1490,0.00933,-0.00449,-0.00817
1491,0.0107,-0.00534,-0.00288
1492,0.01107,-0.00546,-0.00384
1493,0.01135,-0.00479,-0.00045
1494,0.01191,-0.0044,0.007
1495,0.01249,-0.00442,0.00552
1496,0.01284,-0.0041,0.00625
1497,0.0113,-0.00495,0.00652
1498,0.01298,-0.00569,0.01017
1499,0.01383,-0.00592,0.01064
1500,0.01145,-0.00581,0.00751
1501,0.01402,-0.00559,0.00566
1502,0.01449,-0.00529,0.00457
1503,0.01418,-0.00431,0.00862
1504,0.01439,-0.00457,0.00489
1505,0.01499,-0.00445,0.00571
1506,0.0152,-0.00617,0.00713
1507,0.01382,-0.0064,0.00453
1508,0.01515,-0.0069,0.00312
1509,0.01434,-0.00726,0.00214
1510,0.01426,-0.00733,0.00137
1511,0.01426,-0.00887,0.00263
1512,0.01495,-0.01006,0.00125
1513,0.01476,-0.00997,0.00411
1514,0.01566,-0.00847,0.0032
1515,0.01585,-0.01066,0.00407
1516,0.01608,-0.00999,0.00245
1517,0.01564,-0.01171,0.00409
1518,0.01552,-0.01099,0.00412
1519,0.01769,-0.00925,0.00248
1520,0.01767,-0.0108,0.0026
1521,0.01833,-0.01202,0.00319
1522,0.01908,-0.0129,0.00463
1523,0.02113,-0.01285,0.00741
1524,0.01903,-0.01234,0.00355
1525,0.01771,-0.01313,0.00473
1526,0.01837,-0.01327,0.00301
1527,0.01863,-0.01272,0.00509
1528,0.02102,-0.01107,-0.00069
1529,0.02105,-0.01193,0.00241
1530,0.02253,-0.01153,-0.00485
1531,0.02282,-0.0123,-0.00248
1532,0.02205,-0.01295,-0.00444
1533,0.02139,-0.01228,-0.00652
1534,0.02193,-0.01331,-0.00875
1537,0.02341,-0.01097,-0.00938
1538,0.02218,-0.01007,-0.0073
1539,0.02331,-0.01198,-0.00922
1540,0.02325,-0.01167,-0.00328
1541,0.02302,-0.01169,-0.00571
1542,0.02317,-0.01158,0.00264
1543,0.02456,-0.01103,-0.0011
1544,0.02493,-0.01035,0.00301
1545,0.02591,-0.01075,0.00348
1546,0.02454,-0.01009,0.00668
1547,0.02518,-0.01076,0.00484
1548,0.02474,-0.01037,0.00391
1549,0.02433,-0.01041,0.00872
1550,0.02455,-0.01049,0.00786
1551,0.0254,-0.01228,0.0075
1552,0.02609,-0.01334,0.00825
1553,0.02647,-0.01072,0.00843
1554,0.02575,-0.01182,0.00649
1555,0.02751,-0.01149,0.00521
1556,0.02792,-0.01236,0.00323
1557,0.02672,-0.01143,0.00823
1558,0.02731,-0.01244,0.00819
1559,0.02635,-0.01173,0.00173
1560,0.02556,-0.01434,0.00167
1561,0.02598,-0.01431,0.00211
1562,0.02781,-0.01453,0.00028
1563,0.02577,-0.01443,0.00835
1564,0.02584,-0.01515,0.00658
1565,0.02659,-0.01426,0.00557
1566,0.02803,-0.0142,0.0051
1567,0.0287,-0.01513,0.0044
1568,0.02899,-0.01591,0.00847
1569,0.02938,-0.01529,0.00458
1570,0.03073,-0.01492,0.00428
1571,0.03047,-0.01718,0.00527
1572,0.03094,-0.01609,0.00531
1574,0.03042,-0.01737,0.00812
1575,0.03183,-0.01783,0.00584
1576,0.0321,-0.0161,0.00017
1577,0.03068,-0.01608,0.00933
1578,0.03252,-0.01694,0.00115
1579,0.03357,-0.01695,0.00133
1580,0.0325,-0.01591,0.00153
1581,0.03141,-0.01601,0.0037
1582,0.03236,-0.01601,0.00084
1583,0.03243,-0.0162,0.00409
1584,0.03293,-0.01641,0.00099
1585,0.03249,-0.01675,-0.001
1586,0.03228,-0.01666,-0.00313
1587,0.03229,-0.0148,-0.00589
1588,0.03348,-0.0149,-0.00526
1589,0.03303,-0.01467,-0.00595
1590,0.03417,-0.01507,-0.00228
1591,0.03614,-0.01438,-0.00163
1592,0.03599,-0.01539,-0.00346
1593,0.03537,-0.01479,-0.00256
1594,0.03502,-0.01507,0.00297
1595,0.03616,-0.01403,0.00368
1596,0.0372,-0.01509,0.00083
1597,0.03753,-0.01572,0.00508
1598,0.03651,-0.01452,0.00456
1599,0.03633,-0.01497,0.00106
1600,0.03786,-0.01402,0.00417
1601,0.03784,-0.0141,0.00576
1602,0.03741,-0.01385,0.00536
1603,0.03757,-0.01377,0.01022
1604,0.03846,-0.01436,0.00567
1605,0.03863,-0.015,0.00327
1606,0.03833,-0.01474,0.00568
1607,0.03905,-0.01371,0.00622
1608,0.03859,-0.01443,0.00354
1609,0.03849,-0.01602,0.00325
1610,0.03839,-0.01509,0.00157
1611,0.03701,-0.01519,0.00284
1612,0.03763,-0.01719,0.00293
1613,0.03726,-0.01692,0.00884
1614,0.03951,-0.01564,0.00595
1615,0.03931,-0.01811,0.00393
1616,0.03921,-0.01905,0.00562
1617,0.03998,-0.01923,0.00446
1618,0.04151,-0.02028,0.00317
1619,0.04177,-0.01974,0.00104
1620,0.0414,-0.01961,0.00423
1621,0.04118,-0.02018,0.0031
1622,0.04257,-0.02088,0.00065
1623,0.04292,-0.02133,-0.00175
1624,0.04496,-0.02194,0.00306
1625,0.044,-0.02244,0.00533
1626,0.04332,-0.02242,0.00075
1627,0.04327,-0.02276,0.00582
1628,0.04474,-0.02154,0.00137
1629,0.04307,-0.02082,-0.00257
1630,0.04273,-0.02223,-0.00141
1631,0.04338,-0.02104,-0.00283
1632,0.04298,-0.02144,-0.00295
1633,0.04618,-0.02084,-0.00632
1634,0.04568,-0.02061,-0.00833
1635,0.04658,-0.02231,-0.00581
1636,0.04518,-0.02245,-0.00012
1637,0.04568,-0.02139,-0.00803
1638,0.04743,-0.02081,-0.0069
1639,0.0463,-0.02164,-0.00858
1640,0.0476,-0.02139,-0.00856
1641,0.04769,-0.02082,-0.00868
1642,0.0481,-0.02092,-0.0038
1643,0.04722,-0.02103,-0.00141
1644,0.04826,-0.02121,-0.00246
1645,0.04915,-0.02098,0.00034
1646,0.04844,-0.02076,0.00438
1647,0.04785,-0.0208,0.0067
1648,0.04712,-0.01966,0.00392
1649,0.04689,-0.02098,0.00154
1650,0.04752,-0.02039,-0.00039
1651,0.04699,-0.02052,0.00363
1652,0.04817,-0.01983,0.00441
1653,0.04809,-0.0196,0.0056
1654,0.04891,-0.01907,0.00454
1655,0.04905,-0.01955,0.01003
1656,0.04908,-0.02015,0.00951
1657,0.0505,-0.0197,0.00777
1658,0.04921,-0.01858,0.00326
1659,0.05162,-0.01891,0.00914
1660,0.04962,-0.02176,-0.00049
1661,0.05094,-0.0206,0.00498
1662,0.04825,-0.02177,0.00521
1663,0.05171,-0.02137,0.00757
1664,0.05164,-0.02356,0.00245
1665,0.05143,-0.02295,4e-05
1666,0.05264,-0.02256,0.0069
1667,0.05323,-0.02409,0.0083
1668,0.05231,-0.02446,0.00075
1669,0.05368,-0.02436,0.00012
1670,0.05361,-0.02413,0.00411
1671,0.05523,-0.02377,0.00031
1672,0.05527,-0.02601,-0.00086
1673,0.05735,-0.02608,0.00773
1674,0.05801,-0.02544,0.00244
1675,0.05594,-0.02517,0.003
1676,0.05682,-0.02646,0.00288
1677,0.05491,-0.02622,0.00502
1678,0.05573,-0.02464,0.01107
1679,0.05563,-0.02488,0.00571
1680,0.05649,-0.02328,0.00512
