gps_week,dn(m),de(m),du(m)
1473,0.0,0.0,0.0
1475,0.00051,0.00139,0.01293
1476,0.00089,0.0026,0.01644
1477,0.00152,0.00302,0.01323
1478,0.00061,0.0034,0.00826
1479,0.00167,0.00432,0.01091
1480,0.00108,0.0048,0.01305
1481,0.00123,0.00374,0.01669
1482,0.00074,0.0036,0.01601
1483,-6e-05,0.00389,0.01761
1484,0.00063,0.00352,0.01707
1485,-0.00064,0.00377,0.01731
1486,0.00074,0.00421,0.01512
1487,0.00081,0.00392,0.01666
1488,0.00093,0.00341,0.01946
1489,0.00089,0.00317,0.02036
1490,0.00184,0.00317,0.02369
1491,0.00207,0.00195,0.02583
1492,0.00259,0.00232,0.02653
1493,0.00239,0.00338,0.028
1494,0.00328,0.0037,0.03189
1495,0.00374,0.00329,0.03412
1496,0.00451,0.00446,0.03459
1497,0.00427,0.00423,0.03862
1498,0.00455,0.0039,0.03468
1499,0.00527,0.0037,0.03733
1500,0.0052,0.00332,0.03967
1501,0.0066,0.00288,0.03797
1502,0.00771,0.00309,0.03316
1503,0.00842,0.00235,0.03262
1504,0.00749,0.00393,0.04116
1505,0.00696,0.00324,0.03033
1506,0.00704,0.00211,0.03319
1507,0.00692,0.00252,0.0289
1508,0.00791,0.00276,0.02564
1509,0.00834,0.00288,0.02995
1510,0.00759,0.00315,0.02553
1511,0.00798,0.00268,0.02345
1512,0.00855,0.00173,0.02486
1513,0.00819,0.00219,0.01928
1514,0.00883,0.00143,0.01907
1515,0.00957,0.00078,0.01199
1516,0.01009,0.00216,0.0197
1517,0.00992,0.00075,0.0159
1518,0.00958,0.00157,0.01471
1521,0.01255,-0.00074,0.00877
1522,0.01189,0.00026,0.01455
1523,0.01318,-0.00229,0.01052
1524,0.01379,-0.00071,0.01597
1525,0.01323,-0.00127,0.012
1526,0.01391,-0.00098,0.00861
1536,0.01419,0.00024,0.00978
1537,0.01371,-0.00022,0.01171
1538,0.01397,-0.00049,0.01562
1539,0.01496,-0.00063,0.01391
1540,0.01506,-0.00149,0.01675
1541,0.01492,-0.00098,0.02017
1542,0.0148,-0.00016,0.01857
1543,0.01655,-0.00053,0.02349
1544,0.01626,0.0005,0.02423
1545,0.01684,0.00024,0.02633
1546,0.01603,0.00054,0.0289
1547,0.01673,0.00067,0.03189
1548,0.01582,7e-05,0.03076
1549,0.01557,0.00123,0.03042
1550,0.01602,-0.00055,0.03433
1551,0.01607,0.00015,0.03359
1552,0.01748,0.00032,0.03264
1553,0.0177,-0.00024,0.02997
1554,0.01709,-0.00044,0.03421
1555,0.01814,0.00101,0.03249
1556,0.0176,0.00023,0.02403
1557,0.01831,-0.00072,0.02981
1558,0.01836,-8e-05,0.03054
1559,0.01859,-0.00024,0.02444
1560,0.017,-0.00181,0.02621
1561,0.01822,-0.00184,0.01799
1562,0.01911,-0.00114,0.01811
1567,0.02183,-0.00195,0.01944
1568,0.02087,-0.00155,0.01365
1569,0.0231,-0.0024,0.01154
1570,0.0228,-0.00248,0.01271
1571,0.02355,-0.00416,0.0134
1572,0.02388,-0.00403,0.0198
1574,0.02336,-0.00526,0.01681
1575,0.02447,-0.00449,0.02089
1576,0.02483,-0.00417,0.01009
1577,0.02575,-0.00418,0.00855
1578,0.02632,-0.00526,0.01074
1579,0.02479,-0.00449,0.01358
1580,0.0258,-0.00421,0.01341
1581,0.02415,-0.00373,0.01403
1582,0.02504,-0.00415,0.01771
1583,0.02528,-0.00488,0.01838
1584,0.02546,-0.00502,0.02002
1585,0.02544,-0.00484,0.01933
1586,0.02446,-0.00447,0.01674
