gps_week,dn(m),de(m),du(m)
1460,0.0,0.0,0.0
1461,0.00031,-0.00016,-0.00194
1462,0.00144,-0.00197,-0.00416
1463,0.00187,-0.00085,0.0038
1465,0.00178,-0.00203,-0.0069
1466,0.00269,-0.00027,-0.00257
1467,0.00172,-0.00144,-0.00594
1468,0.00072,-0.0014,-0.00739
1469,0.00122,-0.00217,-0.01136
1470,0.00193,-0.00229,-0.01473
1471,0.00176,-0.00315,-0.01047
1472,0.00266,-0.00211,-0.0176
1473,0.00239,-0.00137,-0.01558
1474,0.00293,-0.00109,-0.01626
1475,0.00199,-0.00123,-0.0115
1476,0.00267,-0.00113,-0.01416
1477,0.00369,0.00066,-0.01103
1478,0.0037,0.00022,-0.01319
1479,0.00466,0.0004,-0.01802
1480,0.00456,0.00146,-0.01604
1481,0.00497,0.00035,-0.01415
1482,0.00471,0.00019,-0.01731
1483,0.00368,0.00108,-0.01242
1484,0.00459,-0.00035,-0.01205
1485,0.0035,0.00056,-0.01872
1486,0.00541,0.00035,-0.01509
1487,0.00539,0.00062,-0.01247
1488,0.00516,-0.00041,-0.01282
1489,0.00527,-0.00031,-0.01189
1490,0.00665,-0.00044,-0.00987
1491,0.0065,-0.00107,-0.00577
1492,0.0068,1e-05,-0.00492
1493,0.00677,-0.00012,-0.00557
1494,0.00759,0.00044,-0.00129
1495,0.00765,-0.00014,0.00293
1496,0.00835,0.0019,0.00294
1497,0.0074,0.00147,0.00277
1498,0.00788,0.00083,0.0039
1499,0.00891,-0.00023,0.0055
1500,0.00887,0.00048,0.00782
1501,0.01,-2e-05,0.00432
1502,0.01001,0.0006,0.0048
1503,0.0113,-0.00127,0.00465
1504,0.01147,-0.00054,0.00952
1505,0.01143,-0.00081,0.00481
1506,0.01051,-0.00144,0.00338
1507,0.00916,-7e-05,0.00061
1508,0.01046,-0.0011,-0.00063
1509,0.01133,-0.00062,0.00066
1510,0.00943,-0.0002,-0.00441
1511,0.01117,-0.00159,-0.00808
1512,0.00934,-0.00211,-0.00285
1513,0.01013,-0.00227,-0.0107
1514,0.01186,-0.0016,-0.00551
1515,0.01197,-0.00312,-0.01599
1516,0.01185,-0.00256,-0.00554
1517,0.01191,-0.00281,-0.01187
1518,0.01181,-0.00418,-0.00849
1519,0.0126,-0.00374,-0.01716
1520,0.014,-0.0045,-0.02128
1521,0.01479,-0.00538,-0.01766
1522,0.01554,-0.00531,-0.01396
1523,0.01617,-0.0064,-0.01401
1524,0.01607,-0.00732,-0.02335
1525,0.0156,-0.0058,-0.0151
1526,0.01599,-0.00683,-0.01775
1527,0.01587,-0.00501,-0.02296
1528,0.01585,-0.00574,-0.02688
1529,0.01769,-0.00569,-0.03068
1530,0.01762,-0.004,-0.02718
1531,0.01852,-0.00394,-0.02633
1532,0.01718,-0.00523,-0.0244
1533,0.01701,-0.005,-0.02142
1534,0.01744,-0.00528,-0.02074
1535,0.01887,-0.00569,-0.0203
1536,0.01851,-0.00448,-0.02254
1537,0.01708,-0.00533,-0.02632
1538,0.01873,-0.0053,-0.02015
1539,0.02002,-0.00573,-0.01982
1540,0.02001,-0.00628,-0.01732
1541,0.0203,-0.00494,-0.01257
1542,0.02084,-0.0045,-0.01243
1543,0.02151,-0.00547,-0.00862
1544,0.02219,-0.0038,-0.009
1545,0.02269,-0.00462,-0.00624
1546,0.02128,-0.00322,-0.00473
1547,0.02175,-0.00335,-0.00322
1548,0.02144,-0.00364,-0.00035
1549,0.02105,-0.00352,-0.00111
1550,0.02029,-0.00534,-0.00159
1551,0.02174,-0.00606,0.00068
1552,0.02177,-0.00524,0.00307
1553,0.02265,-0.00424,-0.00293
1554,0.02227,-0.00427,-0.00117
1555,0.02279,-0.00402,-0.00771
1556,0.02167,-0.00523,-0.00399
