gps_week,dn(m),de(m),du(m)
1578,0.0,0.0,0.0
1579,-0.00073,0.00012,0.00144
1580,-0.00033,0.00051,0.00245
1581,-0.00236,0.00114,0.00358
1582,-0.00202,0.00034,0.00398
1583,-7e-05,-0.00092,0.00577
1584,-0.00145,-0.00022,0.01039
1585,-0.00038,5e-05,0.00053
1586,-0.00224,-0.00027,0.00271
1587,-0.00164,0.00017,-0.00044
1588,-0.00173,-0.00088,0.00873
1589,-0.00234,-0.0009,0.0115
1590,-0.00255,-0.00108,0.01195
1591,-0.00112,-0.00104,0.01047
1592,-0.0009,-0.0014,0.00817
1593,0.00097,-0.00107,0.00836
1594,-0.00076,-0.00074,0.01517
1595,-0.00086,0.00097,0.01265
1596,-0.0003,0.00048,0.02014
1597,0.00056,-0.00074,0.01444
1598,-0.00051,0.0001,0.02261
1599,-0.00013,-0.00024,0.02228
1600,0.00023,-0.00057,0.0223
1601,0.0003,0.00063,0.02074
1602,0.00039,0.00115,0.02269
1603,-0.0002,0.00117,0.02813
1604,0.00052,0.0007,0.02058
1605,0.00156,-0.00072,0.02162
1606,0.00318,0.00028,0.02421
1607,0.00207,0.00062,0.02545
1608,-3e-05,-3e-05,0.02341
1609,0.00094,0.00062,0.02087
1610,-2e-05,-0.00056,0.02349
1611,0.00126,-0.00022,0.02012
1612,0.00106,-0.00078,0.01906
1613,0.00081,-0.00086,0.02446
1614,0.00172,-0.00066,0.02897
1615,0.00235,-0.00025,0.02566
1616,0.0035,0.0001,0.02367
1617,0.00539,-0.00163,0.02333
1618,0.00657,-0.00232,0.02109
1619,0.00745,-0.00299,0.01527
1620,0.00663,-0.003,0.00879
1621,0.00642,-0.00292,0.01378
1622,0.00763,-0.00456,0.00767
1623,0.00672,-0.00385,0.00744
1624,0.00966,-0.00413,0.01179
1625,0.00889,-0.00664,0.01004
1626,0.01071,-0.00573,0.01242
1627,0.00936,-0.00646,0.01636
1628,0.00968,-0.00713,0.01474
1629,0.01169,-0.0066,0.01574
1630,0.0114,-0.00617,0.00931
1631,0.01254,-0.00514,0.01099
1632,0.01255,-0.00476,0.02322
1633,0.01057,-0.00275,0.01934
1675,0.02912,-0.00617,-0.03643
1676,0.02835,-0.00696,-0.03229
1677,0.02776,-0.00738,-0.03517
1678,0.02978,-0.00664,-0.03972
1679,0.03032,-0.00708,-0.03477
1680,0.03027,-0.00685,-0.03417
1681,0.02833,-0.0084,-0.03809
1683,0.02856,-0.00789,-0.03147
1684,0.02971,-0.00895,-0.04171
1701,0.02496,-0.00036,0.00374
1702,0.02478,-0.00227,0.01309
1703,0.02564,-0.00503,0.01098
1704,0.02596,-0.00384,0.01296
1705,0.02612,-0.00321,0.01328
1706,0.0264,-0.00397,0.01982
1707,0.02621,-0.00401,0.01353
1708,0.02623,-0.00239,0.01704
1709,0.02685,-0.00384,0.01515
1710,0.02456,-0.00326,0.01728
1711,0.02571,-0.00355,0.01956
1712,0.02438,-0.00536,0.02028
1713,0.02571,-0.00545,0.0256
1714,0.02643,-0.00617,0.02268
1715,0.02716,-0.00667,0.01832
1716,0.02805,-0.00659,0.02189
1717,0.02818,-0.00669,0.02031
1718,0.02848,-0.00645,0.0142
1719,0.02941,-0.00544,0.0208
1720,0.0302,-0.00691,0.01777
1721,0.03099,-0.00716,0.01367
1722,0.03095,-0.00516,0.01731
1723,0.03295,-0.00725,0.01217
1724,0.03402,-0.00639,0.01873
1725,0.03488,-0.00767,0.01176
1726,0.03447,-0.00749,0.00983
