gps_week,dn(m),de(m),du(m)
1785,0.0,0.0,0.0
1786,-0.00033,-0.0023,0.00501
1787,-0.00139,-0.00277,0.00214
1788,0.00042,-0.00514,-0.00175
1789,-0.00037,-0.0038,0.00457
1790,0.00216,-0.00402,0.00648
1791,0.00264,-0.00428,0.0041
1792,0.00226,-0.00469,0.00303
1793,0.00426,-0.00536,0.0099
1794,0.0034,-0.00576,0.0075
1795,0.00095,-0.00669,0.00664
1796,0.0015,-0.00525,0.00424
1797,0.00098,-0.00451,0.00672
1798,0.00103,-0.00283,0.01047
1799,-0.00036,-0.00391,0.01417
1800,0.0015,-0.00441,0.0127
1801,0.00074,-0.00495,0.01255
1802,0.00073,-0.00395,0.01534
1803,0.00128,-0.00522,0.01179
1804,0.00232,-0.0043,0.01242
1805,0.00318,-0.00402,0.01546
1806,0.0022,-0.00316,0.01539
1807,0.00236,-0.00252,0.01554
1808,0.00283,-0.00271,0.01592
1809,0.00347,-0.00111,0.02086
1810,0.00172,-0.00125,0.02079
1811,0.00281,-0.00185,0.02076
1812,0.00472,-0.00066,0.02259
1813,0.00531,-0.00204,0.02297
1814,0.00481,-0.00279,0.02605
1815,0.00382,-0.00402,0.02492
1816,0.00481,-0.00482,0.02399
1817,0.00588,-0.00777,0.02765
1818,0.00748,-0.00646,0.02602
1819,0.00939,-0.00662,0.02236
1820,0.00865,-0.00791,0.01933
1821,0.00807,-0.00714,0.02297
1822,0.00976,-0.00645,0.01943
1823,0.00822,-0.00653,0.02247
1824,0.01047,-0.00609,0.01912
1825,0.01064,-0.00821,0.02086
1826,0.01096,-0.00722,0.02325
1827,0.01358,-0.00733,0.02248
1828,0.01259,-0.00614,0.02443
1829,0.01217,-0.00721,0.02689
1830,0.01098,-0.00652,0.01971
1831,0.01177,-0.00452,0.01746
1832,0.01386,-0.00552,0.014
1833,0.01527,-0.00673,0.01192
1834,0.01505,-0.00755,0.0161
1835,0.01394,-0.00812,0.00776
1836,0.01411,-0.00735,0.01074
1837,0.01327,-0.00714,0.01264
1838,0.01341,-0.00812,0.00888
