gps_week,dn(m),de(m),du(m)
1443,0.0,0.0,0.0
1444,4e-05,0.00037,0.00099
1445,0.00052,0.00059,0.00559
1446,-0.00026,0.00064,0.00275
1447,0.00163,0.00141,0.00639
1448,0.00088,0.0006,0.00818
1449,4e-05,0.0002,0.00325
1450,-6e-05,0.00025,0.0069
1451,0.00014,0.0009,0.0105
1452,0.00086,-0.00105,0.0094
1453,0.0018,3e-05,0.00443
1454,0.00306,-0.00054,0.00543
1455,0.00262,0.00014,0.00857
1456,0.00393,-8e-05,0.01063
1457,0.00335,1e-05,0.00401
1458,0.00272,-0.00143,0.00029
1459,0.00348,-0.00094,0.00324
1460,0.00459,-0.00102,-0.00041
1461,0.00509,-0.00043,0.00815
1462,0.00588,-0.00168,0.00119
1463,0.00659,0.0002,-0.0003
1464,0.00774,-0.00066,0.00316
1465,0.00889,-0.00156,0.00114
1466,0.00964,-0.00163,0.00114
1467,0.00867,-0.00217,0.00492
1468,0.0094,-0.00337,0.00476
1469,0.00954,-0.00299,-0.00171
1470,0.00845,-0.00403,-0.00598
1471,0.01106,-0.00445,-8e-05
1472,0.01058,-0.00352,0.0014
1473,0.0106,-0.00286,0.00186
1474,0.01083,-0.00177,0.00066
1475,0.00986,-0.00233,0.00295
1476,0.01164,-0.00109,0.00379
1477,0.01138,-0.00089,-0.00042
1478,0.01121,-0.00111,-0.00322
1479,0.01207,-0.0013,-0.00361
1480,0.01163,0.00013,-0.00072
1481,0.01131,-0.00024,-0.0025
1482,0.01135,-0.00068,-0.00264
1483,0.01068,-0.00053,-0.00894
1484,0.01145,-0.00107,-0.00489
1485,0.01041,-0.00107,-0.00487
1486,0.01001,-0.00101,-0.00601
1487,0.00947,-0.00143,-0.00406
1488,0.01029,-0.00171,-0.00279
1489,0.00936,-0.00211,0.00203
1490,0.00998,-0.00334,0.00164
1491,0.01062,-0.00376,0.00044
1492,0.01101,-0.00371,0.00078
1493,0.0116,-0.00286,0.00137
1494,0.01242,-0.00244,0.00328
1495,0.01168,-0.00216,0.00444
1496,0.01247,-0.00163,0.00413
1497,0.01256,-0.00219,0.00592
1498,0.01371,-0.00187,0.00812
1499,0.01383,-0.00208,0.01053
1500,0.01392,-0.00213,0.00601
1501,0.01376,-0.00274,0.00768
1502,0.01478,-0.00251,0.00375
1503,0.01425,-0.00239,0.00445
1504,0.01473,-0.00313,0.00651
1505,0.01484,-0.00226,0.0064
