gps_week,dn(m),de(m),du(m)
1043,0.0,0.0,0.0
1044,0.00242,-0.0003,0.00373
1045,0.00099,-0.00141,0.00578
1046,-0.0004,-0.00076,-0.00069
1047,0.0021,-0.00066,0.00525
1048,0.00309,-0.00135,0.00361
1049,0.00379,-0.00339,0.00233
1050,0.00539,-0.0005,0.00603
1051,0.00496,-0.00398,0.00818
1052,0.00572,-0.00213,0.00646
1053,0.00397,-0.00076,0.00446
1054,0.00556,-0.00327,0.00168
1055,0.00427,-0.00226,-0.0032
1056,0.00363,-0.00189,-0.00737
1057,0.00326,-0.00283,0.00119
1058,0.00398,-0.00278,-0.00194
1059,0.00437,-0.0025,0.00073
1060,0.00575,-0.00466,0.00681
1061,0.0061,-0.00235,0.00371
1062,0.00534,-0.00213,0.00277
1063,0.00552,-0.002,0.00011
1064,0.00649,-0.00206,0.0054
1065,0.00689,-0.00135,0.00556
1066,0.00526,-0.00248,0.00405
1067,0.00611,-0.00378,0.00167
1068,0.0053,-0.00346,0.0074
1069,0.00557,-0.00331,0.00364
1070,0.00408,-0.00185,0.00593
1071,0.00343,-0.00131,0.00724
1072,0.00231,-0.00208,0.00176
1073,0.00224,-0.00295,0.0039
1075,0.00525,-0.00285,0.00406
1076,0.00559,-0.00127,0.01207
1077,0.00628,-0.00233,0.01006
1078,0.00791,-0.00141,0.00976
1079,0.00797,0.00011,0.00619
1080,0.00812,-4e-05,0.01016
1082,0.0077,0.00013,0.00893
1083,0.00906,0.0004,0.01207
1084,0.00853,0.0002,0.01421
1085,0.00735,0.00033,0.0144
1086,0.00833,-0.00065,0.01318
1087,0.00934,0.00085,0.0051
1088,0.01152,-0.00164,0.00849
1089,0.01333,-0.00119,0.00942
1090,0.01328,-0.00325,0.01001
1091,0.01333,-0.00291,0.01078
1092,0.01326,-0.00338,0.01388
1093,0.01241,-0.00307,0.00644
1094,0.01374,-0.00543,0.00715
1095,0.01255,-0.00347,0.00175
1096,0.01333,-0.00376,-0.00151
1097,0.01277,-0.00585,-0.00093
1098,0.01372,-0.00502,0.00088
1099,0.01568,-0.00417,0.00477
1100,0.01721,-0.00572,0.00911
1101,0.01845,-0.00714,0.01275
1102,0.01674,-0.00746,-0.0046
1103,0.01276,-0.00509,-0.00235
1104,0.01754,-0.00636,0.00317
1105,0.01477,-0.0038,0.00146
1106,0.01709,-0.00683,0.00767
1107,0.0139,-0.00606,0.00508
1108,0.01648,-0.00716,0.00552
1109,0.01582,-0.00492,0.00862
1110,0.02024,-0.00489,0.00629
1111,0.01705,-0.00447,0.0133
1112,0.01829,-0.00333,0.01182
1113,0.01656,-0.00412,0.00584
1114,0.01716,-0.00449,0.00492
1115,0.01879,-0.00456,0.01045
1116,0.0182,-0.00582,0.01592
1117,0.01778,-0.00453,0.0052
1118,0.01839,-0.00679,0.00351
1119,0.01766,-0.0067,0.0025
1120,0.0183,-0.00688,0.00283
1121,0.01921,-0.00494,0.01046
1122,0.01888,-0.00519,0.01008
1123,0.01776,-0.00566,0.01329
